method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,numerical_failure_mean,numerical_failure_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
exact,180 degree aperture,OOD aperture,144,0.5226096059680313,0.01486721533226563,0.9616728753123426,0.0019234340174054617,0.2965557504652082,0.011280156759052322,1.0,0.0,5.596232300477924e-05,1.8108188398186359e-06,1.8532628113613707e-06,3.000224252126301e-08,0.10497992514218721,0.00871486086239722,1.0115946411258645,0.09806843606034722,0.11136196569229166,0.008921989024998763,0.7257086536637289,0.010372211912312026,0.0,0.0,nan,0.0,2.413905227606329e-06,8.800770506349341e-07
exact,30 percent noise,OOD noise,144,0.728790441786646,0.01845716896499513,0.981687015516179,0.001423955167462976,0.498641585671592,0.01583158652775072,1.0,0.0,1.2433449607366734e-05,2.4381078406223437e-07,8.412875350434964e-07,8.210253186425854e-09,0.16451587502120268,0.0037052825810889277,1.9130955288807552,0.05184825704590113,0.1707368390634656,0.003712339943816629,0.5925596780414181,0.005807056024614658,0.0,0.0,nan,0.0,2.585809876739139e-06,8.459157029774702e-07
exact,four obstacles,ID,144,0.7806909123741211,0.015589900742109726,0.984537857368616,0.0012689381349811502,0.5294722469851639,0.016655378918715966,1.0,0.0,4.155220825749792e-05,7.951552068894952e-07,1.4758723949626074e-06,1.560022505807029e-08,0.10411205220346649,0.002296411833240887,1.2395305662519402,0.03458644682732932,0.10715061320095426,0.0022625788766608285,0.623806519337138,0.006901331635491468,0.0,0.0,nan,0.0,3.4006696109953636e-06,1.1289921086246494e-06
exact,one obstacle,ID,144,0.9924167389799153,0.0028075238747582733,0.9999041088692083,3.4738085652724685e-05,0.9367984638817973,0.018574040026472338,1.0,0.0,0.00018816615819458902,4.361018629736546e-06,3.2407821398313294e-06,5.709886489134719e-08,0.0025444247051965873,0.00042373933388747395,0.020313554246077576,0.0028660770754889106,0.003306509400624059,0.0007516339928683143,0.8686596409603499,0.026353419174789127,0.0,0.0,nan,0.0,8.849253822557696e-07,2.3039037164733464e-07
exact,six obstacles,OOD count,144,0.7133628227947456,0.01519537668365698,0.9631900308767682,0.0028645935797254937,0.47646234114558694,0.014343718221906393,1.0,0.0,3.240914261621381e-05,6.177625111360754e-07,1.388286863049062e-06,1.5763487917119398e-08,0.17497452648563516,0.0024547125223508865,2.1462726162539587,0.04213465159847284,0.17870347005211645,0.0024379238140367254,0.5830074952057335,0.0074087823838449645,0.0,0.0,nan,0.0,3.3872524976490895e-06,7.925255637286512e-07
exact,three stars,OOD shape,144,0.8059136433086803,0.010076174023360591,0.9894869188958599,0.000561269265635662,0.5469982322631085,0.014406887300601008,1.0,0.0,4.471231500247086e-05,9.12940450930023e-07,1.4918207698302567e-06,1.4029521166341507e-08,0.07882647418106596,0.0017282880380094434,0.9380238780544864,0.025400361144181302,0.08116391440853477,0.0017143815144542087,0.6318509214482314,0.006225638140799852,0.0,0.0,nan,0.0,1.6503248750786447e-06,2.2925853901337357e-08
exact,two obstacles,ID,144,0.9252142129726396,0.009505308117484637,0.9980434151933584,0.0002890955494674129,0.7181298685922481,0.017620265827062186,1.0,0.0,0.00011963845892953234,2.459562158658692e-06,2.4222338355331076e-06,2.621255114327287e-08,0.019631302475722298,0.0019181200965031635,0.2118228975062569,0.024492306751411494,0.020640122128598806,0.002012171183030705,0.7338658662579773,0.010796225670709392,0.0,0.0,nan,0.0,2.333314969978536e-06,9.879858707238389e-07
exact,wavenumber 12,OOD frequency,144,0.8338584030410092,0.021195324533579432,0.9926662023965075,0.0010631987641872645,0.6109593475844542,0.023417844543808377,1.0,0.0,4.842945051879926e-05,9.070945823132322e-07,1.4193774223119565e-06,1.6677398411082188e-08,0.05022414683157371,0.0019786341703043686,0.5737797245383263,0.02818945739662645,0.052071081797799304,0.0019637899995357433,0.6834548931641647,0.011557364640456392,0.0,0.0,nan,0.0,2.6107847319107377e-06,8.352077447589507e-07
global-safe-HB,180 degree aperture,OOD aperture,144,0.5172933262510312,0.014533358915915085,0.9609139377278753,0.0019832097444346503,0.2965632405749755,0.01179447675910107,0.987986039032637,0.0009195059143430998,0.35996325179520583,0.007773735626809605,0.41100137075409293,0.02030861547340169,0.08615498961363402,0.005293224386032199,0.7715899565567573,0.04788847208724168,0.09209989963306321,0.005726713497881262,0.75877904498135,0.013286315093424319,0.0,0.0,0.0,0.0,2.413905227606329e-06,8.800770506349341e-07
global-safe-HB,30 percent noise,OOD noise,144,0.7282370686305897,0.01800822648395751,0.9815737548307233,0.0014092393765712183,0.4968968669373962,0.015758216506108407,0.9987312167081677,6.901954883429295e-05,0.08701472910535005,0.0013994414683800957,0.08620960146395697,0.0027983612261466436,0.21007868316438463,0.005567740737516053,2.44348416560226,0.07212515349487271,0.21851059277024534,0.0057531417868128265,0.5335613299560846,0.010383000540556502,0.0,0.0,0.0,0.0,2.585809876739139e-06,8.459157029774702e-07
