seed,scenario,category,method,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,score_correlation,mean_relative_residual,covariance_relative_residual,balanced_brier,balanced_nll,balanced_ece,uncertainty_error_auc,numerical_failure,certificate,predicted_lower,true_lower,predicted_upper,true_upper,boundary_residual
17,one obstacle,ID,learned-Richardson,0,0.9957712814855672,0.704029304029304,0.12727272727272726,0.2014886736869812,0.4,0.6051442570774413,0.2075602263212204,0.03293459489941597,0.01857816055417061,0.09132838249206543,0.06765116751194,0.9857738673370279,0.0,0.0,0.0001581435790285468,2.7344973204890266e-05,0.9389370083808899,0.6853387951850891,1.472755428721939e-07
17,one obstacle,ID,learned-Richardson,1,0.9994119722450899,0.9585576040121493,0.2,0.15801690518856049,0.8333333333333334,0.7125385613541244,0.21558956801891327,0.032013919204473495,0.017244059592485428,0.08244664967060089,0.06522873044013977,0.9870879277838085,0.0,0.0,0.0001618796231923625,5.734056685469113e-05,0.9406710267066956,0.7216660976409912,1.2300311027502175e-06
17,one obstacle,ID,learned-Richardson,2,0.9946084724005134,0.6976190476190477,0.09090909090909091,0.21438908576965332,0.42857142857142855,0.6279704964078215,0.24015751481056213,0.03413136675953865,0.024904955178499222,0.10338617116212845,0.07368198037147522,0.976461178083757,0.0,0.0,0.00015798605454619974,2.991494875459466e-05,0.9394286274909973,0.6707767248153687,8.546327876501891e-07
17,one obstacle,ID,learned-Richardson,3,0.9995698924731182,0.9722222222222222,0.16363636363636364,0.15769420564174652,0.8,0.7120895922548751,0.23859968781471252,0.03494883328676224,0.01579391211271286,0.07784444838762283,0.05921696871519089,0.9773026315789474,0.0,0.0,0.00016027451783884317,4.2598097934387624e-05,0.9398444294929504,0.702591598033905,1.530351312339917e-07
17,one obstacle,ID,learned-Richardson,4,1.0,1.0,0.2,0.14278022944927216,1.0,0.7229915203026,0.1983073204755783,0.03038494847714901,0.014052940532565117,0.07096589356660843,0.06016893684864044,0.9714659685863873,0.0,0.0,0.0001625609875191003,4.707422340288758e-05,0.9413692355155945,0.729971170425415,1.5969584410413518e-07
17,one obstacle,ID,learned-Richardson,5,0.9959551388122816,0.7268398268398268,0.12727272727272726,0.22808435559272766,0.4,0.5961864861214102,0.22272422909736633,0.031674858182668686,0.03840562701225281,0.1501338928937912,0.11619004607200623,0.9856521227801952,0.0,0.0,0.00015793708735145628,4.0078470192383975e-05,0.9389186501502991,0.7163553833961487,5.591312515207392e-07
17,one obstacle,ID,learned-Richardson,6,0.9996124031007753,0.9733333333333334,0.18181818181818182,0.06328762322664261,0.8181818181818182,0.7512065124851501,0.18121850490570068,0.031293172389268875,0.010823089629411697,0.06056772172451019,0.04950818791985512,0.9819004524886878,0.0,0.0,0.000162553129484877,4.520336733548902e-05,0.9408363699913025,0.7273783683776855,1.0516653219383443e-06
17,one obstacle,ID,learned-Richardson,7,1.0,1.0,0.10909090909090909,0.13664503395557404,1.0,0.6685808795486152,0.2172079235315323,0.03037114068865776,0.0077672782354056835,0.05380132049322128,0.04841502010822296,0.9952504317789291,0.0,0.0,0.00015936867566779256,3.340723196743056e-05,0.9396069645881653,0.7179561257362366,1.7212583998116315e-06
17,one obstacle,ID,learned-HB,0,1.0,1.0,0.12727272727272726,0.07481548190116882,1.0,0.88825959767991,0.08954320102930069,0.058539051562547684,0.0018290694570168853,0.0062987469136714935,0.0018834966467693448,0.9993589743589744,0.0,0.0,0.000644695304799825,9.007976041175425e-05,0.9995462894439697,0.7932237982749939,1.472755428721939e-07
17,one obstacle,ID,learned-HB,1,1.0,1.0,0.2,0.037214625626802444,1.0,0.9643378512231454,0.06434530019760132,0.04235875606536865,0.000797500426415354,0.00289584300480783,0.0007419129833579063,0.9987212276214834,0.0,0.0,0.0006638250779360533,0.00016291379870381206,0.9995400309562683,0.745343804359436,1.2300311027502175e-06
17,one obstacle,ID,learned-HB,2,0.9992297817715019,0.9028571428571428,0.09090909090909091,0.07713305205106735,0.6666666666666666,0.9247735974649367,0.09748031944036484,0.05952790752053261,0.003712274366989732,0.025068162009119987,0.0038049030117690563,0.9961439588688946,0.0,0.0,0.0006197732873260975,9.038099233293906e-05,0.9995553493499756,0.7477467060089111,8.546327876501891e-07
17,one obstacle,ID,learned-HB,3,0.9998566308243727,0.9888888888888889,0.16363636363636364,0.04861649125814438,0.8,0.9532201928623012,0.07864275574684143,0.05830075219273567,0.00211471994407475,0.007965581491589546,0.0023267606738954782,0.9980769230769231,0.0,0.0,0.0006664105458185077,0.00013841268082614988,0.9995389580726624,0.7915442585945129,1.530351312339917e-07
17,one obstacle,ID,learned-HB,4,0.9996471833470539,0.9805194805194806,0.2,0.03481317311525345,0.8333333333333334,0.9695197493759538,0.07695231586694717,0.0364188477396965,0.010327068157494068,0.03343001753091812,0.022019995376467705,0.9970123772940674,0.0,0.0,0.0006752117187716067,0.00021673405717592686,0.9995362162590027,0.8044333457946777,1.5969584410413518e-07
17,one obstacle,ID,learned-HB,5,0.999632285346571,0.9617346938775511,0.12727272727272726,0.06464644521474838,0.75,0.9154540923895343,0.09473126381635666,0.03931880742311478,0.0016934771556407213,0.011197182349860668,0.001018543029204011,0.9957319675629535,0.0,0.0,0.0006433617090806365,0.00013189727906137705,0.9995468854904175,0.803966760635376,5.591312515207392e-07
17,one obstacle,ID,learned-HB,6,1.0,1.0,0.18181818181818182,0.02250407077372074,1.0,0.9805959651074784,0.06864237040281296,0.05064329504966736,0.0009351395419798791,0.002667571185156703,0.0016499338671565056,0.998081841432225,0.0,0.0,0.0007094028987921774,0.0002597987768240273,0.9995245933532715,0.8603795170783997,1.0516653219383443e-06
