seed,method,threshold,calibration_brier,calibration_nll,calibration_ece
17,learned-Richardson,-1.4290610551834106,0.05727482959628105,0.21261382102966309,0.08500809560064226
17,learned-HB,-1.8428175449371338,0.028349755331873894,0.2172527015209198,0.032072143968738
17,learned-Chebyshev,-1.7646342515945435,0.027551990002393723,0.18363818526268005,0.03168822553319236
17,global-safe-HB,-2.413961887359619,0.05584440380334854,0.5984412431716919,0.06507364436401986
17,population-safe-HB,-2.3662924766540527,0.04563317820429802,0.4195425510406494,0.051334359809213005
17,spectrum-HB,-3.4415814876556396,0.24405190348625183,3.012998104095459,0.2557828420928369
17,identity-CG,-2.2045862674713135,0.042160652577877045,0.4907301366329193,0.044249099355662715
17,population-PCG,-2.204345226287842,0.042147718369960785,0.49053168296813965,0.04425809383163445
17,exact,-2.2043890953063965,0.04214784502983093,0.49068284034729004,0.04425550612014225
29,learned-Richardson,-1.5648292303085327,0.29471874237060547,0.8131890296936035,0.29037001899754006
29,learned-HB,-1.9534869194030762,0.035835884511470795,0.34051352739334106,0.03834045344410697
29,learned-Chebyshev,-1.9700453281402588,0.03757445141673088,0.37712520360946655,0.039753488794910176
29,global-safe-HB,-2.25567889213562,0.03965822979807854,0.34669217467308044,0.04568793774039174
29,population-safe-HB,-2.3587729930877686,0.03736729919910431,0.28184548020362854,0.04100555887028653
29,spectrum-HB,-3.0470359325408936,0.12457489967346191,1.1973522901535034,0.13714471802813932
29,identity-CG,-2.1579651832580566,0.037792544811964035,0.4093235433101654,0.03944849674250387
29,population-PCG,-2.1543023586273193,0.03790096193552017,0.41163942217826843,0.039734861136821564
29,exact,-2.1542809009552,0.03790700435638428,0.41191598773002625,0.03976134009038409
43,learned-Richardson,-1.5281821489334106,0.28629937767982483,0.7703288793563843,0.31946446280926466
43,learned-HB,-1.8825041055679321,0.027756016701459885,0.20369575917720795,0.030240505157659452
43,learned-Chebyshev,-1.8660619258880615,0.0617201142013073,0.642237663269043,0.05928410733152608
43,global-safe-HB,-2.2075579166412354,0.03710116446018219,0.30454021692276,0.04288447900034953
43,population-safe-HB,-2.410820484161377,0.03828775882720947,0.3279000222682953,0.04160235763993114
43,spectrum-HB,-2.8670156002044678,0.17196981608867645,1.5607919692993164,0.18114652725247046
43,identity-CG,-2.02883243560791,0.030908923596143723,0.2915520966053009,0.03405361697271777
43,population-PCG,-2.0236294269561768,0.030735034495592117,0.28980201482772827,0.033764959536104776
43,exact,-2.0235776901245117,0.030735891312360764,0.2898850739002228,0.03378093768939531
