seed,method,depth,mean_relative_residual,covariance_relative_residual
17,learned-Richardson,4,0.538937509059906,0.2493523806333542
17,learned-HB,4,0.6624050140380859,0.7053812146186829
17,learned-Chebyshev,4,0.598778486251831,0.21888215839862823
17,global-safe-HB,4,0.77946937084198,0.7089657783508301
17,population-safe-HB,4,0.7298324108123779,0.8693118691444397
17,spectrum-HB,4,1.7139778137207031,3.5027968883514404
17,identity-CG,4,2.4262707233428955,0.1876194179058075
17,population-PCG,4,1.1178655624389648,0.21449272334575653
17,learned-Richardson,8,0.43855446577072144,0.159297376871109
17,learned-HB,8,0.5360817909240723,0.559023916721344
17,learned-Chebyshev,8,0.43527334928512573,0.11226262152194977
17,global-safe-HB,8,0.8215529918670654,1.0003337860107422
17,population-safe-HB,8,0.6995387077331543,0.8280460834503174
17,spectrum-HB,8,2.2831034660339355,4.846803665161133
17,identity-CG,8,1.1421642303466797,0.11512055993080139
17,population-PCG,8,0.6164141893386841,0.08763401955366135
17,learned-Richardson,16,0.34486785531044006,0.09758040308952332
17,learned-HB,16,0.3334857225418091,0.3219822347164154
17,learned-Chebyshev,16,0.2620807886123657,0.055785708129405975
17,global-safe-HB,16,0.6791481971740723,0.8064752817153931
17,population-safe-HB,16,0.6303865909576416,0.6889666318893433
17,spectrum-HB,16,2.423372745513916,5.200969696044922
17,identity-CG,16,0.4058830142021179,0.038200780749320984
17,population-PCG,16,0.23505522310733795,0.024474944919347763
17,learned-Richardson,24,0.29476022720336914,0.07248362898826599
17,learned-HB,24,0.22355619072914124,0.23936152458190918
17,learned-Chebyshev,24,0.162897527217865,0.03431542217731476
17,global-safe-HB,24,0.5676600933074951,0.6809442043304443
17,population-safe-HB,24,0.6282227635383606,0.7368083000183105
17,spectrum-HB,24,2.018947124481201,4.335752487182617
17,identity-CG,24,0.3563319444656372,0.013569414615631104
17,population-PCG,24,0.08042457699775696,0.0106328334659338
17,learned-Richardson,32,0.261682391166687,0.05867789685726166
17,learned-HB,32,0.14911878108978271,0.15969303250312805
17,learned-Chebyshev,32,0.1070917397737503,0.023926537483930588
17,global-safe-HB,32,0.5042759776115417,0.5866752862930298
17,population-safe-HB,32,0.6013157963752747,0.711513876914978
17,spectrum-HB,32,1.5224984884262085,3.2659027576446533
17,identity-CG,32,0.2705979347229004,0.006877651438117027
17,population-PCG,32,0.01918325573205948,0.0033801677636802197
17,learned-Richardson,48,0.2187681496143341,0.04362960159778595
17,learned-HB,48,0.06730347871780396,0.0717945247888565
17,learned-Chebyshev,48,0.052676714956760406,0.01220458373427391
17,global-safe-HB,48,0.32635337114334106,0.31610947847366333
17,population-safe-HB,48,0.5413556098937988,0.6666436195373535
17,spectrum-HB,48,0.7558619976043701,1.6156636476516724
17,identity-CG,48,0.06552121043205261,0.0020752185955643654
17,population-PCG,48,1.1374809218978044e-05,2.9128157166269375e-06
17,learned-Richardson,64,0.19112631678581238,0.0353718101978302
17,learned-HB,64,0.03063015453517437,0.028178049251437187
17,learned-Chebyshev,64,0.029410071671009064,0.0065105995163321495
17,global-safe-HB,64,0.2655807435512543,0.277107834815979
17,population-safe-HB,64,0.4586682915687561,0.5403908491134644
17,spectrum-HB,64,0.3441987633705139,0.7329622507095337
17,identity-CG,64,0.006988050416111946,0.00030435388907790184
17,population-PCG,64,8.900608008843847e-06,9.020858442454482e-07
29,learned-Richardson,4,0.32928234338760376,0.17772024869918823
29,learned-HB,4,0.6833665370941162,0.7681944370269775
29,learned-Chebyshev,4,0.6182866096496582,0.22762757539749146
29,global-safe-HB,4,0.7999043464660645,0.7383224964141846
29,population-safe-HB,4,0.7580126523971558,0.9618632793426514
29,spectrum-HB,4,1.8814709186553955,3.8701014518737793
29,identity-CG,4,2.57635498046875,0.18253174424171448
29,population-PCG,4,1.1365272998809814,0.23647147417068481
29,learned-Richardson,8,0.24345383048057556,0.0944913849234581
29,learned-HB,8,0.5571042895317078,0.6251306533813477
29,learned-Chebyshev,8,0.450025349855423,0.1205725222826004
29,global-safe-HB,8,0.8159039616584778,0.9934292435646057
29,population-safe-HB,8,0.7367147207260132,0.9425821900367737
29,spectrum-HB,8,2.629711151123047,5.588791847229004
29,identity-CG,8,1.214001178741455,0.10408429801464081
29,population-PCG,8,0.6135601997375488,0.0770808756351471
29,learned-Richardson,16,0.20485703647136688,0.06163419038057327
29,learned-HB,16,0.3581635355949402,0.3794596493244171
29,learned-Chebyshev,16,0.27758389711380005,0.058830857276916504
29,global-safe-HB,16,0.6710957288742065,0.7749434113502502
29,population-safe-HB,16,0.6888298392295837,0.8508704900741577
29,spectrum-HB,16,3.0386903285980225,6.537845611572266
29,identity-CG,16,0.39483869075775146,0.02686304971575737
29,population-PCG,16,0.2983736991882324,0.0335085466504097
29,learned-Richardson,24,0.196735680103302,0.05485173314809799
29,learned-HB,24,0.22792121767997742,0.2392743080854416
29,learned-Chebyshev,24,0.17970404028892517,0.03761078789830208
