seed,method,step,resumed_checkpoint
17,richardson,1200,1
17,heavy_ball,1200,1
17,chebyshev,1200,1
29,richardson,1200,1
29,heavy_ball,1200,1
29,chebyshev,1200,1
43,richardson,1200,1
43,heavy_ball,1200,1
43,chebyshev,1200,1
