model,seed,scenario,category,task,depth,auc,average_precision,iou_top7,centroid_error,relative_residual
graph-foundation,17,one obstacle,ID,9,8,1.0,1.0,0.19444444444444445,0.08377593755722046,0.03527393192052841
graph-foundation,17,one obstacle,ID,10,8,0.9992588932806324,0.9454004329004329,0.16666666666666666,0.009346510283648968,0.0600733757019043
graph-foundation,17,one obstacle,ID,11,8,0.999707926864887,0.9827498027074606,0.2361111111111111,0.010012516751885414,0.13320592045783997
A-equivariant,17,one obstacle,ID,0,8,0.9994082840236687,0.9566666666666668,0.1388888888888889,0.0032724260818213224,1.2719246115011629e-05
A-equivariant,17,one obstacle,ID,1,8,1.0,1.0,0.09722222222222222,0.29437369108200073,1.814457391446922e-05
A-equivariant,17,one obstacle,ID,2,8,1.0,1.0,0.1111111111111111,0.10143058001995087,1.139224877988454e-05
A-equivariant,17,one obstacle,ID,3,8,0.9998478277410028,0.9885883347421809,0.18055555555555555,0.08040707558393478,0.00011325064406264573
A-equivariant,17,one obstacle,ID,4,8,1.0,0.9999999999999998,0.19444444444444445,0.010357281193137169,5.940586197539233e-05
A-equivariant,17,one obstacle,ID,5,8,1.0,1.0,0.125,0.09976271539926529,1.0483324331289623e-05
A-equivariant,17,one obstacle,ID,6,8,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.002048131776973605,6.840830610599369e-05
A-equivariant,17,one obstacle,ID,7,8,1.0,1.0,0.19444444444444445,0.010763904079794884,7.34518253011629e-05
A-equivariant,17,one obstacle,ID,8,8,1.0,1.0,0.1388888888888889,0.08940813690423965,3.970206671510823e-05
A-equivariant,17,one obstacle,ID,9,8,1.0,0.9999999999999998,0.19444444444444445,0.08072079718112946,0.0007333662360906601
A-equivariant,17,one obstacle,ID,10,8,0.9992588932806324,0.9454004329004329,0.16666666666666666,0.007720659952610731,1.9844450434902683e-05
A-equivariant,17,one obstacle,ID,11,8,0.9997663414919096,0.9866713713349116,0.2361111111111111,0.00637746462598443,2.807439523166977e-05
analytic-Chebyshev,17,one obstacle,ID,0,8,0.9994082840236687,0.9566666666666668,0.1388888888888889,0.0032724260818213224,2.2275638912105933e-05
analytic-Chebyshev,17,one obstacle,ID,1,8,1.0,0.9999999999999998,0.09722222222222222,0.29437369108200073,0.00013328250497579575
analytic-Chebyshev,17,one obstacle,ID,2,8,1.0,1.0,0.1111111111111111,0.10143058001995087,0.00011994667875114828
analytic-Chebyshev,17,one obstacle,ID,3,8,0.9998478277410028,0.9885883347421809,0.18055555555555555,0.08040707558393478,0.0032161062117666006
analytic-Chebyshev,17,one obstacle,ID,4,8,1.0,1.0,0.19444444444444445,0.010357281193137169,6.20561113464646e-05
analytic-Chebyshev,17,one obstacle,ID,5,8,1.0,1.0000000000000002,0.125,0.09976271539926529,1.735860132612288e-05
analytic-Chebyshev,17,one obstacle,ID,6,8,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.002048131776973605,0.00017283929628320038
analytic-Chebyshev,17,one obstacle,ID,7,8,1.0,1.0,0.19444444444444445,0.010763904079794884,5.206327841733582e-05
analytic-Chebyshev,17,one obstacle,ID,8,8,1.0,1.0,0.1388888888888889,0.08940813690423965,0.0001686158066149801
analytic-Chebyshev,17,one obstacle,ID,9,8,1.0,1.0,0.19444444444444445,0.08072079718112946,3.765519431908615e-05
analytic-Chebyshev,17,one obstacle,ID,10,8,0.9992588932806324,0.9454004329004329,0.16666666666666666,0.007720659952610731,1.935136242536828e-05
analytic-Chebyshev,17,one obstacle,ID,11,8,0.9997663414919096,0.9866713713349118,0.2361111111111111,0.00637746462598443,0.0015317111974582076
exact,17,one obstacle,ID,0,0,0.9994082840236687,0.9566666666666668,0.1388888888888889,0.0032724260818213224,5.098067413200624e-05
exact,17,one obstacle,ID,1,0,1.0,1.0,0.09722222222222222,0.29437369108200073,5.0769445806508884e-05
exact,17,one obstacle,ID,2,0,1.0,1.0,0.1111111111111111,0.10143058001995087,5.105106902192347e-05
exact,17,one obstacle,ID,3,0,0.9998478277410028,0.9885883347421809,0.18055555555555555,0.08040707558393478,4.988464206689969e-05
exact,17,one obstacle,ID,4,0,1.0,1.0,0.19444444444444445,0.010357281193137169,4.8286805395036936e-05
exact,17,one obstacle,ID,5,0,1.0,1.0,0.125,0.09976271539926529,5.146165858604945e-05
exact,17,one obstacle,ID,6,0,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.002048131776973605,4.695450479630381e-05
exact,17,one obstacle,ID,7,0,1.0,1.0,0.19444444444444445,0.010763904079794884,4.944441752741113e-05
exact,17,one obstacle,ID,8,0,1.0,1.0,0.1388888888888889,0.08940813690423965,5.121496724314056e-05
exact,17,one obstacle,ID,9,0,1.0,1.0,0.19444444444444445,0.08072079718112946,4.859689943259582e-05
exact,17,one obstacle,ID,10,0,0.9992588932806324,0.9454004329004329,0.16666666666666666,0.007720659952610731,5.009716915083118e-05
exact,17,one obstacle,ID,11,0,0.9997663414919096,0.9866713713349118,0.2361111111111111,0.00637746462598443,4.7091834858292714e-05
identity,17,one obstacle,ID,12,8,1.0,1.0,0.19444444444444445,0.006898555904626846,0.002079238649457693
identity,17,one obstacle,ID,13,8,1.0,1.0,0.125,0.14162564277648926,0.0019489281112328172
identity,17,one obstacle,ID,14,8,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,0.12953738868236542
identity,17,one obstacle,ID,15,8,1.0,1.0,0.1388888888888889,0.11664023250341415,0.00309118558652699
identity,17,one obstacle,ID,16,8,1.0,1.0,0.1111111111111111,0.25527864694595337,0.0018483501626178622
identity,17,one obstacle,ID,17,8,0.999630905511811,0.959375,0.1111111111111111,0.13395622372627258,0.005059470888227224
identity,17,one obstacle,ID,18,8,0.9995434832230083,0.9653513153513151,0.18055555555555555,0.070775605738163,0.29474276304244995
identity,17,one obstacle,ID,19,8,1.0,1.0,0.09722222222222222,0.19903627038002014,0.0015171736013144255
identity,17,one obstacle,ID,20,8,0.999937996031746,0.9963235294117647,0.2222222222222222,0.0032058213837444782,0.03726828098297119
identity,17,one obstacle,ID,21,8,1.0,1.0,0.09722222222222222,0.10707137733697891,0.002130180364474654
identity,17,one obstacle,ID,22,8,1.0,1.0,0.125,0.06607826054096222,0.005153548903763294
identity,17,one obstacle,ID,23,8,1.0,1.0,0.20833333333333334,0.007306202780455351,0.08491913974285126
graph-small,17,one obstacle,ID,12,8,1.0,1.0,0.19444444444444445,0.006898555904626846,0.0020647121127694845
graph-small,17,one obstacle,ID,13,8,1.0,1.0000000000000002,0.125,0.14162564277648926,0.0019471169216558337
graph-small,17,one obstacle,ID,14,8,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,0.13344629108905792
graph-small,17,one obstacle,ID,15,8,1.0,1.0,0.1388888888888889,0.11664023250341415,0.003073614090681076
graph-small,17,one obstacle,ID,16,8,1.0,1.0,0.1111111111111111,0.260823518037796,0.0018920139409601688
graph-small,17,one obstacle,ID,17,8,0.999630905511811,0.959375,0.1111111111111111,0.12997859716415405,0.004941677674651146
graph-small,17,one obstacle,ID,18,8,0.9995434832230085,0.9653513153513154,0.18055555555555555,0.070775605738163,0.2983175814151764
graph-small,17,one obstacle,ID,19,8,1.0,1.0,0.09722222222222222,0.20199096202850342,0.0015135271241888404
graph-small,17,one obstacle,ID,20,8,1.0,1.0,0.2222222222222222,0.003860296681523323,0.035011377185583115
graph-small,17,one obstacle,ID,21,8,1.0,0.9999999999999998,0.09722222222222222,0.10707137733697891,0.0021147141233086586
graph-small,17,one obstacle,ID,22,8,1.0,1.0,0.125,0.07425498217344284,0.0050153424963355064
graph-small,17,one obstacle,ID,23,8,1.0,1.0,0.20833333333333334,0.007306202780455351,0.09011147171258926
graph-foundation,17,one obstacle,ID,12,8,1.0,1.0,0.19444444444444445,0.006898555904626846,0.002062747720628977
graph-foundation,17,one obstacle,ID,13,8,1.0,1.0000000000000002,0.125,0.14162564277648926,0.0019505228847265244
graph-foundation,17,one obstacle,ID,14,8,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,0.1324860155582428
graph-foundation,17,one obstacle,ID,15,8,1.0,1.0,0.1388888888888889,0.11513394117355347,0.0032397215254604816
graph-foundation,17,one obstacle,ID,16,8,1.0,1.0,0.1111111111111111,0.260823518037796,0.0018807969754561782
graph-foundation,17,one obstacle,ID,17,8,0.999630905511811,0.959375,0.1111111111111111,0.13395622372627258,0.00534290773794055
graph-foundation,17,one obstacle,ID,18,8,0.9995434832230085,0.9653513153513154,0.18055555555555555,0.070775605738163,0.2970113158226013
graph-foundation,17,one obstacle,ID,19,8,1.0,1.0,0.09722222222222222,0.19903627038002014,0.0015349286841228604
graph-foundation,17,one obstacle,ID,20,8,0.999937996031746,0.9963235294117647,0.2222222222222222,0.0032058213837444782,0.034177958965301514
graph-foundation,17,one obstacle,ID,21,8,1.0,1.0,0.09722222222222222,0.10707137733697891,0.0021155942231416702
graph-foundation,17,one obstacle,ID,22,8,1.0,1.0000000000000002,0.125,0.05866760388016701,0.004929822403937578
graph-foundation,17,one obstacle,ID,23,8,1.0,1.0,0.20833333333333334,0.007306202780455351,0.08661151677370071
A-equivariant,17,one obstacle,ID,12,8,1.0,1.0,0.19444444444444445,0.006898555904626846,3.792108327616006e-05
A-equivariant,17,one obstacle,ID,13,8,1.0,1.0,0.125,0.14162564277648926,1.1349345186317805e-05
A-equivariant,17,one obstacle,ID,14,8,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,0.0001597027585376054
A-equivariant,17,one obstacle,ID,15,8,1.0,1.0,0.1388888888888889,0.11664023250341415,2.416410825389903e-05
A-equivariant,17,one obstacle,ID,16,8,1.0,1.0,0.1111111111111111,0.260823518037796,8.843593604979105e-06
A-equivariant,17,one obstacle,ID,17,8,0.999630905511811,0.959375,0.1111111111111111,0.13395622372627258,2.1456024114741012e-05
A-equivariant,17,one obstacle,ID,18,8,0.9995434832230085,0.9653513153513154,0.18055555555555555,0.070775605738163,0.0006525571807287633
A-equivariant,17,one obstacle,ID,19,8,1.0,1.0,0.09722222222222222,0.19903627038002014,1.311207415710669e-05
A-equivariant,17,one obstacle,ID,20,8,1.0,1.0,0.2222222222222222,0.0032058213837444782,3.925578494090587e-05
A-equivariant,17,one obstacle,ID,21,8,1.0,1.0,0.09722222222222222,0.10707137733697891,1.4055400242796168e-05
A-equivariant,17,one obstacle,ID,22,8,1.0,1.0000000000000002,0.125,0.05866760388016701,1.4492697118839715e-05
A-equivariant,17,one obstacle,ID,23,8,1.0,1.0,0.20833333333333334,0.007306202780455351,7.310201181098819e-05
analytic-Chebyshev,17,one obstacle,ID,12,8,1.0,1.0,0.19444444444444445,0.006898555904626846,2.9988537789904512e-05
analytic-Chebyshev,17,one obstacle,ID,13,8,1.0,1.0,0.125,0.14162564277648926,2.020615283981897e-05
analytic-Chebyshev,17,one obstacle,ID,14,8,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,0.00020065490389242768
analytic-Chebyshev,17,one obstacle,ID,15,8,1.0,0.9999999999999999,0.1388888888888889,0.11664023250341415,0.00016594326007179916
analytic-Chebyshev,17,one obstacle,ID,16,8,1.0,1.0,0.1111111111111111,0.260823518037796,0.000123934616567567
analytic-Chebyshev,17,one obstacle,ID,17,8,0.999630905511811,0.959375,0.1111111111111111,0.13395622372627258,0.00016557154594920576
analytic-Chebyshev,17,one obstacle,ID,18,8,0.9995434832230085,0.9653513153513154,0.18055555555555555,0.070775605738163,1.5279751096386462e-05
analytic-Chebyshev,17,one obstacle,ID,19,8,1.0,0.9999999999999998,0.09722222222222222,0.19903627038002014,7.03083278494887e-05
analytic-Chebyshev,17,one obstacle,ID,20,8,1.0,1.0,0.2222222222222222,0.0032058213837444782,0.00024111755192279816
analytic-Chebyshev,17,one obstacle,ID,21,8,1.0,1.0,0.09722222222222222,0.10707137733697891,6.776602822355926e-05
analytic-Chebyshev,17,one obstacle,ID,22,8,1.0,1.0,0.125,0.05866760388016701,0.00016391894314438105
analytic-Chebyshev,17,one obstacle,ID,23,8,1.0,1.0,0.20833333333333334,0.007306202780455351,0.0002811276353895664
exact,17,one obstacle,ID,12,0,1.0,1.0,0.19444444444444445,0.006898555904626846,5.098075052956119e-05
exact,17,one obstacle,ID,13,0,1.0,1.0,0.125,0.14162564277648926,5.0466736865928397e-05
exact,17,one obstacle,ID,14,0,0.9995039682539683,0.9791666666666666,0.2222222222222222,0.002867385745048523,4.802622788702138e-05
exact,17,one obstacle,ID,15,0,1.0,0.9999999999999999,0.1388888888888889,0.11664023250341415,4.998254371457733e-05
exact,17,one obstacle,ID,16,0,1.0,1.0,0.1111111111111111,0.260823518037796,5.45565526408609e-05
exact,17,one obstacle,ID,17,0,0.999630905511811,0.959375,0.1111111111111111,0.13395622372627258,5.201857129577547e-05
exact,17,one obstacle,ID,18,0,0.9995434832230085,0.9653513153513154,0.18055555555555555,0.070775605738163,4.493782398640178e-05
exact,17,one obstacle,ID,19,0,1.0,1.0,0.09722222222222222,0.19903627038002014,5.2993469580542296e-05
exact,17,one obstacle,ID,20,0,1.0,1.0,0.2222222222222222,0.0032058213837444782,4.708743654191494e-05
exact,17,one obstacle,ID,21,0,1.0,0.9999999999999998,0.09722222222222222,0.10707137733697891,5.150570723344572e-05
exact,17,one obstacle,ID,22,0,1.0,1.0,0.125,0.05866760388016701,5.2093859267188236e-05
exact,17,one obstacle,ID,23,0,1.0,1.0,0.20833333333333334,0.007306202780455351,4.952233575750142e-05
identity,17,one obstacle,ID,24,8,0.9998585572842998,0.9910714285714286,0.19444444444444445,0.006925116293132305,0.0877467542886734
identity,17,one obstacle,ID,25,8,0.999461545364803,0.9633264462809917,0.1527777777777778,0.02533276006579399,0.011924383230507374
identity,17,one obstacle,ID,26,8,1.0,1.0,0.2222222222222222,0.014269564300775528,0.033137161284685135
identity,17,one obstacle,ID,27,8,1.0,1.0000000000000002,0.125,0.14263616502285004,0.0015219596680253744
identity,17,one obstacle,ID,28,8,1.0,1.0,0.125,0.11757142096757889,0.0018523253966122866
identity,17,one obstacle,ID,29,8,1.0,1.0,0.16666666666666666,0.008173300884664059,0.0016153769101947546
identity,17,one obstacle,ID,30,8,0.9996706192358367,0.9752747252747251,0.16666666666666666,0.0050688390620052814,0.0036103723105043173
identity,17,one obstacle,ID,31,8,1.0,1.0,0.19444444444444445,0.005345782730728388,0.00214465637691319
identity,17,one obstacle,ID,32,8,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,0.00471835769712925
identity,17,one obstacle,ID,33,8,1.0,1.0000000000000002,0.125,0.024256551638245583,0.0073488131165504456
identity,17,one obstacle,ID,34,8,0.9998027613412228,0.9833333333333333,0.1388888888888889,0.0919068232178688,0.03777771815657616
identity,17,one obstacle,ID,35,8,1.0,1.0,0.1388888888888889,0.06859046220779419,0.004884215071797371
graph-small,17,one obstacle,ID,24,8,0.9997878359264498,0.9873949579831933,0.19444444444444445,0.0033435076475143433,0.08757486194372177
graph-small,17,one obstacle,ID,25,8,0.9993718029256036,0.9564393939393939,0.1527777777777778,0.02013726904988289,0.011568156071007252
graph-small,17,one obstacle,ID,26,8,1.0,1.0,0.2222222222222222,0.009380843490362167,0.03346624970436096
graph-small,17,one obstacle,ID,27,8,1.0,1.0,0.125,0.14263616502285004,0.0015203944640234113
graph-small,17,one obstacle,ID,28,8,1.0,1.0,0.125,0.11757142096757889,0.0018472293158993125
graph-small,17,one obstacle,ID,29,8,1.0,1.0,0.16666666666666666,0.008173300884664059,0.001614704611711204
graph-small,17,one obstacle,ID,30,8,0.9997529644268774,0.9811507936507936,0.16666666666666666,0.0050688390620052814,0.0037049471866339445
graph-small,17,one obstacle,ID,31,8,1.0,1.0,0.19444444444444445,0.005345782730728388,0.0019772835075855255
graph-small,17,one obstacle,ID,32,8,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,0.00448515173047781
graph-small,17,one obstacle,ID,33,8,1.0,1.0,0.125,0.024256551638245583,0.00765254907310009
graph-small,17,one obstacle,ID,34,8,0.9998027613412229,0.9833333333333333,0.1388888888888889,0.07237590849399567,0.031654227524995804
graph-small,17,one obstacle,ID,35,8,1.0,0.9999999999999999,0.1388888888888889,0.06637994945049286,0.004900556989014149
graph-foundation,17,one obstacle,ID,24,8,0.99992927864215,0.9952380952380953,0.19444444444444445,0.005366319324821234,0.09278712421655655
graph-foundation,17,one obstacle,ID,25,8,0.9993718029256036,0.9564393939393939,0.1527777777777778,0.02533276006579399,0.011165826581418514
graph-foundation,17,one obstacle,ID,26,8,0.999937996031746,0.9963235294117647,0.2222222222222222,0.009380843490362167,0.03301658853888512
graph-foundation,17,one obstacle,ID,27,8,1.0,1.0,0.125,0.14263616502285004,0.0015215985476970673
graph-foundation,17,one obstacle,ID,28,8,1.0,1.0,0.125,0.11757142096757889,0.0018524364568293095
graph-foundation,17,one obstacle,ID,29,8,1.0,1.0,0.16666666666666666,0.008173300884664059,0.0016147871501743793
graph-foundation,17,one obstacle,ID,30,8,0.9996706192358367,0.9752747252747251,0.16666666666666666,0.0050688390620052814,0.0037049532402306795
graph-foundation,17,one obstacle,ID,31,8,1.0,0.9999999999999998,0.19444444444444445,0.005345782730728388,0.001981580164283514
graph-foundation,17,one obstacle,ID,32,8,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,0.0046083321794867516
graph-foundation,17,one obstacle,ID,33,8,1.0,1.0,0.125,0.03011607751250267,0.007490082178264856
graph-foundation,17,one obstacle,ID,34,8,0.9998027613412229,0.9833333333333333,0.1388888888888889,0.07958284020423889,0.033746376633644104
graph-foundation,17,one obstacle,ID,35,8,1.0,1.0,0.1388888888888889,0.07009626179933548,0.005034495610743761
A-equivariant,17,one obstacle,ID,24,8,0.9998585572842998,0.9910714285714286,0.19444444444444445,0.005366319324821234,0.00017048192967195064
A-equivariant,17,one obstacle,ID,25,8,0.999461545364803,0.9633264462809917,0.1527777777777778,0.02013726904988289,0.0002757938636932522
A-equivariant,17,one obstacle,ID,26,8,1.0,1.0,0.2222222222222222,0.009380843490362167,1.22923211165471e-06
A-equivariant,17,one obstacle,ID,27,8,1.0,1.0,0.125,0.14263616502285004,7.109034868335584e-06
A-equivariant,17,one obstacle,ID,28,8,1.0,1.0000000000000002,0.125,0.11757142096757889,9.376100933877751e-06
A-equivariant,17,one obstacle,ID,29,8,1.0,1.0,0.16666666666666666,0.008173300884664059,3.7843736208742484e-05
A-equivariant,17,one obstacle,ID,30,8,0.9996706192358367,0.9752747252747251,0.16666666666666666,0.0050688390620052814,1.8944552721222863e-05
A-equivariant,17,one obstacle,ID,31,8,1.0,1.0,0.19444444444444445,0.005345782730728388,1.8253047528560273e-05
A-equivariant,17,one obstacle,ID,32,8,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,0.06326689571142197
A-equivariant,17,one obstacle,ID,33,8,1.0,1.0,0.125,0.030682362616062164,2.9705419365200214e-05
A-equivariant,17,one obstacle,ID,34,8,0.9998027613412229,0.9833333333333333,0.1388888888888889,0.08418167382478714,0.006776723079383373
A-equivariant,17,one obstacle,ID,35,8,1.0,1.0,0.1388888888888889,0.06064942851662636,4.7602527047274634e-05
analytic-Chebyshev,17,one obstacle,ID,24,8,0.9998585572842997,0.9910714285714284,0.19444444444444445,0.005366319324821234,0.00033021767740137875
analytic-Chebyshev,17,one obstacle,ID,25,8,0.999461545364803,0.9633264462809917,0.1527777777777778,0.02013726904988289,0.000224098825128749
analytic-Chebyshev,17,one obstacle,ID,26,8,1.0,1.0,0.2222222222222222,0.009380843490362167,0.0005256715230643749
analytic-Chebyshev,17,one obstacle,ID,27,8,1.0,1.0,0.125,0.14263616502285004,1.1099797120550647e-05
analytic-Chebyshev,17,one obstacle,ID,28,8,1.0,1.0,0.125,0.11845100671052933,1.698054802545812e-05
analytic-Chebyshev,17,one obstacle,ID,29,8,1.0,1.0,0.16666666666666666,0.008173300884664059,2.0667615899583325e-05
analytic-Chebyshev,17,one obstacle,ID,30,8,0.9996706192358367,0.9752747252747255,0.16666666666666666,0.0050688390620052814,0.00014992190699558705
analytic-Chebyshev,17,one obstacle,ID,31,8,1.0,1.0,0.19444444444444445,0.005345782730728388,3.7673751648981124e-05
analytic-Chebyshev,17,one obstacle,ID,32,8,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,1.8841159544535913e-05
analytic-Chebyshev,17,one obstacle,ID,33,8,1.0,1.0000000000000002,0.125,0.030682362616062164,0.00017307614325545728
analytic-Chebyshev,17,one obstacle,ID,34,8,0.9998027613412229,0.9833333333333333,0.1388888888888889,0.08418167382478714,2.794037209241651e-05
analytic-Chebyshev,17,one obstacle,ID,35,8,1.0,1.0,0.1388888888888889,0.06064942851662636,0.00019475504814181477
exact,17,one obstacle,ID,24,0,0.9998585572842997,0.9910714285714284,0.19444444444444445,0.005366319324821234,4.7991707106120884e-05
exact,17,one obstacle,ID,25,0,0.999461545364803,0.9633264462809917,0.1527777777777778,0.02013726904988289,5.053355198469944e-05
exact,17,one obstacle,ID,26,0,1.0,1.0,0.2222222222222222,0.009380843490362167,4.869708573096432e-05
exact,17,one obstacle,ID,27,0,1.0,1.0,0.125,0.14263616502285004,5.044714635005221e-05
exact,17,one obstacle,ID,28,0,1.0,1.0,0.125,0.11845100671052933,5.031345062889159e-05
exact,17,one obstacle,ID,29,0,1.0,1.0,0.16666666666666666,0.008173300884664059,5.17153566761408e-05
exact,17,one obstacle,ID,30,0,0.9996706192358367,0.9752747252747251,0.16666666666666666,0.0050688390620052814,5.051408152212389e-05
exact,17,one obstacle,ID,31,0,1.0,1.0,0.19444444444444445,0.005345782730728388,4.890888158115558e-05
exact,17,one obstacle,ID,32,0,0.9999415853729774,0.9967320261437909,0.2361111111111111,0.007330837659537792,4.937207268085331e-05
exact,17,one obstacle,ID,33,0,1.0,1.0,0.125,0.030682362616062164,5.0597107474459335e-05
exact,17,one obstacle,ID,34,0,0.9998027613412228,0.9833333333333333,0.1388888888888889,0.08418167382478714,5.125860479893163e-05
exact,17,one obstacle,ID,35,0,1.0,1.0,0.1388888888888889,0.06064942851662636,5.012394831283018e-05
identity,17,one obstacle,ID,36,8,0.9998678559629997,0.9921568627450981,0.20833333333333334,0.008746694773435593,0.044580381363630295
identity,17,one obstacle,ID,37,8,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.01947394199669361,0.1308852583169937
identity,17,one obstacle,ID,38,8,1.0,1.0,0.18055555555555555,0.006506997160613537,0.0037568314000964165
identity,17,one obstacle,ID,39,8,1.0,1.0,0.16666666666666666,0.003205828135833144,0.0018176063895225525
identity,17,one obstacle,ID,40,8,1.0,1.0,0.1111111111111111,0.11025691032409668,0.002100086770951748
identity,17,one obstacle,ID,41,8,0.9995882740447958,0.9722222222222222,0.16666666666666666,0.049170609563589096,0.07643572986125946
identity,17,one obstacle,ID,42,8,0.999630905511811,0.9659090909090909,0.1111111111111111,0.13440050184726715,0.008672292344272137
identity,17,one obstacle,ID,43,8,0.9993635077793493,0.9538610199324484,0.19444444444444445,0.006369844079017639,0.061717480421066284
identity,17,one obstacle,ID,44,8,0.9994235836627141,0.9587703962703962,0.16666666666666666,0.0111515112221241,0.0417170524597168
identity,17,one obstacle,ID,45,8,1.0,0.9999999999999998,0.09722222222222222,0.15746313333511353,0.001681129215285182
identity,17,one obstacle,ID,46,8,1.0,1.0,0.19444444444444445,0.008577706292271614,0.002885609632357955
identity,17,one obstacle,ID,47,8,1.0,1.0,0.1388888888888889,0.0641685500741005,0.007233716081827879
graph-small,17,one obstacle,ID,36,8,0.9998678559629997,0.9921568627450981,0.20833333333333334,0.008746694773435593,0.04448041319847107
graph-small,17,one obstacle,ID,37,8,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.01947394199669361,0.1305426061153412
