model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10
A-equivariant,180-degree aperture,OOD aperture,144,0.7856471968546249,0.009186203654926976,0.7161228572781195,0.98899588113867,0.0005938809014760053,0.9844682158281692,0.036941115814948314,0.014311519918801136,0.00019354900869075208
A-equivariant,30% noise,OOD noise,144,0.935265313310621,0.004088675762150655,0.9031837986980196,0.9963707430081882,0.00030704349954669465,0.9937632454582033,0.16379457371820333,0.015124232627614025,0.03538865074515343
A-equivariant,four obstacles,ID,144,0.9366742522575487,0.004450429190432843,0.900610768695107,0.9965446458765186,0.00028596301095256657,0.9944247644985252,0.09816168481721535,0.01977649851321198,0.0011497148661874237
A-equivariant,heteroscedastic noise,OOD noise,144,0.9424453940139913,0.005936995553790301,0.888438159464709,0.9974609890459352,0.0003250512741242031,0.9948654760894539,0.099681436490755,0.01737174556518484,0.0017042523832060397
A-equivariant,mirrored kites,lsmlab-inspired,144,0.926309763807984,0.005750945210721681,0.8837086851812422,0.9976712050624196,0.0002201249574458513,0.9960075337122478,0.08857111337561542,0.01867991034851236,0.0018757106037810447
A-equivariant,one obstacle,ID,144,0.9900999366000539,0.002866050533914071,0.9661363636363637,0.9998665914889485,3.650560626926941e-05,0.9995178773140425,0.0033495969128425587,0.002984740250708508,8.611319481133251e-06
A-equivariant,six obstacles,OOD count,144,0.774413208746346,0.007873081660187665,0.7121648877281206,0.9765148514777331,0.001354699581579419,0.9651716059163316,0.15160007484008828,0.022914117179897085,0.001867562485858798
A-equivariant,three obstacles,ID,144,0.9351312136722727,0.005944284107545932,0.8818574454660218,0.9971850269098002,0.0003127341529624436,0.9942721808648204,0.09363932220468188,0.017591920833327734,0.0014445223030634226
A-equivariant,three stars,OOD shape,144,0.8598131846624026,0.0069513011008672625,0.8064973254815001,0.9930606031937208,0.00050230137323925,0.9890722362813972,0.09086678078771608,0.01862702511015024,0.0003833527152892202
A-equivariant,two crescents,OOD shape,144,0.7621345520748974,0.015412600121922323,0.6409785783000069,0.9958645857688404,0.0003229327373286528,0.9930395778174014,0.09039188428566074,0.018690639062941532,0.0004665375134209171
