scenario,category,n_tasks,commutator_mean,commutator_ci95,commutator_q10,oracle_graph_residual_mean,oracle_graph_residual_ci95,oracle_graph_residual_q10,oracle_graph_condition_mean,oracle_graph_condition_ci95,oracle_graph_condition_q10,equivariant_epsilon_mean,equivariant_epsilon_ci95,equivariant_epsilon_q10,equivariant_actual_condition_mean,equivariant_actual_condition_ci95,equivariant_actual_condition_q10,equivariant_certified_mean,equivariant_certified_ci95,equivariant_certified_q10,analytic_epsilon_mean,analytic_epsilon_ci95,analytic_epsilon_q10,analytic_actual_condition_mean,analytic_actual_condition_ci95,analytic_actual_condition_q10,analytic_certified_mean,analytic_certified_ci95,analytic_certified_q10
180-degree aperture,OOD aperture,144,0.06906031066965726,0.0015642594752259106,0.05770834721624851,0.42081899889227414,0.038772997347289735,0.17514119744300843,1423.7552337646484,35.026342484572005,1193.2311401367188,0.7378386859264638,0.023722560515305618,0.6027540445327759,1810.170835349295,3063.496719828345,4.03466911315918,0.8541666666666666,0.05784792209001193,0.0,0.8263586188356081,0.009490740658994943,0.7338840067386627,11.851365860965517,0.6878195389141593,6.515520143508911,1.0,0.0,1.0
30% noise,OOD noise,144,0.047264679244512484,0.001315555502085668,0.03729639090597629,0.8700622936917676,0.05316464769833571,0.4687084287405014,1313.0045767890083,26.12521896436654,1115.93837890625,0.9720489316516452,0.006056780271074302,0.9252523839473724,109664167.09324902,214913634.62140274,25.772653770446777,0.18055555555555555,0.06304537585252452,0.0,0.8004322097533279,0.007895909212630746,0.7364593148231506,9.542378604412079,0.36694000878284916,6.589206218719482,1.0,0.0,1.0
four obstacles,ID,144,0.046892460694329605,0.0013127482607380675,0.03550478033721447,0.4731927307115661,0.03456129093245024,0.29439584016799925,1409.5689629448784,22.189186568514756,1269.0610107421876,0.889243265406953,0.020275117474512685,0.6907674610614777,4395.378588769171,5151.672223086655,5.478984785079956,0.5625,0.08130894849212542,0.0,0.7862872162626849,0.009107921529634943,0.6983628332614898,8.963735610246658,0.39097282713262915,5.630488586425781,1.0,0.0,1.0
heteroscedastic noise,OOD noise,144,0.056452699264304504,0.001521804170413689,0.04457977674901485,1.3083291436649032,0.057214699538155805,0.8301995098590851,1423.1839014689128,36.175050872403375,1159.2555541992188,0.9085541458593475,0.01727088491345777,0.7267944574356079,15893.48308320509,24154.355580754473,6.3210546493530275,0.5069444444444444,0.08194381230578086,0.0,0.8064032097657522,0.010506526784740733,0.7224129498004913,10.57203898164961,0.6323645213011458,6.204947757720947,1.0,0.0,1.0
mirrored kites,lsmlab-inspired,144,0.05924637814880245,0.002069049677390653,0.04259667843580246,0.8008454440989428,0.05593327363857293,0.3168810814619064,1920.452054341634,46.50952319660479,1566.5109741210938,0.8723681523568101,0.018093355817168335,0.7213902771472931,16004.818293700615,24828.914634517383,6.178706264495849,0.6597222222222222,0.07765785724032988,0.0,0.8101806371576257,0.009260338216098446,0.7601061224937439,10.99481040570471,0.8310040719709578,7.33704023361206,1.0,0.0,1.0
one obstacle,ID,144,0.0623059802383068,0.0027652388331851595,0.035395924001932144,0.027567052120502922,0.008721807189474408,0.001851432991679758,2098.2796661257744,110.39827578004655,991.5895874023438,0.7098170051144229,0.02386563904508626,0.5897276639938355,32.483893010351395,16.50540361778662,3.87494478225708,0.8611111111111112,0.056682813794024435,0.0,0.7690532079173459,0.006490270860380059,0.7290081322193146,7.984236251976755,0.3655185868455865,6.380460453033447,1.0,0.0,1.0
six obstacles,OOD count,144,0.04154789812552432,0.0014091108387563167,0.030996160209178926,0.8400408573862579,0.08203281651327998,0.37298160791397095,1208.510045369466,22.71939821743022,1043.5428955078125,0.9173131965928607,0.018774335364368625,0.72052783370018,109893747.49011199,215381931.09029707,6.177654504776002,0.3958333333333333,0.08015352280678135,0.0,0.7804422179857889,0.009021779747028712,0.6903670430183411,8.683874785900116,0.3966041845759591,5.459390878677368,1.0,0.0,1.0
three obstacles,ID,144,0.057572526624426246,0.0014388158489030973,0.046198006346821786,1.2999492703626554,0.06153470763136046,0.7787283420562745,1477.2796410454644,36.340339907713805,1198.785400390625,0.9068055724104246,0.017507157561779386,0.7363286197185517,61245.38377687666,104520.75702282002,6.587855243682862,0.5069444444444444,0.08194381230578086,0.0,0.7839574606882201,0.00937864924566722,0.7242380023002625,9.051303330394957,0.5006544616403036,6.252637147903442,1.0,0.0,1.0
three stars,OOD shape,144,0.05819869737347795,0.001430578133264516,0.046017973124980925,1.4138398187028036,0.056487606533353496,0.9439213156700135,1484.1319427490234,39.42587601006088,1193.33076171875,0.8839796789818339,0.02108845758543491,0.6269530773162841,1365.0361158748467,1098.8802389638417,4.361332750320434,0.5277777777777778,0.08182515054689438,0.0,0.8007582508855395,0.00921988889087087,0.7260817587375641,9.923595865567526,0.5294510460793952,6.301453924179077,1.0,0.0,1.0
two crescents,OOD shape,144,0.05731963674123916,0.002056316411246565,0.04293070062994957,0.7727518023716079,0.049398247423544615,0.34383505284786225,1958.1751090155708,54.91706310819436,1575.6472900390625,0.8516479945845075,0.021104330652478662,0.6473377645015717,1451.1409067577786,1918.002427749189,4.671240997314453,0.6666666666666666,0.07726481974257346,0.0,0.8237598600486914,0.010930227007468893,0.7460479140281677,12.515107578701443,0.979456538528671,6.875557136535645,1.0,0.0,1.0
two obstacles,ID,144,0.05840095215373569,0.0018462581183509767,0.043770084902644155,0.7076779445633292,0.047117926897428115,0.3140484690666199,1973.8856794569228,47.14092077124957,1644.3807739257813,0.833211907496055,0.01974248893224283,0.6553621351718902,168.7259727583991,99.60573977908199,4.803195762634277,0.7291666666666666,0.07283707777629397,0.0,0.7958972623778714,0.00895380607418418,0.7548251688480377,10.076643615961075,0.8069134497023832,7.157459115982055,1.0,0.0,1.0
wavenumber 12,OOD frequency,144,0.07145127798948023,0.001745880317976071,0.057952221110463144,1.5875625889748335,0.10075737465517925,0.6671599090099335,1291.902742597792,23.46492875753562,1112.4681518554687,0.9152891354428397,0.01775398715828506,0.73733971118927,7192.222735077143,11825.217128799022,6.6158346176147464,0.4652777777777778,0.08175387082035969,0.0,0.7887377900381883,0.007198060691116871,0.7180528104305267,8.832330091132057,0.2956426572927675,6.096400547027588,1.0,0.0,1.0
