seed,step,loss,identification_loss,ranking_loss,relative_residual,gradient_norm,elapsed_seconds,wavenumber,noise,aperture_degrees,mean_count
17,0,0.9733971953392029,0.9465305209159851,0.30110761523246765,0.28302469849586487,8.14653491973877,0.356978622963652,6.0,0.12261567981145044,360.0,2.5
17,100,0.2985140383243561,0.27838587760925293,0.34491732716560364,0.06302860379219055,11.049038887023926,3.348472576995846,10.0,0.1708459969714141,360.0,3.0833334922790527
17,200,0.29440799355506897,0.2761958837509155,0.3101028501987457,0.05940729379653931,11.914414405822754,6.0098348960164,10.0,0.13036893143703043,360.0,2.5
17,300,0.29440736770629883,0.2753323018550873,0.3517533838748932,0.032238878309726715,4.613945960998535,8.609030110994354,8.0,0.04788389669533224,360.0,2.25
17,400,0.3335292637348175,0.3114664852619171,0.33290043473243713,0.12234654277563095,11.301605224609375,11.246245905989781,10.0,0.04661020837439203,240.0,2.0833334922790527
17,500,0.21412189304828644,0.19629812240600586,0.32324549555778503,0.035361602902412415,2.4180822372436523,13.851423960993998,8.0,0.1951364424953677,360.0,2.1666667461395264
17,600,0.22620423138141632,0.20859295129776,0.3143105208873749,0.041099727153778076,3.6620547771453857,16.48933994100662,6.0,0.07113491439902082,360.0,2.4166667461395264
17,700,0.22397199273109436,0.2037813663482666,0.32970961928367615,0.08513998240232468,4.3648529052734375,19.066347274987493,8.0,0.16969031792201517,240.0,2.6666667461395264
17,800,0.21059292554855347,0.19288234412670135,0.3359735310077667,0.01897420361638069,4.0077314376831055,21.675945574010257,8.0,0.15442861028033425,240.0,2.8333334922790527
17,900,0.21203047037124634,0.19396743178367615,0.32521185278892517,0.03989338129758835,2.9878008365631104,24.270640125963837,10.0,0.15575846919008485,240.0,2.3333334922790527
17,1000,0.2394651174545288,0.22068361937999725,0.312834769487381,0.06813159584999084,3.8000242710113525,26.977103731012903,10.0,0.1520755479289385,360.0,2.25
17,1100,0.3149357736110687,0.2919137477874756,0.36790457367897034,0.10282706469297409,3.1725692749023438,29.947840259992518,10.0,0.045281897881523765,360.0,2.75
17,1200,0.38317081332206726,0.36336153745651245,0.32167914509773254,0.08629395812749863,10.396642684936523,32.941604333987925,6.0,0.18847243595762153,360.0,2.5
17,1300,0.28744664788246155,0.2695886790752411,0.31201857328414917,0.048209525644779205,5.383053302764893,35.87502469896572,10.0,0.19936891650646543,360.0,2.25
17,1400,0.20867492258548737,0.18936017155647278,0.34756624698638916,0.041010141372680664,1.9726008176803589,38.843465207959525,8.0,0.08458691850423951,360.0,3.0
