step,seed,loss,tau,selected
1,1,0.27412328124046326,1.2495977052722038,27 49 6 63 38 17 0 56
100,1,0.19264039397239685,1.2104047321570373,30 37 23 49 41 63 10 0
200,1,0.2004682719707489,1.1720636925025194,31 40 23 35 27 50 12 44
300,1,0.1688295155763626,1.1349371518356002,30 41 20 34 26 52 9 63
400,1,0.19069340825080872,1.098986639426112,29 40 19 51 33 25 7 63
500,1,0.18496763706207275,1.0641749031509808,33 21 45 10 29 37 56 25
600,1,0.19054195284843445,1.0304658708933632,28 42 19 53 32 24 36 63
700,1,0.19825302064418793,0.9978246131645195,26 38 17 50 30 22 34 63
800,1,0.18923315405845642,0.9662173069096798,25 40 15 50 31 21 35 6
900,1,0.19987240433692932,0.9356112004604039,23 37 14 48 27 31 19 57
1000,1,0.20314256846904755,0.9059745795971195,22 44 32 12 54 26 63 0
1100,1,0.19186976552009583,0.8772767346866686,30 45 18 55 63 6 26 22
1200,1,0.1933804452419281,0.8494879288608139,30 20 43 26 53 34 9 63
1300,1,0.18976342678070068,0.822579367202728,30 20 42 26 52 34 10 63
1400,1,0.19881708920001984,0.7965231669095385,30 19 43 26 53 34 10 63
1500,1,0.1947249174118042,0.7712923284000122,26 42 15 51 22 30 63 34
1600,1,0.20975708961486816,0.7468607073374355,20 42 29 11 51 24 16 63
1700,1,0.23394440114498138,0.723202987538707,24 14 37 20 48 28 3 63
1800,1,0.21184739470481873,0.7002946547415665,27 17 37 23 9 31 13 47
1900,1,0.2092178612947464,0.6781119712027766,29 19 40 25 10 15 33 50
2000,1,0.22110596299171448,0.6566319511009417,30 22 39 26 12 34 18 48
2100,1,0.20195412635803223,0.6358323367184706,30 21 40 26 11 34 17 49
2200,1,0.17864282429218292,0.6156915753780029,32 23 42 12 28 19 36 51
2300,1,0.19537170231342316,0.5961887971094048,33 25 42 29 11 37 21 52
2400,1,0.18362809717655182,0.5773037930241883,35 26 44 12 31 39 22 63
2500,1,0.1878392994403839,0.5590169943749475,36 28 44 13 32 40 24 63
2600,1,0.17937953770160675,0.5413094522781122,35 25 44 12 39 31 53 21
2700,1,0.18818259239196777,0.5241628180790088,36 45 26 13 40 32 54 22
2800,1,0.1797901839017868,0.5075593243388804,34 22 44 10 29 38 18 14
2900,1,0.1981983184814453,0.4914817664241675,32 20 43 10 26 36 16 51
3000,1,0.17032723128795624,0.47591348467896966,33 21 44 11 26 37 17 52
3100,1,0.1934954822063446,0.4608383471622164,33 22 43 11 29 37 18 52
3200,1,0.1886817216873169,0.44624073293165945,34 21 44 10 26 30 38 17
3300,1,0.18597522377967834,0.43210551585736423,32 21 43 10 28 36 52 17
3400,1,0.17996810376644135,0.4184180489479291,33 21 44 9 54 29 37 25
3500,1,0.18057870864868164,0.40516414917319066,34 22 44 9 38 30 26 54
3600,1,0.19779327511787415,0.3923300827676878,35 24 45 9 39 31 63 0
3700,1,0.19879868626594543,0.3799025509996571,34 43 24 10 38 30 53 0
3800,1,0.19783145189285278,0.3678686763908121,34 24 43 11 38 30 53 0
3900,1,0.18079295754432678,0.3562159893726279,35 24 45 11 39 31 55 0
4000,1,0.17955857515335083,0.3449324153653037,35 23 45 11 39 31 55 27
4100,1,0.17193125188350677,0.3340062622660164,38 24 47 12 42 34 30 63
4200,1,0.19373081624507904,0.32342620833349656,36 24 46 12 40 32 28 55
4300,1,0.1925169825553894,0.31318129045637755,37 25 47 13 41 33 29 3
4400,1,0.19517782330513,0.3032608927931576,37 25 46 13 41 33 29 55
4500,1,0.19023409485816956,0.29365473577200474,37 47 24 12 41 33 29 56
4600,1,0.2181141972541809,0.2843528654390072,37 46 26 41 14 33 55 50
4700,1,0.1979716718196869,0.2753456431438301,39 48 27 16 43 35 31 6
4800,1,0.20639771223068237,0.26662373555209185,38 48 26 15 42 34 30 57
4900,1,0.1724473237991333,0.25817810497411076,38 48 25 14 42 34 30 57
5000,1,0.20537294447422028,0.25,38 48 24 13 42 34 30 4
