step,loss,eval_mse_post,eval_mse_true,eval_rel_post,jacobi_same_depth_mse_post,attn_entropy_last,delta_norm_last
1,1.0347189903259277,0.9967402219772339,1.0010688304901123,0.9982219934463501,0.000718648370821029,4.850257396697998,0.01850486919283867
250,0.05805482715368271,0.06315749138593674,0.06418938934803009,0.2447425127029419,0.0008175083203241229,4.846759796142578,0.4573932886123657
500,0.02849431149661541,0.028747431933879852,0.02980397641658783,0.16574740409851074,0.0006919882725924253,4.848245143890381,0.3272210955619812
750,0.011494196951389313,0.011870457790791988,0.012786006554961205,0.10459369421005249,0.0007013209396973252,4.84715461730957,0.2121027708053589
1000,0.005336809437721968,0.005093466490507126,0.005707107950001955,0.06862300634384155,0.0007338033756241202,4.845088958740234,0.13820891082286835
1250,0.0026395919267088175,0.0025151195004582405,0.0031637216452509165,0.04774140194058418,0.0007696837419643998,4.842129707336426,0.10039862990379333
1500,0.0013526687398552895,0.0015085390768945217,0.00220333319157362,0.036221668124198914,0.0007243833970278502,4.838459014892578,0.07880023866891861
1750,0.0008480770047754049,0.0008286795928142965,0.001448791939765215,0.027023274451494217,0.0006681828526780009,4.837143898010254,0.05907417833805084
2000,0.0006587346433661878,0.0006008227355778217,0.0011730032274499536,0.022839199751615524,0.000675007002428174,4.837846755981445,0.052833858877420425
2250,0.0004934147000312805,0.000446764548541978,0.0010328813223168254,0.01913205161690712,0.0006529623060487211,4.839198589324951,0.04783306270837784
2500,0.0003694634069688618,0.0003302813565824181,0.0009414011728949845,0.016713622957468033,0.0006910664960741997,4.838825225830078,0.04178207367658615
2750,0.0002902092528529465,0.0002837269566953182,0.0009024807950481772,0.014979159459471703,0.0007258709520101547,4.838705062866211,0.04041948914527893
3000,0.0002832164755091071,0.000225452080485411,0.000832391669973731,0.013353187590837479,0.0008007579017430544,4.8385210037231445,0.03724858909845352
3250,0.00014330368139781058,0.00015772474580444396,0.0007316287374123931,0.01156691461801529,0.0006557317683473229,4.839232921600342,0.032926350831985474
3500,0.00014521455159410834,0.00014033776824362576,0.0007144724950194359,0.010455594398081303,0.000694535207003355,4.838624954223633,0.03087998926639557
3750,0.0001196961966343224,0.0001336019777227193,0.0007224238361231983,0.010018019005656242,0.000783637457061559,4.839577674865723,0.02814396284520626
4000,0.00010366358037572354,0.00011292997805867344,0.0006781504489481449,0.009252914227545261,0.0007291852380149066,4.839059829711914,0.02819114923477173
4250,8.133138908306137e-05,0.00011247848306084052,0.0007036011666059494,0.008691019378602505,0.000731010630261153,4.8392181396484375,0.027399078011512756
4500,7.559922232758254e-05,7.153327169362456e-05,0.0006636414909735322,0.007596442475914955,0.0006378093385137618,4.839389801025391,0.023459265008568764
4750,6.615449819946662e-05,6.369068432832137e-05,0.0006593245198018849,0.007081362418830395,0.0006418917328119278,4.839643478393555,0.023404881358146667
5000,6.748273881385103e-05,6.826530443504453e-05,0.0006419365527108312,0.007125202566385269,0.000762996613048017,4.839645862579346,0.022467777132987976
5250,6.439363642130047e-05,7.683964940952137e-05,0.0006654014578089118,0.007733896840363741,0.0006588390679098666,4.8409810066223145,0.023524729534983635
5500,6.676460179733112e-05,5.834686089656316e-05,0.0006221181829459965,0.006648872047662735,0.0007008775137364864,4.840780258178711,0.022371824830770493
5750,6.027060953783803e-05,5.398377834353596e-05,0.0006297752261161804,0.006354064680635929,0.0007289526984095573,4.841033935546875,0.022650931030511856
6000,7.941595686133951e-05,7.701125286985189e-05,0.0006526802899315953,0.007562232203781605,0.0006872395169921219,4.842804431915283,0.023699544370174408
6250,5.178673382033594e-05,5.9003763453802094e-05,0.0006415994721464813,0.00638777669519186,0.0007077872287482023,4.8424177169799805,0.022541042417287827
6500,3.772153286263347e-05,4.9186117394128814e-05,0.0006354519864544272,0.005715453065931797,0.0007412869017571211,4.842438697814941,0.020825160667300224
6750,3.764941720874049e-05,3.7557430914603174e-05,0.0006360540864989161,0.005255027674138546,0.0006914299447089434,4.842581748962402,0.019332684576511383
7000,3.271141758887097e-05,3.29135509673506e-05,0.0006282867398113012,0.004947226494550705,0.0006985683576203883,4.8424177169799805,0.017629027366638184
7250,3.8119746022857726e-05,4.095213080290705e-05,0.0006274648476392031,0.004958340898156166,0.0006883429014123976,4.842704772949219,0.01973903365433216
7500,3.386075695743784e-05,3.6229110264685005e-05,0.0006164725637063384,0.004759678617119789,0.0007367751095443964,4.842676162719727,0.01868254318833351
7750,2.500263690308202e-05,2.4285898689413443e-05,0.000626031425781548,0.004364343360066414,0.0006381251150742173,4.842822074890137,0.0170036219060421
8000,2.4356144422199577e-05,2.798088826239109e-05,0.0006189933628775179,0.004386782180517912,0.000734835397452116,4.8427734375,0.01908334158360958
8250,2.537809996283613e-05,2.830410267051775e-05,0.0006205250974744558,0.004296379163861275,0.0007662312709726393,4.843072414398193,0.017847822979092598
8500,2.5841130991466343e-05,2.17465239984449e-05,0.0006013595266267657,0.00399849284440279,0.0006860489957034588,4.842935562133789,0.015557793900370598
