K,M,M_over_K,cond,depth,identity_mse_z_primal_vs_dual,identity_rel_z_primal_vs_dual,z_star_mse_true,cond_H_mean,dual_unprecond_mse,dual_diag_mse,dual_rowsum_abs_mse,dual_softmax_exp_mse,dual_signed_relu_mse,primal_scalar_opt_mse,primal_jacobi_mse
8,8,1.0,10.0,4,6.187736087404083e-12,2.10985973581046e-06,0.09993203729391098,271.42893981933594,0.2926100417971611,0.21013297140598297,0.22263069450855255,22.25752878189087,0.22263070195913315,0.2926100790500641,0.3273671939969063
8,8,1.0,10.0,8,5.796873397967417e-12,2.0790913026758062e-06,0.09590361081063747,262.7624969482422,0.21130457147955894,0.13245519250631332,0.14463264122605324,64.15933036804199,0.14463264495134354,0.21130460128188133,0.20576713234186172
8,8,1.0,10.0,16,6.065191968454564e-12,2.0953387434019533e-06,0.09449011646211147,272.4256134033203,0.1491146981716156,0.07509039342403412,0.08388344943523407,153.65362930297852,0.08388344943523407,0.14911455661058426,0.13758329674601555
8,8,1.0,10.0,32,6.101662144292197e-12,2.120550334439031e-06,0.09274625033140182,271.5415954589844,0.0972085241228342,0.03679671883583069,0.04248232953250408,261.1640205383301,0.042482334189116955,0.09720878303050995,0.07773892395198345
8,8,1.0,100.0,4,3.733721610967716e-12,1.8512995723085623e-06,0.1551961824297905,417.31646728515625,0.34057389944791794,0.24130292981863022,0.2530563473701477,28.683671951293945,0.2530563473701477,0.34057387709617615,0.7642294615507126
8,8,1.0,100.0,8,3.729167528162408e-12,1.8085873989548418e-06,0.158424012362957,412.5670166015625,0.2684078961610794,0.16865265741944313,0.1806161105632782,78.43987846374512,0.1806161068379879,0.26840798556804657,0.5050759986042976
8,8,1.0,100.0,16,3.5470277431372266e-12,1.8135193897705904e-06,0.16180488094687462,417.6788864135742,0.18862594291567802,0.10480687022209167,0.11429371125996113,145.7236671447754,0.11429371498525143,0.18862580135464668,0.2763511911034584
8,8,1.0,100.0,32,3.359235036404923e-12,1.8110310691099585e-06,0.1503797024488449,412.37813568115234,0.13232703879475594,0.059686959721148014,0.06557017285376787,236.39043045043945,0.06557017378509045,0.1323269009590149,0.11194099672138691
8,8,1.0,1000.0,4,2.02882909040511e-12,1.590560458453183e-06,0.2548581287264824,541.5608062744141,0.3444989323616028,0.2215346023440361,0.23280618339776993,36.28626823425293,0.23280618339776993,0.34449896216392517,1.1486515700817108
8,8,1.0,1000.0,8,2.1839355410918637e-12,1.6505565554325585e-06,0.2561825253069401,544.3009338378906,0.2704300731420517,0.15255317464470863,0.164446659386158,81.58599472045898,0.164446659386158,0.27043022960424423,0.5812924355268478
8,8,1.0,1000.0,16,2.0673703092326245e-12,1.662303077409888e-06,0.2513279914855957,545.8303985595703,0.21629876643419266,0.10532140359282494,0.11516162380576134,154.98691177368164,0.11516162194311619,0.21629899740219116,0.21069908142089844
8,8,1.0,1000.0,32,2.063528601464748e-12,1.6300860465889855e-06,0.2580423653125763,545.5683288574219,0.15236269310116768,0.06434265337884426,0.07120275497436523,213.69142150878906,0.07120275497436523,0.15236292406916618,0.0508139468729496
8,16,2.0,10.0,4,6.170958519570793e-13,7.782493298691406e-07,0.005204852321185172,44.56374931335449,0.2788991630077362,0.20504996180534363,0.23024308681488037,84.95347595214844,0.23024309054017067,0.24111644178628922,0.16963636130094528
8,16,2.0,10.0,8,6.290918036066379e-13,7.839208109317042e-07,0.005331225460395217,44.58658027648926,0.19179165363311768,0.10921921953558922,0.12984498217701912,258.0986785888672,0.12984498590230942,0.13142887875437737,0.0725345816463232
8,16,2.0,10.0,16,6.086432220850022e-13,7.743853984720772e-07,0.005422884365543723,45.726688385009766,0.13994212821125984,0.04708813689649105,0.06013692542910576,657.1175842285156,0.06013692729175091,0.057937453500926495,0.02236667275428772
8,16,2.0,10.0,32,6.380522466712529e-13,7.72181863339938e-07,0.005260485108010471,44.47395038604736,0.11190362088382244,0.015346926636993885,0.02083265595138073,1234.1669006347656,0.02083265734836459,0.01665019686333835,0.0035520055680535734
8,16,2.0,100.0,4,1.453618882164484e-12,1.2089252265923278e-06,0.02216434385627508,219.7801856994629,0.42390596866607666,0.30776140838861465,0.3286750018596649,126.83253288269043,0.3286749944090843,0.4159049987792969,0.4294317811727524
8,16,2.0,100.0,8,1.4726360864254773e-12,1.235135442811952e-06,0.023565471172332764,220.2221450805664,0.32608745247125626,0.22576044499874115,0.24718940258026123,315.91078186035156,0.24718940258026123,0.3126197010278702,0.1798531748354435
8,16,2.0,100.0,16,1.4751048689823354e-12,1.2198583476674685e-06,0.02387372963130474,222.42292022705078,0.24986406788229942,0.1422380693256855,0.1619541458785534,684.2296295166016,0.1619541458785534,0.2225870043039322,0.04522045888006687
8,16,2.0,100.0,32,1.4546547831301854e-12,1.2061260008522368e-06,0.024669146165251732,227.0998764038086,0.1811733841896057,0.08322413265705109,0.09801140986382961,1113.6500549316406,0.09801140986382961,0.13853922113776207,0.006360346102155745
8,16,2.0,1000.0,4,2.7314329183875108e-12,1.8377757555754215e-06,0.1112354975193739,724.4578857421875,0.4478125646710396,0.3067729249596596,0.3243236020207405,156.62407302856445,0.3243236020207405,0.4467463716864586,0.8417979776859283
