ensemble,sweep,width,rank,depth,samples,inverse_width,inverse_rank,gaussian_double_expansion,perturbative_parameter,entry_variance_mean,offdiagonal_variance_mean,selected_variance_01,mean_ntk_frobenius
gaussian,depth,96,16,2,300,0.010416666666666666,0.0625,0.07291666666666667,0.5833333333333334,0.4111048075971409,0.31890332241478403,0.6316470911920924,14.049098453354105
gaussian,depth,96,16,4,300,0.010416666666666666,0.0625,0.07291666666666667,4.666666666666667,4.79609602007426,3.2924241713621356,7.725680746074032,25.53086040942792
gaussian,depth,96,16,6,300,0.010416666666666666,0.0625,0.07291666666666667,15.750000000000002,18.140559197391404,12.303368041615348,25.68883636695847,34.39450253924325
gaussian,depth,96,16,8,300,0.010416666666666666,0.0625,0.07291666666666667,37.333333333333336,53.55734531297232,34.69458681697407,72.66080272305277,46.774080187716166
gaussian,depth,96,16,12,300,0.010416666666666666,0.0625,0.07291666666666667,126.00000000000001,194.11680031856847,115.77871729315767,179.27340817888424,68.69204151921201
gaussian,depth,96,16,16,300,0.010416666666666666,0.0625,0.07291666666666667,298.6666666666667,689.1321972563735,456.5129345183224,795.5548523174112,93.60107084438174
gaussian,rank,96,4,2,300,0.010416666666666666,0.25,0.2604166666666667,2.0833333333333335,0.8046734741380183,0.6494728222558438,0.9306655413263714,13.1551512265787
gaussian,rank,96,8,2,300,0.010416666666666666,0.125,0.13541666666666666,1.0833333333333333,0.636441665516255,0.5091253423033434,0.8233435358694526,14.093700232785123
gaussian,rank,96,12,2,300,0.010416666666666666,0.08333333333333333,0.09375,0.75,0.37956982722692656,0.29498617733947197,0.5086195026984063,13.368186693520391
gaussian,rank,96,16,2,300,0.010416666666666666,0.0625,0.07291666666666667,0.5833333333333334,0.33473496020218074,0.2640850019165612,0.4419143573715167,13.779506872702159
gaussian,rank,96,24,2,300,0.010416666666666666,0.041666666666666664,0.05208333333333333,0.41666666666666663,0.25344931768835643,0.1966712972019087,0.38837823325113213,13.705636364237897
gaussian,rank,96,32,2,300,0.010416666666666666,0.03125,0.041666666666666664,0.3333333333333333,0.2196549401383871,0.16724476883226352,0.260658237900508,13.867741620728301
gaussian,rank,96,48,2,300,0.010416666666666666,0.020833333333333332,0.03125,0.25,0.19094618978146663,0.14755487289238375,0.2600895728324078,13.88455485288286
gaussian,rank,96,64,2,300,0.010416666666666666,0.015625,0.026041666666666664,0.20833333333333331,0.1875484888287828,0.14425029621314878,0.27049860155000266,13.709423032872609
gaussian,rank,96,96,2,300,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.16666666666666666,0.1616758589421807,0.12402406243557998,0.22706867288278249,13.790505675185424
gaussian,width,48,16,2,300,0.020833333333333332,0.0625,0.08333333333333333,0.6666666666666666,0.5095655994825338,0.3946547384389118,0.6395525674318733,13.823302733667383
gaussian,width,64,16,2,300,0.015625,0.0625,0.078125,0.625,0.40624985846374706,0.31828490873848636,0.5812342155793557,13.487545414878744
gaussian,width,96,16,2,300,0.010416666666666666,0.0625,0.07291666666666667,0.5833333333333334,0.41253283167273896,0.3316306842240622,0.5958818189720483,13.737227511905418
gaussian,width,128,16,2,300,0.0078125,0.0625,0.0703125,0.5625,0.3380820474027173,0.2666210855692321,0.3986342089066552,13.743393543607315
