n,r,L,m,reps,epsilon,gamma,V_same_diag,C_same_diag,A_same_diag,V_same_off,C_same_off,A_same_off,V_disjoint_off,C_disjoint_off,A_disjoint_off,V_same_off_over_eps_L,C_same_off_over_eps_L2,A_same_off_over_eps_L3,abs_V_same_off_over_eps_L,abs_C_same_off_over_eps_L2,abs_A_same_off_over_eps_L3,V_disjoint_off_over_eps_L,C_disjoint_off_over_eps_L2,A_disjoint_off_over_eps_L3,V_pair_12_34,C_pair_12_34,A_pair_12_34,V_pair_13_24,C_pair_13_24,A_pair_13_24,V_pair_14_23,C_pair_14_23,A_pair_14_23
128,8,2,8,500,0.12410565566323441,0.11629315566323441,0.002697135654395752,0.3466155814019831,44.55067214544849,0.0007265178535073261,0.09322509817603097,11.962774565667909,0.00010358479954962279,0.013278605544612567,1.7012237458586512,0.0029270134774468334,0.18779381503168752,12.048982076740895,0.0029270134774468334,0.18779381503168752,12.048982076740895,0.0004173250566062204,0.026748590694054643,1.7134832985321282,6.24220849543031e-05,0.008018140431947663,1.026805806021287,2.251591124767844e-05,0.0028925130430045515,0.37151046957754796,3.008040459077552e-05,0.0038533908266557113,0.4964621546265637
128,8,3,8,500,0.12410565566323441,0.11629315566323441,0.004306642699093067,0.5555068187297227,71.67211290237987,0.0013106124009120714,0.16851699412295734,21.66898541722967,0.00034638809616632343,0.04445809864375724,5.701490617319793,0.003520152228110296,0.15087233823505178,6.466707831838989,0.003520152228110296,0.15087233823505178,6.466707831838989,0.0009303580735709611,0.039803091259592235,1.7015043998719968,0.000183151367079765,0.02345031335479922,3.0041143529314667,0.00024356628767217438,0.031215877721741156,3.9984624641882602,0.00018288489787540214,0.0233843239310361,2.992984208251159
128,8,4,8,500,0.12410565566323441,0.11629315566323441,0.006385182153854757,0.8253369818176683,106.72984834439686,0.002648980772341926,0.3411398084213091,43.93733359542332,0.0011580818056043881,0.14894193103364703,19.15132251649358,0.005336140319684624,0.17179908451704923,5.531744977774347,0.005336140319684624,0.17179908451704923,5.531744977774347,0.002332854613706906,0.07500762668594997,2.411166620256293,0.000837170092355211,0.10765759076981271,13.82765774665404,0.0008358766910053272,0.10736493746512082,13.793066154865643,0.0009075943096731038,0.11654512696632445,14.992019843137834
128,8,5,8,500,0.12410565566323441,0.11629315566323441,0.009917741615039166,1.2859028966738673,166.84148094802023,0.004264689563757457,0.5506794188703121,71.1198480750908,0.0020886227009046573,0.2694669736405527,34.76026662679607,0.006872675610094451,0.17748729207461825,4.584471042517341,0.006872675610094451,0.17748729207461825,4.584471042517341,0.003365878355410679,0.08685082793382502,2.2406886416921674,0.00161212408630423,0.20744072646342512,26.753114803064182,0.0015975282638053003,0.20555479730050116,26.47563478174618,0.0016099744853422073,0.20739964292762705,26.706062111539172
128,8,6,8,500,0.12410565566323441,0.11629315566323441,0.010399029207125555,1.3614852182885229,178.41276017273753,0.004344229331586803,0.5630184619773432,72.9833133056771,0.002149641375859392,0.278181956552513,35.995188615901725,0.005834046950252131,0.12601683330235167,2.7225649624330686,0.005834046950252131,0.12601683330235167,2.7225649624330686,0.002886843155765773,0.06226369402431915,1.3427622685664051,0.0018113842068285164,0.2341304465329464,30.355576202426512,0.001883535908218199,0.2436177761936231,31.482869065996592,0.0017610453100542036,0.22725885933133708,29.447118211591935
128,8,8,8,500,0.12410565566323441,0.11629315566323441,0.01893660229475412,2.48417463553104,326.35001876763124,0.007145187975857239,0.9312807229929219,121.43823650499583,0.003107654403105449,0.4044872240463258,52.625095148321286,0.007196678444741862,0.11724897805020124,1.9111462278353233,0.007196678444741862,0.11724897805020124,1.9111462278353233,0.003130049136860241,0.05092526075422152,0.8281926267765894,0.0022448240322872426,0.29207965565012906,38.18303976479228,0.0021949478062263618,0.2856866845386422,37.290019158213184,0.0020842102618586545,0.27176285780608184,35.36898097358405
128,8,10,8,500,0.12410565566323441,0.11629315566323441,0.027924421545940756,3.7056988602783467,492.9376739517618,0.010430177339159463,1.3675005462000018,179.4417623704953,0.005168308203063221,0.6767472814277079,88.47136609210074,0.00840427237857891,0.11018841477384145,1.4458790085877924,0.00840427237857891,0.11018841477384145,1.4458790085877924,0.004164442124287735,0.054529930792524745,0.7128713483628117,0.004752437341028423,0.6214296475400384,81.1013420050398,0.004767352603160345,0.6226819378910514,81.32347674973248,0.004772357742873349,0.622893185762909,81.39198191191326
128,8,12,8,500,0.12410565566323441,0.11629315566323441,0.03799174355956213,5.231161835953296,723.6072770763631,0.01881834783861456,2.558077843969404,348.6950538915954,0.011651983648927756,1.5822974813501696,216.04101256521625,0.01263597250936928,0.14313956424527688,1.6259623147054394,0.01263597250936928,0.14313956424527688,1.6259623147054394,0.007823967668689407,0.0885388896670227,1.0073975553752834,0.007837978233831849,1.0622482196211882,145.20065750109237,0.007631781079833233,1.035231597645246,141.6627789772265,0.007713902958693222,1.0474818864543496,142.6611067504518
128,16,2,8,500,0.062082639309509385,0.054270139309509385,0.0012022628413614726,0.1547336164131273,19.9179930790361,0.0003332091096588903,0.04276507498282499,5.488765077827828,6.029586827535536e-05,0.007738636714464696,0.9920631158588201,0.002683593298906766,0.17221028075828976,11.051328396461829,0.002683593298906766,0.17221028075828976,11.051328396461829,0.00048560973684409433,0.03116264385879349,1.997464844626183,3.5701205915857075e-05,0.004586171465450065,0.588842558650853,2.866237138098143e-05,0.003679573283679748,0.47125408242424005,4.538513451042346e-05,0.0058032494314169385,0.7443953556043019
128,16,3,8,500,0.062082639309509385,0.054270139309509385,0.0019520097501084062,0.2519462537434422,32.529436426691134,0.0006699142772436803,0.08614896647804349,11.079184316540006,0.00021398426701335052,0.02747868197378008,3.5268352920384767,0.0035968953891917176,0.154183319087452,6.609579818701411,0.0035968953891917176,0.154183319087452,6.609579818701411,0.001148921659867715,0.04917939894201467,2.104026677788977,0.00019989252603485762,0.025680642395236576,3.294496179715079,0.00015809990872624974,0.0202834648601972,2.603911702564157,0.00018126824646115536,0.023281341347979448,2.990783625043362
