variant,seed,depth,mse,se
matched,3,1,1.5943529605865479,0.016532687470316887
matched,3,2,0.8937411308288574,0.009558494202792645
matched,3,4,0.22401638329029083,0.0023406250402331352
matched,3,8,0.13145247101783752,0.0018703995738178492
matched,3,12,0.119317427277565,0.0018417458049952984
matched,3,16,0.119611956179142,0.0018143755150958896
matched,3,24,0.11513860523700714,0.001901102252304554
matched,3,32,0.11655189096927643,0.0018347700824961066
