step,variant,seed,n_context,train_mse,eta,beta,fixed_lengthscale
1,matched,3,9,0.22328737378120422,1.0792853832244873,0.11397141963243484,0.18000000715255737
100,matched,3,7,0.3031328022480011,2.659524440765381,0.5898160934448242,0.18000000715255737
200,matched,3,16,0.07060008496046066,2.4009668827056885,0.4844774007797241,0.18000000715255737
300,matched,3,6,0.36610040068626404,2.7565412521362305,0.5999919772148132,0.18000000715255737
400,matched,3,8,0.25063109397888184,2.7069804668426514,0.58659428358078,0.18000000715255737
500,matched,3,8,0.28019195795059204,2.6832616329193115,0.5740718245506287,0.18000000715255737
600,matched,3,14,0.0874643325805664,2.6489319801330566,0.556968092918396,0.18000000715255737
700,matched,3,9,0.18395596742630005,2.707615613937378,0.5837148427963257,0.18000000715255737
800,matched,3,13,0.09640438854694366,2.6995041370391846,0.5773724913597107,0.18000000715255737
900,matched,3,16,0.05284203588962555,2.6590230464935303,0.5583605766296387,0.18000000715255737
1000,matched,3,8,0.2558445334434509,2.6519408226013184,0.5669572353363037,0.18000000715255737
1100,matched,3,13,0.09831785410642624,2.6842074394226074,0.576826810836792,0.18000000715255737
1200,matched,3,14,0.07477771490812302,2.6632609367370605,0.563676118850708,0.18000000715255737
1300,matched,3,8,0.2516171336174011,2.675009250640869,0.5727667808532715,0.18000000715255737
1400,matched,3,7,0.3068583011627197,2.7255520820617676,0.5988326072692871,0.18000000715255737
1500,matched,3,6,0.3589244484901428,2.58432936668396,0.5411499738693237,0.18000000715255737
1600,matched,3,14,0.07949600368738174,2.686164617538452,0.5706560611724854,0.18000000715255737
1700,matched,3,11,0.1541057825088501,2.658508777618408,0.5661776661872864,0.18000000715255737
1800,matched,3,9,0.1755174696445465,2.708423614501953,0.5858317613601685,0.18000000715255737
1900,matched,3,6,0.3589014410972595,2.7009544372558594,0.589287281036377,0.18000000715255737
2000,matched,3,13,0.10513974726200104,2.6713178157806396,0.56642746925354,0.18000000715255737
2100,matched,3,6,0.32341670989990234,2.6892459392547607,0.5801729559898376,0.18000000715255737
2200,matched,3,10,0.17672580480575562,2.6931748390197754,0.5808025598526001,0.18000000715255737
2300,matched,3,13,0.089917853474617,2.6779987812042236,0.5704841613769531,0.18000000715255737
2400,matched,3,13,0.09650633484125137,2.686558246612549,0.5697484016418457,0.18000000715255737
2500,matched,3,15,0.06183287873864174,2.6349282264709473,0.5499682426452637,0.18000000715255737
2600,matched,3,16,0.06887476146221161,2.6882615089416504,0.568967342376709,0.18000000715255737
2700,matched,3,12,0.12287330627441406,2.649791717529297,0.5582029223442078,0.18000000715255737
2800,matched,3,6,0.3713902533054352,2.6383540630340576,0.5585345029830933,0.18000000715255737
2900,matched,3,13,0.12132130563259125,2.614032030105591,0.5466504096984863,0.18000000715255737
3000,matched,3,7,0.29872146248817444,2.6305887699127197,0.5556337237358093,0.18000000715255737
3100,matched,3,6,0.3322666585445404,2.6628990173339844,0.572316586971283,0.18000000715255737
3200,matched,3,15,0.07061228156089783,2.660460948944092,0.5607379674911499,0.18000000715255737
3300,matched,3,13,0.09439750015735626,2.6719727516174316,0.5673954486846924,0.18000000715255737
3400,matched,3,9,0.21983852982521057,2.6434426307678223,0.5655746459960938,0.18000000715255737
3500,matched,3,6,0.34576529264450073,2.69785475730896,0.5818817615509033,0.18000000715255737
3600,matched,3,8,0.2405020296573639,2.653911590576172,0.568090558052063,0.18000000715255737
3700,matched,3,16,0.0582333579659462,2.664855718612671,0.5628862380981445,0.18000000715255737
3800,matched,3,15,0.06974664330482483,2.6053085327148438,0.535116970539093,0.18000000715255737
3900,matched,3,16,0.0631387010216713,2.6713380813598633,0.5683708190917969,0.18000000715255737
4000,matched,3,9,0.1810164749622345,2.7300689220428467,0.5882577896118164,0.18000000715255737
4100,matched,3,16,0.060205988585948944,2.6358799934387207,0.547626256942749,0.18000000715255737
4200,matched,3,10,0.16724754869937897,2.6763906478881836,0.5698795914649963,0.18000000715255737
4300,matched,3,6,0.35191625356674194,2.6304919719696045,0.5544778108596802,0.18000000715255737
4400,matched,3,14,0.07748660445213318,2.719783067703247,0.5879249572753906,0.18000000715255737
4500,matched,3,13,0.10787373781204224,2.684258460998535,0.556990385055542,0.18000000715255737
4600,matched,3,12,0.1225389838218689,2.6598258018493652,0.5569679141044617,0.18000000715255737
4700,matched,3,10,0.16483867168426514,2.652409791946411,0.5569075345993042,0.18000000715255737
4800,matched,3,16,0.06936225295066833,2.665823221206665,0.5634536743164062,0.18000000715255737
4900,matched,3,14,0.09001646190881729,2.6355292797088623,0.5514911413192749,0.18000000715255737
5000,matched,3,15,0.06466830521821976,2.6895480155944824,0.5750661492347717,0.18000000715255737
