variant,seed,n_context,method,mse,se,episodes,parameters,eta,beta
matched,3,4,model,0.5161398649215698,0.005006663501262665,5120,1346,2.7238686084747314,0.6056150794029236
matched,3,4,exact_krr,0.5145028233528137,0.004990946967154741,5120,1346,2.7238686084747314,0.6056150794029236
matched,3,4,nw,0.8472551107406616,0.009375900030136108,5120,1346,2.7238686084747314,0.6056150794029236
matched,3,8,model,0.245762437582016,0.0030270395800471306,5120,1346,2.7039334774017334,0.5852334499359131
matched,3,8,exact_krr,0.24020680785179138,0.002975265495479107,5120,1346,2.7039334774017334,0.5852334499359131
matched,3,8,nw,0.47212380170822144,0.005492816679179668,5120,1346,2.7039334774017334,0.5852334499359131
matched,3,12,model,0.1181953102350235,0.001742095686495304,5120,1346,2.6987998485565186,0.5796598196029663
matched,3,12,exact_krr,0.111114501953125,0.0016803126782178879,5120,1346,2.6987998485565186,0.5796598196029663
matched,3,12,nw,0.32468581199645996,0.0034387586638331413,5120,1346,2.6987998485565186,0.5796598196029663
matched,3,16,model,0.06248818710446358,0.0011374932946637273,5120,1346,2.6872165203094482,0.5740094184875488
matched,3,16,exact_krr,0.05602889135479927,0.001087087206542492,5120,1346,2.6872165203094482,0.5740094184875488
matched,3,16,nw,0.2640298306941986,0.0025681916158646345,5120,1346,2.6872165203094482,0.5740094184875488
matched,3,24,model,0.02195708453655243,0.0004577403306029737,5120,1346,2.642611265182495,0.5565306544303894
matched,3,24,exact_krr,0.017933592200279236,0.0004082866362296045,5120,1346,2.642611265182495,0.5565306544303894
matched,3,24,nw,0.21032896637916565,0.0017511793412268162,5120,1346,2.642611265182495,0.5565306544303894
