tensor,component,power,normalized_coefficient_exact,coefficient_for_inputs,ratio_at_max_depth,relative_error_at_max_depth
V,0000,1,5,8.95463518956274,0.9994999999999726,-0.0005000000000273674
V,0101,1,5,34.19942548228602,0.9971626159995036,-0.002837384000496379
V,0022,1,5,8.44008394237175,0.9947850064262096,-0.005214993573790405
V,0103,1,5,30.29977613204043,0.9970202253088373,-0.0029797746911627288
V,0023,1,5,15.052318442907197,0.9948764453439716,-0.005123554656028428
V,0123,1,5,29.416354730466125,0.9958364664922897,-0.00416353350771026
D,0000,2,3/2,2.6863905568688224,0.9994999999999824,-0.0005000000000175975
D,0101,2,3/5,4.1039310578743216,1.0035586090676907,0.0035586090676906768
D,0022,2,3/2,2.532025182711525,0.9917730423314345,-0.008226957668565515
D,0103,2,3/5,3.6359731358448517,1.0035082125891788,0.003508212589178772
D,0023,2,3/5,1.8062782131488637,1.0010760849680589,0.001076084968058888
D,0123,2,3/5,3.5299625676559345,1.0020855130962902,0.002085513096290237
F,0000,2,1/2,0.8954635189562741,0.9994999999999918,-0.0005000000000081606
F,0101,2,1/2,3.4199425482286014,0.9994854449224991,-0.0005145550775008667
F,0022,2,1/8,0.21100209855929375,1.0111865030886718,0.011186503088671751
F,0103,2,1/8,0.7574944033010108,1.0506666957426944,0.050666695742694445
F,0023,2,1/8,0.37630796107267994,1.011501787650421,0.011501787650421091
F,0123,2,1/8,0.7354088682616531,1.0506629135578962,0.050662913557896205
A,0000,3,7/12,1.0447074387823199,0.9993572142857015,-0.0006427857142985438
A,0101,3,227/2880,0.539115943366592,1.0106245737020654,0.010624573702065376
A,0022,3,7/12,0.9846764599433709,0.988920845613183,-0.011079154386816947
A,0103,3,149/1920,0.47027777538271087,1.0101702811509543,0.010170281150954308
A,0023,3,47/240,0.5895491390138652,0.9991352426946558,-0.0008647573053441882
A,0123,3,37/480,0.4535021354280194,1.0089825425521883,0.008982542552188333
B,0000,3,1/6,0.29848783965209136,0.9992501249999796,-0.000749875000020439
B,0101,3,1/18,0.3799936164698446,1.0038991668431159,0.0038991668431158644
B,0022,3,1/96,0.01758350821327448,1.0160853508476078,0.01608535084760776
B,0103,3,1/72,0.08416604481122342,1.0331016084316542,0.03310160843165422
B,0023,3,1/192,0.01567949837802833,1.0171623756981947,0.017162375698194676
B,0123,3,1/288,0.02042802411837925,1.0401746712629198,0.04017467126291985
