depth,collision_class,component,term,exact_limit,finite_depth_value,absolute_error
5999,both_diagonal,0011,cov_omega_omega,1/4,0.24983402371612864,0.0001659762838713552
5999,both_diagonal,0011,one_quarter_OVO,0,0.00020803779071526087,0.00020803779071526087
5999,both_diagonal,0011,OD_left,3/4,0.7481154573082175,0.0018845426917825092
5999,both_diagonal,0011,OD_right,3/4,0.7481154573082175,0.0018845426917825092
5999,both_diagonal,0011,total,7/4,1.746272976123279,0.0037270238767210806
5999,one_off_diagonal,0012,cov_omega_omega,1/16,0.06265558181723313,0.00015558181723313025
5999,one_off_diagonal,0012,one_quarter_OVO,0,0.00023934618851880992,0.00023934618851880992
5999,one_off_diagonal,0012,OD_left,3/10,0.30012054509197883,0.00012054509197884089
5999,one_off_diagonal,0012,OD_right,13/16,0.810876806126708,0.001623193873292017
5999,one_off_diagonal,0012,total,47/40,1.1738922792244388,0.001107720775561205
5999,same_off_diagonal_pair,0101,cov_omega_omega,1/64,0.015729007128647422,0.00010400712864742229
5999,same_off_diagonal_pair,0101,one_quarter_OVO,0,0.0002864612359113783,0.0002864612359113783
5999,same_off_diagonal_pair,0101,OD_left,111/320,0.3473843821760708,0.0005093821760708273
5999,same_off_diagonal_pair,0101,OD_right,111/320,0.3473843821760708,0.0005093821760708273
5999,same_off_diagonal_pair,0101,total,227/320,0.7107842327167004,0.0014092327167004592
5999,one_shared_label,0102,cov_omega_omega,1/64,0.01572117325328376,9.617325328376003e-05
5999,one_shared_label,0102,one_quarter_OVO,0,0.00028055492225690563,0.00028055492225690563
5999,one_shared_label,0102,OD_left,437/1280,0.3414165275163022,1.0277516302170664e-05
5999,one_shared_label,0102,OD_right,437/1280,0.3414165275163022,1.0277516302170664e-05
5999,one_shared_label,0102,total,447/640,0.6988347832081451,0.00039728320814502727
5999,four_distinct_labels,0123,cov_omega_omega,1/64,0.0157160887501429,9.108875014289877e-05
5999,four_distinct_labels,0123,one_quarter_OVO,0,0.0002786063164455167,0.0002786063164455167
5999,four_distinct_labels,0123,OD_left,217/640,0.3394030832759046,0.0003405832759046379
5999,four_distinct_labels,0123,OD_right,217/640,0.3394030832759046,0.0003405832759046379
5999,four_distinct_labels,0123,total,111/160,0.6948008616183977,0.001050861618397736
