name,model,optimizer,dim,target,freq,depth,width,rank,steps,batch_size,lr,seed,fix_wb,nparams,ntrainable,final_train_mse,test_mse,test_max_error,grad_effective_rank,grad_top_singular,elapsed_sec
mmnn_adamw_cos1d_d1_f16_r4_w512_L3_bs2048_steps3000_fixWb_s0,mmnn,adamw,1,cos1d,16,3,512,4,3000,2048,0.001,0,True,15373,6669,0.5096269845962524,0.5002772212028503,1.0323805809020996,1.0519170508154503,0.013328915985766798,5.355957508087158
mmnn_adamw_cos1d_d1_f16_r8_w512_L3_bs2048_steps3000_fixWb_s0,mmnn,adamw,1,cos1d,16,3,512,8,3000,2048,0.001,0,True,27673,12825,0.5095909833908081,0.5001363754272461,1.0204553604125977,0.9927166389634758,0.004165208258200437,5.998610973358154
mmnn_adamw_cos1d_d1_f16_r16_w512_L3_bs2048_steps3000_fixWb_s0,mmnn,adamw,1,cos1d,16,3,512,16,3000,2048,0.001,0,True,52273,25137,0.5097208023071289,0.5006872415542603,1.0316075086593628,1.2805603565859724,0.0072399957571178675,7.790463924407959
mmnn_adamw_cos1d_d1_f32_r4_w512_L3_bs2048_steps3000_fixWb_s0,mmnn,adamw,1,cos1d,32,3,512,4,3000,2048,0.001,0,True,15373,6669,0.50218665599823,0.5078706741333008,1.0052361488342285,0.6931695878845041,0.055262347726966254,4.93256950378418
