stage,seed,method,family,noise_rel,task,auc,average_precision,iou_top7,centroid_error,relative_residual
fixed_geometry,17,initial_damped_loop,ellipse,0.08,0,0.7007077856420627,0.07078269846508597,0.0594059405940594,0.40132275223731995,1.728069543838501
fixed_geometry,17,initial_damped_loop,ellipse,0.08,1,0.6946063735287585,0.12675644422759264,0.08029197080291971,0.15188713371753693,1.4526740312576294
fixed_geometry,17,initial_damped_loop,ellipse,0.08,2,0.45325568315825754,0.05551082999628722,0.015748031496062992,0.2820998728275299,1.447247862815857
fixed_geometry,17,initial_damped_loop,ellipse,0.08,3,0.6359024498229043,0.13047094338036172,0.12280701754385964,0.05708402395248413,1.6732550859451294
fixed_geometry,17,initial_damped_loop,ellipse,0.08,4,0.9032349441957963,0.5716679295681876,0.29457364341085274,0.052630383521318436,1.4995955228805542
fixed_geometry,17,initial_damped_loop,ellipse,0.08,5,0.35701936376210236,0.042484165570197775,0.0,0.09973430633544922,1.3894081115722656
fixed_geometry,17,initial_damped_loop,ellipse,0.08,6,0.7178238106077851,0.15472196087202955,0.1652892561983471,0.42146143317222595,1.573805332183838
fixed_geometry,17,initial_damped_loop,ellipse,0.08,7,0.7092939528429101,0.1266622734126415,0.02,0.18566720187664032,1.3691350221633911
fixed_geometry,17,initial_damped_loop,ellipse,0.08,8,0.5707986629684945,0.05149353131951634,0.036036036036036036,0.2935258746147156,1.6892707347869873
fixed_geometry,17,initial_damped_loop,ellipse,0.08,9,0.8690380340082917,0.35415199303645556,0.21052631578947367,0.09991113096475601,1.4833428859710693
fixed_geometry,17,initial_damped_loop,ellipse,0.08,10,0.38549660566706023,0.04312736337587308,0.007874015748031496,0.47378984093666077,1.4314243793487549
fixed_geometry,17,initial_damped_loop,ellipse,0.08,11,0.8366142708384986,0.275050375971828,0.18796992481203006,0.09538604319095612,1.410345435142517
fixed_geometry,17,initial_damped_loop,ellipse,0.08,12,0.6990666970179831,0.11996552724448374,0.09302325581395349,0.1270422488451004,1.6438030004501343
fixed_geometry,17,initial_damped_loop,ellipse,0.08,13,0.7610143442622952,0.14243118048880707,0.12149532710280374,0.04568306729197502,1.9674227237701416
fixed_geometry,17,initial_damped_loop,ellipse,0.08,14,0.5778775968556991,0.08459619407402152,0.06201550387596899,0.4886777102947235,1.4705755710601807
