method,family,noise_rel,n_tasks,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,iou_top7_mean,iou_top7_ci95,centroid_error_mean,centroid_error_ci95,relative_residual_mean,relative_residual_ci95
learned_design_exact,ellipse,0.12,576,0.9972539987085693,0.00028080903919465883,0.9701279468486403,0.0022419733290489517,0.7088230831976643,0.009039537941618896,0.031021374059592845,0.0031136838034350406,6.0540569436619134e-06,8.277191899576655e-08
learned_design_exact,kite,0.12,576,0.9960329478234233,0.00031274748990629326,0.9539821489034952,0.0023056346068146944,0.6943949780265182,0.00821054474849171,0.033040910656887315,0.003102687077192022,6.054495291291712e-06,8.089949973775041e-08
learned_design_exact,two_disks,0.12,576,0.9927520624564627,0.0003314566927708829,0.8721716444736116,0.0054876091533650915,0.6273383471642194,0.006474908205502302,0.03344195644801099,0.00337980777405744,5.949763807756704e-06,6.573025720933964e-08
learned_design_loop,ellipse,0.12,576,0.9974595155222387,0.00017753215277372826,0.9643967612285367,0.002718435857754792,0.7208617740175698,0.009851116511578585,0.010254062195446426,0.0006574680630900672,1.6863690562960174,0.04339268903085456
learned_design_loop,kite,0.12,576,0.9963847574198369,9.084526201415878e-05,0.949707876933036,0.002249740259946962,0.6909819646615974,0.008252253711799875,0.01224368451158221,0.0005537128870381342,1.7505263016662664,0.04529417089706267
learned_design_loop,two_disks,0.12,576,0.9932872918292751,0.00017251891739321118,0.8656143470791439,0.005748497392447197,0.6390467323227289,0.005775567997445752,0.011883800003602079,0.0008451170625331617,1.7258181262554393,0.03413826399413821
random_design_exact,ellipse,0.12,576,0.9711042758274835,0.002268055671763086,0.8188235263416401,0.009311621375329407,0.5256689715105085,0.011046890241067212,0.06796594186966508,0.005896121536012798,4.077411714339026e-06,8.23917674232162e-08
random_design_exact,kite,0.12,576,0.9740552077052246,0.001860055040996168,0.8263197128519564,0.00864676172361935,0.5414292204285878,0.011028416186814936,0.06729965615492499,0.005948700888764478,4.032972225016036e-06,7.857204458204644e-08
random_design_exact,two_disks,0.12,576,0.9706058020687249,0.00202143382016994,0.757393112516344,0.01150945980724124,0.4811495784019189,0.010884844732767702,0.06704429964641652,0.00548390465612871,4.140782775231679e-06,8.00831424905749e-08
random_design_loop,ellipse,0.12,576,0.9488327332939599,0.0020864297155177977,0.6490528564458169,0.008316177996974553,0.39227894487919723,0.007705448631780736,0.059034940143545905,0.005562579051300664,1.4367980441699426,0.04243999631274582
random_design_loop,kite,0.12,576,0.9474421519983769,0.0016219475971705941,0.6317856268456846,0.006608433979010588,0.38531652235980185,0.006229278592207379,0.0629902429645881,0.005636377231676657,1.4739127947638433,0.04342213565920264
random_design_loop,two_disks,0.12,576,0.9489563571361845,0.0018604321625765702,0.5806173457669216,0.010712814030660255,0.34911004859934436,0.006569728868401751,0.07905397392298458,0.006298800899755844,1.5924875553076465,0.04749285691621021
uniform_design_exact,ellipse,0.12,576,0.8888607085731112,0.0032680636374973504,0.26034191481760816,0.00183713209817362,0.1558671118633135,0.0027610010670159847,0.378448300506635,0.008894920555426657,3.106556786924841e-06,9.128312173650407e-08
uniform_design_exact,kite,0.12,576,0.8906520762771348,0.003302311156695528,0.26261054709255793,0.001827116721594219,0.15766930110437358,0.0028706301001875946,0.37690424500356634,0.009116619265057706,3.0551476018677213e-06,1.0198656388501702e-07
uniform_design_exact,two_disks,0.12,576,0.9011244340926109,0.0016264350933830954,0.24393262291022566,0.001898977352378941,0.16318217295705678,0.0018387189044577832,0.3486592650701318,0.00964665582867544,3.1790097949624396e-06,5.756381998533726e-08
uniform_design_loop,ellipse,0.12,576,0.8950191875310674,0.0029967412453879958,0.26498651675697354,0.0017670176472374028,0.15572787069057836,0.002799733411850337,0.37805061077233404,0.009181418671147731,1.3823395427316427,0.0433500927965932
uniform_design_loop,kite,0.12,576,0.8937190179707132,0.002855365911726599,0.26379317163973015,0.001792162225025059,0.1573564710013545,0.0029984970411612334,0.38103515033920604,0.009185765980112195,1.2973757332915232,0.04430438035061855
uniform_design_loop,two_disks,0.12,576,0.9146465724732372,0.0011303957948685123,0.2592838154208039,0.0018287913102843054,0.17220629931639939,0.002086592208158766,0.33801429009407813,0.010012607176632025,1.7343637357569404,0.047688626470020326
