seed,design,index,angle_degrees
17,learned,0,80.16902923583984
17,learned,1,110.99242401123047
17,learned,2,142.01918029785156
17,learned,3,181.64793395996094
17,learned,4,212.51275634765625
17,learned,5,248.64669799804688
17,uniform,0,0.0
17,uniform,1,59.999996185302734
17,uniform,2,119.99999237060547
17,uniform,3,180.0
17,uniform,4,239.99998474121094
17,uniform,5,299.9999694824219
17,random,0,68.10572052001953
17,random,1,72.97628784179688
17,random,2,160.04818725585938
17,random,3,180.1322021484375
17,random,4,254.0806884765625
17,random,5,273.91424560546875
29,learned,0,24.476091384887695
29,learned,1,54.81373977661133
29,learned,2,88.59629821777344
29,learned,3,128.20220947265625
29,learned,4,160.43043518066406
29,learned,5,192.4348907470703
29,uniform,0,0.0
29,uniform,1,59.999996185302734
29,uniform,2,119.99999237060547
29,uniform,3,180.0
29,uniform,4,239.99998474121094
29,uniform,5,299.9999694824219
29,random,0,14.500239372253418
29,random,1,27.99696922302246
29,random,2,126.66880798339844
29,random,3,178.42701721191406
29,random,4,201.77142333984375
29,random,5,345.96588134765625
43,learned,0,169.89500427246094
43,learned,1,204.21775817871094
43,learned,2,231.8766326904297
43,learned,3,269.3084411621094
43,learned,4,300.2713928222656
43,learned,5,334.39886474609375
43,uniform,0,0.0
43,uniform,1,59.999996185302734
43,uniform,2,119.99999237060547
43,uniform,3,180.0
43,uniform,4,239.99998474121094
43,uniform,5,299.9999694824219
43,random,0,25.397401809692383
43,random,1,119.0766372680664
43,random,2,168.2270050048828
43,random,3,171.8280792236328
43,random,4,305.0731201171875
43,random,5,324.4624938964844
