L,n,r,m,max_abs_ntk_difference,relative_difference
2,128,128,8,8.881784197001252e-16,8.089799309457012e-17
4,128,128,8,3.552713678800501e-15,1.3056826113845658e-16
6,128,128,8,5.329070518200751e-15,4.054766737178985e-16
8,128,128,8,3.552713678800501e-15,4.1982751912291147e-16
10,128,128,8,6.217248937900877e-15,1.1351380979884247e-15
20,128,128,8,1.9539925233402755e-14,3.771356352109516e-15
50,128,128,8,5.684341886080802e-14,6.679082482999634e-16
100,128,128,8,2.1371793224034263e-15,2.3482021453208886e-14
200,128,128,8,8.08242361927114e-14,1.2666472151041919e-14
