architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,spectral_backend,spectral_cuda_driver,spectral_relative_floor,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,calibration_score
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d3_mup_gd_lr0.1_s101,128,,,,True,0.8161851679906249,0.11265015602111816,0.1730385571718216,1.7537002563476562,30.0,0.03669416904449463,,0.6588047192646908,,0.9387127947476175,,0.9631144075344006,-0.557349136385448
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d3_mup_gd_lr0.1_s102,128,,,,True,0.6856980900047347,0.10465098917484283,0.18867820501327515,1.8830218315124512,60.0,0.03206348419189453,,0.6096308873249935,,0.9236119290192922,,0.957866749415795,-0.5875704225172882
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d3_mup_gd_lr0.3_s101,128,,,,True,0.6875575559679419,0.07563260942697525,0.3473908305168152,2.531975269317627,30.0,0.021514415740966797,360.0,0.16886925697326663,,0.6633988618850708,,0.9290461031099161,-0.8306706030349528
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d3_mup_gd_lr0.3_s102,128,,,,True,0.6896924270549789,0.07471247017383575,0.35644400119781494,2.785935878753662,30.0,0.01190030574798584,330.0,0.15273895630469692,,0.6598452660772536,,0.9145173033078512,-0.9089555430262253
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d3_mup_gd_lr1_s101,128,,,,True,0.6944475129712373,0.26885098218917847,0.6173498630523682,2.398555040359497,30.0,0.06379687786102295,,0.6235844722160926,,0.8806969076395035,,0.975646398961544,-0.45211984710541897
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d3_mup_gd_lr1_s102,128,,,,True,0.68698911590036,0.1722826361656189,0.6691120266914368,2.4678664207458496,30.0,0.14213216304779053,300.0,0.22679717724139875,,0.5058315330081516,,0.8804812878370285,-0.5752997636372044
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d5_mup_gd_lr0.1_s101,128,,,,True,1.035222616046667,0.10070222616195679,0.12407519668340683,4.416914939880371,60.0,0.03285646438598633,360.0,0.20019681637103745,,0.7987428307533264,,0.938945093502601,-0.726262848072437
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d5_mup_gd_lr0.1_s102,128,,,,True,1.0316891610855237,0.08733326941728592,0.12251510471105576,4.265103816986084,60.0,0.04622769355773926,360.0,0.18282151222229007,,0.8099051747057173,,0.941257598499457,-0.7065549942951456
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d5_mup_gd_lr0.3_s101,128,,,,True,1.030800299020484,0.04656533524394035,0.20127859711647034,5.167156219482422,30.0,0.020633935928344727,210.0,0.051492214202880894,480.0,0.4137037462658352,,0.8407524824142456,-1.0578702757058074
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d5_mup_gd_lr0.3_s102,128,,,,True,1.0346175900194794,0.045575425028800964,0.20335035026073456,4.715569496154785,30.0,0.06924283504486084,210.0,0.048735636931199325,480.0,0.39959413475460476,,0.8472577085097631,-0.9367263605667756
