architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,spectral_backend,spectral_cuda_driver,spectral_relative_floor,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_2,final_relative_error_2,t50_3,final_relative_error_3,t50_4,final_relative_error_4,t50_5,final_relative_error_5,t50_6,final_relative_error_6,t50_7,final_relative_error_7,t50_8,final_relative_error_8,t50_9,final_relative_error_9,t50_10,final_relative_error_10,t50_11,final_relative_error_11,t50_12,final_relative_error_12,t50_13,final_relative_error_13,t50_14,final_relative_error_14,t50_15,final_relative_error_15,t50_16,final_relative_error_16,t50_17,final_relative_error_17,t50_18,final_relative_error_18,t50_19,final_relative_error_19,t50_20,final_relative_error_20,t50_21,final_relative_error_21,t50_22,final_relative_error_22,t50_23,final_relative_error_23,t50_24,final_relative_error_24
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.3,1000,10,30,0.1,dt_fc_mup_gd_base_s30,128,,,,True,8.403617743053474,0.002076315926387906,0.1381823718547821,7.490908622741699,20.0,0.02431201934814453,20.0,0.03962157204609396,50.0,0.049750642303355554,110.0,0.0471436774623775,140.0,0.06098786251712068,180.0,0.05692090715185229,230.0,0.040922034944308634,270.0,0.04548668085106621,320.0,0.0019471692079430659,380.0,0.015725028820345998,450.0,0.05362047270975339,500.0,0.10062377889538594,560.0,0.14514918073510372,620.0,0.19450699729130064,710.0,0.28056811664352443,750.0,0.3364948630332947,780.0,0.384532816056087,820.0,0.4219502318931842,830.0,0.4528423971249326,920.0,0.5008689862189188,950.0,0.5339750038026461,,0.5747271347244264,,0.6447318082795651,,0.749094388596757
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.3,1000,10,31,0.1,dt_fc_mup_gd_base_s31,128,,,,True,8.333211136981845,0.0016701666172593832,0.13657543063163757,5.913018703460693,10.0,0.017479658126831055,20.0,0.03462621511543862,40.0,0.04283139989826954,100.0,0.04451421987747984,150.0,0.05155281181454134,210.0,0.038427059358421355,250.0,0.03699513489063664,290.0,0.016130115412661343,360.0,0.019306026688755647,410.0,0.03833792619328306,450.0,0.08204973142023571,520.0,0.12581019165676258,590.0,0.20027392951034428,640.0,0.23812594825462235,680.0,0.28566478591349975,790.0,0.3676733374595642,880.0,0.4402295864243591,920.0,0.45608178195611254,930.0,0.4858285247689496,940.0,0.5079718966841493,,0.5379326295045623,,0.559551940130197,,0.5960721194793192,,0.6808336661825803
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.3,1000,10,32,0.1,dt_fc_mup_gd_base_s32,128,,,,True,8.328378445003182,0.0020546652376651764,0.14863362908363342,6.323329448699951,30.0,0.02505660057067871,30.0,0.045553779908333605,60.0,0.06083597369209022,120.0,0.04868549347460303,170.0,0.06077996741508477,220.0,0.05275282815829552,280.0,0.034939132520777176,340.0,0.005985257062751362,400.0,0.00404587425259206,490.0,0.05029487816747216,560.0,0.09702179622261792,630.0,0.1598013487217914,670.0,0.22061567319515957,700.0,0.25741729576875144,760.0,0.2998858304118391,850.0,0.37816542387008667,920.0,0.42686569469681,990.0,0.46886278667767606,,0.5103957405061881,,0.5514256123408329,,0.5845174611524141,,0.6455419878927767,,0.7186845792038052,,0.8063623132834646
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.15,2000,20,30,0.1,dt_fc_mup_gd_half_s30,128,,,,True,15.479580663959496,0.0004649831971619278,0.12317939847707748,7.981712341308594,40.0,0.012010931968688965,40.0,0.009277582086048454,80.0,0.01653441930803991,140.0,0.014980405839350005,180.0,0.020123328331458724,260.0,0.01176678801972012,340.0,0.019699808138801855,420.0,0.00864299081996373,500.0,0.003738730303171276,560.0,0.002336101059411085,660.0,0.054936087222552,720.0,0.07996108921679443,840.0,0.1169296747902918,960.0,0.14469632115917336,1020.0,0.16185006628174062,1060.0,0.18967652320861816,1220.0,0.23888924740946632,1300.0,0.25509414912910866,1380.0,0.3262019887248839,1400.0,0.3757091902665048,1560.0,0.400633898918357,1780.0,0.4505530910757447,1800.0,0.4739651555039533,,0.577471337714395
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.15,2000,20,31,0.1,dt_fc_mup_gd_half_s31,128,,,,True,15.619425359996967,0.0004059281782247126,0.11739093065261841,6.590494632720947,20.0,0.008772134780883789,40.0,0.008738026264665414,80.0,0.013425561006142462,140.0,0.017682693178474485,200.0,0.019463879720016845,260.0,0.01378324158458566,300.0,0.012752019968662804,380.0,0.003847044660032751,480.0,0.020798581117576022,540.0,0.0169411741796794,640.0,0.0363795717613559,740.0,0.08051862955848549,800.0,0.12045212431425284,840.0,0.14875375487916015,940.0,0.17554803851100306,1120.0,0.23806560039520264,1200.0,0.2575706365805639,1260.0,0.2896725804665211,1340.0,0.32010684487087065,1440.0,0.36716137035214685,1540.0,0.4128646571228275,1740.0,0.4573448852363006,1760.0,0.47532674789574664,,0.5320132002316256
fc,5,128,0.25,128,powerlaw,1.25,24,mup_gd,0.15,2000,20,32,0.1,dt_fc_mup_gd_half_s32,128,,,,True,15.269163749995641,0.0008031813194975257,0.12735147774219513,7.140506744384766,40.0,0.019445419311523438,40.0,0.015549924511548734,80.0,0.022139514395307577,140.0,0.02519717332172101,220.0,0.022706850701587775,300.0,0.04441531223038977,380.0,0.049175931921176586,440.0,0.05016647325718852,460.0,0.06667195287187304,560.0,0.08269079647026426,640.0,0.0766214502680464,720.0,0.08411622496728714,800.0,0.12073912509650797,860.0,0.14156812541115996,1000.0,0.1717491801068978,1080.0,0.21896660327911377,1060.0,0.23206944859752884,1140.0,0.2776934551946057,1280.0,0.32735345458606974,1320.0,0.34144767797323533,1460.0,0.3753804219498204,1540.0,0.3981373803706734,1560.0,0.4132566921906189,1720.0,0.4604811557790547
fc,5,128,0.25,256,powerlaw,1.25,24,mup_gd,0.3,1000,10,30,0.1,grid_fc_mup_gd_g256_s30,128,,,,True,8.319695626967587,0.0015170923434197903,0.13900139927864075,7.45759391784668,20.0,0.021042227745056152,20.0,0.03457191929841558,50.0,0.04574422633419064,110.0,0.040407262371184284,140.0,0.05401591198378566,180.0,0.05336690861833593,230.0,0.036635444758263136,270.0,0.04259518120082705,320.0,0.006109968666178221,370.0,0.01719688401119846,440.0,0.056653945891229254,490.0,0.0891739420678268,560.0,0.11814784184012635,610.0,0.1658749972999096,670.0,0.24240457034448765,710.0,0.2945878505706787,750.0,0.3421946007573895,790.0,0.36913913433361706,830.0,0.4114847195875495,950.0,0.4741226416913152,,0.5011412132858895,,0.5443732843647482,,0.6041109373181269,,0.6978113793406602
fc,5,128,0.25,256,powerlaw,1.25,24,mup_gd,0.3,1000,10,31,0.1,grid_fc_mup_gd_g256_s31,128,,,,True,8.21784273290541,0.0015771914040669799,0.1369967758655548,5.927140235900879,10.0,0.018424391746520996,20.0,0.03554243930713557,40.0,0.0443376447460266,100.0,0.04639413790845976,150.0,0.05144518766204043,210.0,0.04033905557717315,240.0,0.04759818919844298,290.0,0.028150413767990788,350.0,0.0012971709534971665,400.0,0.0018223635141500652,460.0,0.04006141177516453,520.0,0.07179833585128405,600.0,0.14830747675130113,660.0,0.21033360168204954,710.0,0.26164821932288884,790.0,0.34076422452926636,890.0,0.4204231268768836,930.0,0.46163879307565375,,0.5089182821283472,,0.5456793773907558,,0.5839627621962881,,0.6081530851593937,,0.6438622017282296,,0.7073458503579066
fc,5,128,0.25,256,powerlaw,1.25,24,mup_gd,0.3,1000,10,32,0.1,grid_fc_mup_gd_g256_s32,128,,,,True,8.265795517945662,0.0022059453185647726,0.1465553194284439,6.371142864227295,20.0,0.029056072235107422,20.0,0.054638447185278126,40.0,0.052800616160325234,90.0,0.07659896400342524,130.0,0.06635802598699365,180.0,0.0641307442590156,240.0,0.0982829665737821,280.0,0.10927957236434854,320.0,0.1128996770938637,360.0,0.15122805340082893,410.0,0.17297407505620174,480.0,0.21201037149880222,520.0,0.23478400338585984,570.0,0.2476009271198642,600.0,0.24882940219824856,670.0,0.28921031951904297,740.0,0.3364041982607916,780.0,0.3757210166560607,840.0,0.41259658164344815,910.0,0.45198529911924734,980.0,0.4891058913201688,,0.501530951383029,1000.0,0.49764502318731585,,0.502880010517129
fc,5,128,0.25,128,powerlaw,1.25,24,muon_p1_3,0.01,1000,10,30,0.1,dt_fc_muon_p1_3_base_s30,128,direct_torch_svd,gesvd,1e-07,True,38.95959886198398,0.0033903270959854126,0.4457907974720001,10.733482360839844,10.0,0.05280327796936035,20.0,0.107038517959913,20.0,0.10183799920092786,50.0,0.0756265519145819,70.0,0.06311069558021946,90.0,0.05045683687490954,110.0,0.05531560494957272,120.0,0.07344362183693316,140.0,0.050697404490516546,160.0,0.06841331089807484,180.0,0.07191399959853459,200.0,0.06045574712108945,230.0,0.06889948235948655,270.0,0.09928058451570479,320.0,0.1348218064929642,350.0,0.1514800786972046,380.0,0.15936796411844087,450.0,0.21644399472824635,480.0,0.25783458986933183,520.0,0.29875923413318256,610.0,0.37144038048532385,670.0,0.40077168666067825,630.0,0.3672628648809543,580.0,0.33901390713289065
