tag,architecture,affine_depth,width,rank_ratio,rank,target_kind,powerlaw_alpha,optimizer,spectral_backend,spectral_cuda_driver,spectral_relative_floor,spectral_power,learning_rate,seed,step,loss,relative_parameter_displacement,max_relative_feature_displacement,feature_displacement_0,feature_displacement_1,coefficient_1,relative_error_1,coefficient_4,relative_error_4,coefficient_8,relative_error_8,coefficient_16,relative_error_16,lambda_1,velocity_per_lr_1,lambda_4,velocity_per_lr_4,lambda_8,velocity_per_lr_8,lambda_16,velocity_per_lr_16,feature_displacement_2,feature_displacement_3,feature_displacement_4,feature_displacement_5,coefficient_2,relative_error_2,coefficient_3,relative_error_3,coefficient_5,relative_error_5,coefficient_6,relative_error_6,coefficient_7,relative_error_7,coefficient_9,relative_error_9,coefficient_10,relative_error_10,coefficient_11,relative_error_11,coefficient_12,relative_error_12,coefficient_13,relative_error_13,coefficient_14,relative_error_14,coefficient_15,relative_error_15,coefficient_17,relative_error_17,coefficient_18,relative_error_18,coefficient_19,relative_error_19,coefficient_20,relative_error_20,coefficient_21,relative_error_21,coefficient_22,relative_error_22,coefficient_23,relative_error_23,coefficient_24,relative_error_24,lambda_24,velocity_per_lr_24
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,0,0.42875009775161743,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1760444939136505,0.12612846493721008,0.009198777377605438,0.005683984141796827,0.002455767709761858,0.0026352209970355034,0.0005698937457054853,3.370315607753582e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,25,0.1619812250137329,0.10069175064563751,1.943772792816162,0.8907307386398315,1.943772792816162,0.9894084334373474,0.010591566562652588,0.05337180197238922,0.9178895354270935,0.00249334704130888,0.9944592287970914,0.0008993011433631182,0.997002329522123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,50,0.15264874696731567,0.10953877866268158,1.9759286642074585,0.9154740571975708,1.9759286642074585,1.0271600484848022,0.027160048484802246,0.08263490349054337,0.8728693792453179,0.005636939313262701,0.9874734681927495,0.003102415706962347,0.9896586143101255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,75,0.14785921573638916,0.11606859415769577,1.966349482536316,0.921258807182312,1.966349482536316,1.033508539199829,0.0335085391998291,0.09844435751438141,0.848547142285567,0.00782938115298748,0.9826013752155833,0.0037806122563779354,0.9873979591454068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,100,0.14333824813365936,0.12311146408319473,1.9533275365829468,0.9209526181221008,1.9533275365829468,1.035764455795288,0.035764455795288086,0.1129850447177887,0.8261768542803251,0.010545962490141392,0.9765645277996858,0.004646438639611006,0.9845118712012967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,125,0.13819953799247742,0.131618469953537,1.9542471170425415,0.9280306100845337,1.9542471170425415,1.0390807390213013,0.03908073902130127,0.1300399899482727,0.7999384770026574,0.013577559031546116,0.9698276465965642,0.0055208969861269,0.9815970100462437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,150,0.13278517127037048,0.14134672284126282,1.96308171749115,0.9403083324432373,1.96308171749115,1.038912057876587,0.038912057876586914,0.14794385433197021,0.7723940702585074,0.017546435818076134,0.9610079204042753,0.0066062649711966515,0.9779791167626778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,175,0.12670910358428955,0.15303565561771393,1.9911563396453857,0.9636639952659607,1.9911563396453857,1.0430810451507568,0.043081045150756836,0.1710018813610077,0.7369201825215267,0.01959419436752796,0.9564573458499379,0.007576515898108482,0.9747449470063051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,200,0.12014192342758179,0.16682739555835724,2.0339510440826416,1.003966212272644,2.0339510440826416,1.0359692573547363,0.03596925735473633,0.1950436532497406,0.6999328411542453,0.026414478197693825,0.9413011595606804,0.009132159873843193,0.9695594670871893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hierarchy_fc_d3_mup_gd_s0,fc,3,128,0.25,128,hierarchy,1.25,mup_gd,,,,,0.3,0,225,0.13919581472873688,0.18085455894470215,2.0575246810913086,1.0382187366485596,2.0575246810913086,1.0526275634765625,0.0526275634765625,0.22564327716827393,0.652856496664194,0.016407739371061325,0.963538356953197,0.005602946504950523,0.981323511650165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
