seed,trained_head,evaluation_cell,predicted_h_relative,realized_h_relative,mean_absolute_gap
0,heavy_ball,learned_global_heavy_ball,0.10398641135543585,0.10398646909743547,3.0085561775194947e-07
0,heavy_ball,learned_global_richardson,0.1980645600706339,0.19806470721960068,3.867503437504638e-07
0,heavy_ball,oracle_interval_heavy_ball,3.8558701276779175,3.85576331615448,0.00010837634090421489
0,heavy_ball,oracle_interval_richardson,0.3103460296988487,0.3103426843881607,3.522950862588914e-06
0,identity,learned_global_heavy_ball,1.5440102681880176e+22,1.543996546282903e+22,1.3890028817717658e+17
0,identity,learned_global_richardson,1.1549971802499486e+21,1.1549871087234381e+21,1.0203326440275968e+16
0,identity,oracle_interval_heavy_ball,15.78359341621399,15.783124089241028,0.00047098057984840125
0,identity,oracle_interval_richardson,0.582310676574707,0.5823020115494728,8.70896553806233e-06
0,initial,learned_global_heavy_ball,0.14719056524336338,0.14719056710600853,4.066223482368514e-07
0,initial,learned_global_richardson,0.23315313458442688,0.23315324634313583,3.7797121876792517e-07
0,initial,oracle_interval_heavy_ball,8.930994749069214,8.93074917793274,0.00024742815548961516
0,initial,oracle_interval_richardson,0.48039618134498596,0.4803910441696644,5.30453422697974e-06
0,pcg,learned_global_heavy_ball,0.10496093798428774,0.10496098641306162,2.954550382128218e-07
0,pcg,learned_global_richardson,0.19907372631132603,0.19907386228442192,3.875898073602002e-07
0,pcg,oracle_interval_heavy_ball,3.9835700690746307,3.9834589660167694,0.00011214490496058716
0,pcg,oracle_interval_richardson,0.31417570263147354,0.31417231261730194,3.566542318367283e-06
0,richardson,learned_global_heavy_ball,0.137622632086277,0.13762265257537365,3.731622655323008e-07
0,richardson,learned_global_richardson,0.21379690244793892,0.21379701793193817,3.569412001525052e-07
0,richardson,oracle_interval_heavy_ball,8.26820057630539,8.267967641353607,0.00023455334485333879
0,richardson,oracle_interval_richardson,0.45889485627412796,0.4588896818459034,5.333700244136708e-06
1,heavy_ball,learned_global_heavy_ball,0.1053086444735527,0.1053087180480361,2.88270712189842e-07
1,heavy_ball,learned_global_richardson,0.20269508473575115,0.20269524306058884,3.8478674468933605e-07
1,heavy_ball,oracle_interval_heavy_ball,3.5475914776325226,3.547495722770691,9.692382263892796e-05
1,heavy_ball,oracle_interval_richardson,0.3033612444996834,0.30335811525583267,3.287170017074459e-06
