trained_head,evaluation_cell,seeds,h_relative_mean,h_relative_std,coefficient_mse_mean,coefficient_mse_std,query_relative_mean,query_relative_std
heavy_ball,learned_global_heavy_ball,3,0.10358347402264674,0.0015987780380624498,1.0329433158040047,0.013392654869999182,0.11007856592373089,0.0032791772377651217
heavy_ball,learned_global_richardson,3,0.1988804011295239,0.0028409660543798074,1.062114064892133,0.013018297494616903,0.1873546352811978,0.009587456034092884
heavy_ball,oracle_interval_chebyshev,3,0.20924474547306696,0.003679883870769771,0.4602167544265588,0.01229026378285207,0.23887659936503725,0.0032589680293637667
heavy_ball,oracle_interval_heavy_ball,3,3.69365002711614,0.12635464422800674,3.073911815881729,0.08942484061151,4.382751823071687,0.13734917786171957
heavy_ball,oracle_interval_richardson,3,0.304449172069629,0.00443424068263397,0.5321904545029005,0.009447917435168226,0.3349832080204625,0.004526778116327629
heavy_ball,pcg,3,0.009452876712506017,3.9865862263116565e-05,0.20081485559542975,0.006616611524922006,0.012710989534776151,0.00034143042311406737
identity,learned_global_heavy_ball,3,1.6029517710124258e+22,4.1695392939831794e+20,2.4782974497884996e+21,1.312653461021254e+20,1.50945406740059e+22,2.8417316563613275e+21
identity,learned_global_richardson,3,1.2066370046217817e+21,4.411919091687304e+19,1.8645366817724652e+20,8.947607293577556e+18,1.1329965684559582e+21,1.9549288166983372e+20
identity,oracle_interval_chebyshev,3,0.5431462029616038,0.001243949315809074,0.5920673112074534,0.0021331137483467447,0.48378535405906625,0.008974301888993801
identity,oracle_interval_heavy_ball,3,15.646266539891561,0.10336219282293671,3.0013843377431235,0.057581010481311645,15.249644699726034,0.22993801928023386
identity,oracle_interval_richardson,3,0.5821869845191637,0.0005373310109946046,0.6780849372347196,0.0025127895975319663,0.5081418856763854,0.009835835994892052
identity,pcg,3,0.002246550536559274,3.004604639156397e-05,0.024780202967425186,0.0001105162648594281,0.001514695051390183,3.136660615674009e-05
identity,pcg_equal_block_work,3,0.0006310142707661726,1.1893056356594185e-06,0.00836118661876147,7.105328861157057e-05,0.0005389374187730877,1.4012385235567298e-05
identity,pcg_equal_scalar_work,3,0.00018976007656116659,3.2430297045870954e-06,0.0025512461143080145,1.5484996812612985e-05,0.00016740222180905794,4.168666902714452e-06
initial,learned_global_heavy_ball,3,0.14759783012171587,0.00047980581845144684,1.1456402589877446,0.010263516535259127,0.1437754636585594,0.0007159613851671414
initial,learned_global_richardson,3,0.23363734098772207,0.000507983601466039,1.0613983621199925,0.0016034609328678718,0.2142198770659598,0.0020720096634833283
initial,oracle_interval_chebyshev,3,0.3767484426498413,0.003347642489155476,0.790212040146192,0.012900591578582515,0.3978847854407151,0.007250452063911706
initial,oracle_interval_heavy_ball,3,8.987863461176554,0.08713439118483948,5.854555030663808,0.11275836185198754,9.714982788114488,0.36869931322504107
initial,oracle_interval_richardson,3,0.4817856388787429,0.003532595592658742,0.7542306805650393,0.011316329350572595,0.499773751131942,0.009649885398433122
initial,pcg,3,0.015978298499248922,0.0002153223307595664,0.3225541238983472,0.0026712729916995846,0.02044478712798994,0.0005049065541363867
pcg,learned_global_heavy_ball,3,0.10658546847601731,0.0026403754576094906,1.0400585358341534,0.012199345419398508,0.11130807051659229,0.004062852552455074
pcg,learned_global_richardson,3,0.20183401616911092,0.004013209943057279,1.0632560576001804,0.012904442019626509,0.1885355452597605,0.010007772749087634
pcg,oracle_interval_chebyshev,3,0.21876822349925837,0.0033254777504064257,0.477938212454319,0.007094032372269836,0.2501582760105467,0.0038699194565243434
pcg,oracle_interval_heavy_ball,3,3.9219731092453003,0.05834360608271207,3.236582597096761,0.027028253186764994,4.612449952742168,0.1150057911573358
pcg,oracle_interval_richardson,3,0.31557127212484676,0.004600425453182888,0.545267945776383,0.002747092229949098,0.34458681021029797,0.00961481002333549
pcg,pcg,3,0.009775083279237151,0.000263233123200436,0.20610922885437807,0.0019588411269335962,0.013094569061235078,0.0007792066662137707
richardson,learned_global_heavy_ball,3,0.1406406071037054,0.002607037553223452,1.2659628291924794,0.008688721524485275,0.13541900738044335,0.0016519403759763579
richardson,learned_global_richardson,3,0.21509544178843498,0.0018311038551264219,1.1445253143707912,0.0016179933142207042,0.19413512198496294,0.001999241598131857
richardson,oracle_interval_chebyshev,3,0.36819806322455406,0.006822206047254547,0.8439645270506541,0.009783121987882738,0.38441718100828276,0.021694679392543662
richardson,oracle_interval_heavy_ball,3,8.577874720096588,0.25733543620581173,5.857730408509572,0.1560173193899652,9.065248861355828,0.7115846007003743
richardson,oracle_interval_richardson,3,0.4665394698580106,0.0061005872232101285,0.8162036041418711,0.010359210391584743,0.47609025803950833,0.01627105919574997
richardson,pcg,3,0.017634653408701222,0.0007611679357072022,0.3640417233109474,0.007087285014970729,0.023456408071703013,0.0023156595248935005
