seed,trained_head,effective_condition,empirical_outlier_overlap,population_outlier_overlap,posterior_overlap,query_overlap,attention_entropy
0,heavy_ball,119.66185474395752,0.9429302737116814,0.9402782544493675,0.27379418909549713,0.8366530314087868,2.558423787355423
0,identity,349.24916076660156,0.24901871010661125,0.2491540852934122,0.24838031083345413,0.24812405183911324,3.465735912322998
0,initial,318.6110076904297,0.8785069957375526,0.8759196028113365,0.2690577544271946,0.7828583493828773,3.306997239589691
0,pcg,123.87798690795898,0.9414408430457115,0.9387901052832603,0.27398819476366043,0.8358298316597939,2.3936628699302673
0,richardson,282.7007179260254,0.8898527175188065,0.8873431086540222,0.27282435819506645,0.7927530184388161,3.3220590949058533
1,heavy_ball,117.1584882736206,0.9434205144643784,0.9405285716056824,0.2723469026386738,0.8353110924363136,2.4711750745773315
1,identity,347.8320655822754,0.2507349457591772,0.2510553952306509,0.24918884597718716,0.2518447060137987,3.465735912322998
1,initial,315.95267486572266,0.8797066062688828,0.8770943209528923,0.27069105580449104,0.7829861268401146,3.3070813417434692
1,pcg,130.1710958480835,0.9379188418388367,0.935103178024292,0.2724263221025467,0.8310766592621803,2.607074588537216
1,richardson,294.9148826599121,0.8845222666859627,0.8818160444498062,0.27150968089699745,0.7882897555828094,3.32442370057106
2,heavy_ball,110.17659282684326,0.947407066822052,0.9445020034909248,0.2712274454534054,0.8377324864268303,2.4233423471450806
2,identity,347.0409965515137,0.2510153651237488,0.2511972598731518,0.24694484658539295,0.25268213264644146,3.465735912322998
2,initial,325.7023162841797,0.8765698671340942,0.8740502074360847,0.2676430270075798,0.77812110632658,3.3075187504291534
2,pcg,115.69606399536133,0.9443408772349358,0.9413870275020599,0.2709873989224434,0.8355442583560944,2.3876031935214996
2,richardson,314.3185234069824,0.8791521862149239,0.8764685690402985,0.2677155137062073,0.7802269086241722,3.315001517534256
