seed,trained_head,evaluation_cell,depth,setup_block_rounds,setup_scalar_hvp_equivalents,h_relative,coefficient_mse,query_relative
0,heavy_ball,learned_global_heavy_ball,4,1,3,0.10398646909743547,1.0463189631700516,0.10728686896759655
0,heavy_ball,learned_global_richardson,4,1,3,0.19806470721960068,1.0747882425785065,0.18924982133989132
0,heavy_ball,oracle_interval_chebyshev,4,1,3,0.21440390311181545,0.47607843205332756,0.23901405474103735
0,heavy_ball,oracle_interval_heavy_ball,4,1,3,3.85576331615448,3.1669673025608063,4.443350921700676
0,heavy_ball,oracle_interval_richardson,4,1,3,0.3103426843881607,0.5454938039183617,0.328697032789817
0,heavy_ball,pcg,4,1,3,0.009492163197137415,0.2087240107357502,0.012501684189049926
0,identity,learned_global_heavy_ball,4,0,0,1.543996546282903e+22,2.3277616591641992e+21,1.3017862396936368e+22
0,identity,learned_global_richardson,4,0,0,1.1549871087234381e+21,1.7412750144809468e+20,9.737967012260853e+20
0,identity,oracle_interval_chebyshev,4,0,0,0.5439909994602203,0.5949684083461761,0.479630913909159
0,identity,oracle_interval_heavy_ball,4,0,0,15.783124089241028,3.04717555642128,15.225181497788826
0,identity,oracle_interval_richardson,4,0,0,0.5823020115494728,0.681590162217617,0.5064500353062239
0,identity,pcg,4,0,0,0.0022061711933929473,0.024922176962718368,0.0014750485980750015
0,identity,pcg_equal_block_work,5,0,0,0.0006304095149971545,0.008461659657768905,0.0005478174492585404
0,identity,pcg_equal_scalar_work,7,0,0,0.00018583971905172803,0.002556042716605589,0.00016179391168408548
0,initial,learned_global_heavy_ball,4,1,3,0.14719056710600853,1.1599836498498917,0.1427715971227965
0,initial,learned_global_richardson,4,1,3,0.23315324634313583,1.063004046678543,0.2141472565553328
0,initial,oracle_interval_chebyshev,4,1,3,0.3752060569822788,0.8082371577620506,0.38962531743812484
0,initial,oracle_interval_heavy_ball,4,1,3,8.93074917793274,5.944206595420837,9.224891313642342
0,initial,oracle_interval_richardson,4,1,3,0.4803910441696644,0.7691739648580551,0.4862443600742545
0,initial,pcg,4,1,3,0.01567565626464784,0.3257344327867031,0.02114770852990028
0,pcg,learned_global_heavy_ball,4,1,3,0.10496098641306162,1.0475550144910812,0.10835677171828562
0,pcg,learned_global_richardson,4,1,3,0.19907386228442192,1.0722191631793976,0.1909744265523802
0,pcg,oracle_interval_chebyshev,4,1,3,0.21787494234740734,0.48375631123781204,0.244992677516579
0,pcg,oracle_interval_heavy_ball,4,1,3,3.9834589660167694,3.2158720195293427,4.491871781653666
0,pcg,oracle_interval_richardson,4,1,3,0.31417231261730194,0.5482280999422073,0.3340073479875452
0,pcg,pcg,4,1,3,0.00950636703055352,0.20806275308132172,0.012411499030201665
0,richardson,learned_global_heavy_ball,4,1,3,0.13762265257537365,1.2589940577745438,0.1348216242061641
0,richardson,learned_global_richardson,4,1,3,0.21379701793193817,1.1457871496677399,0.19407505691692264
0,richardson,oracle_interval_chebyshev,4,1,3,0.3594607412815094,0.845418319106102,0.37390661821670496
0,richardson,oracle_interval_heavy_ball,4,1,3,8.267967641353607,5.798571825027466,8.558800232333969
0,richardson,oracle_interval_richardson,4,1,3,0.4588896818459034,0.8072106316685677,0.4692785398003743
0,richardson,pcg,4,1,3,0.016558821080252528,0.35623106732964516,0.02060974321305944
1,heavy_ball,learned_global_heavy_ball,4,1,3,0.1053087180480361,1.0146424025297165,0.11468133287813138
1,heavy_ball,learned_global_richardson,4,1,3,0.20269524306058884,1.0442124605178833,0.19803395810089275
1,heavy_ball,oracle_interval_chebyshev,4,1,3,0.20725646801292896,0.4584406912326813,0.23481824281718955
1,heavy_ball,oracle_interval_heavy_ball,4,1,3,3.547495722770691,2.9532172977924347,4.192630476360995
1,heavy_ball,oracle_interval_richardson,4,1,3,0.30335811525583267,0.524461567401886,0.3391753813800923
1,heavy_ball,pcg,4,1,3,0.009468252887018025,0.19252977333962917,0.013192478451821794
1,identity,learned_global_heavy_ball,4,0,0,1.6314446009499185e+22,2.6476404131941874e+21,1.9112596864596076e+22
1,identity,learned_global_richardson,4,0,0,1.2021474230346575e+21,1.95094396541411e+20,1.4083457086615129e+21
1,identity,oracle_interval_chebyshev,4,0,0,0.5413874462246895,0.5899005308747292,0.4962482667865504
1,identity,oracle_interval_heavy_ball,4,0,0,15.533361673355103,2.920172929763794,15.54269368420038
1,identity,oracle_interval_richardson,4,0,0,0.5814789608120918,0.6758261471986771,0.520944764333039
1,identity,pcg,4,0,0,0.0022781979059800506,0.024652618216350675,0.0015517495005039263
1,identity,pcg_equal_block_work,5,0,0,0.0006326758302748203,0.00831226579612121,0.0005191553305309916
1,identity,pcg_equal_scalar_work,7,0,0,0.00019378155593585689,0.0025673524651210755,0.000171780168082372
1,initial,learned_global_heavy_ball,4,1,3,0.14733143709599972,1.1365424245595932,0.14439180864505924
1,initial,learned_global_richardson,4,1,3,0.23433907330036163,1.0592088103294373,0.21679309109643502
1,initial,oracle_interval_chebyshev,4,1,3,0.37364331632852554,0.7836406379938126,0.3967524405816869
1,initial,oracle_interval_heavy_ball,4,1,3,8.921858072280884,5.695520579814911,9.805864536863576
1,initial,oracle_interval_richardson,4,1,3,0.4783283993601799,0.741797924041748,0.504990184567191
1,initial,pcg,4,1,3,0.01615879696328193,0.31919824704527855,0.01998459708569987
1,pcg,learned_global_heavy_ball,4,1,3,0.11030943877995014,1.022853396832943,0.11705309139721935
1,pcg,learned_global_richardson,4,1,3,0.2075088508427143,1.0450073704123497,0.1993897190940631
1,pcg,oracle_interval_chebyshev,4,1,3,0.22321358136832714,0.4821073152124882,0.2543069165806912
1,pcg,oracle_interval_heavy_ball,4,1,3,3.9388808012008667,3.2191153466701508,4.578212975783524
1,pcg,oracle_interval_richardson,4,1,3,0.32177330181002617,0.5459668338298798,0.35727404711655275
1,pcg,pcg,4,1,3,0.010132558410987258,0.20343146845698357,0.014184973920273325
1,richardson,learned_global_heavy_ball,4,1,3,0.14031548239290714,1.2606826275587082,0.1337617566074948
1,richardson,learned_global_richardson,4,1,3,0.21380429714918137,1.1422413140535355,0.1966131628098702
1,richardson,oracle_interval_chebyshev,4,1,3,0.3690229766070843,0.8313221335411072,0.3647097958143198
1,richardson,oracle_interval_heavy_ball,4,1,3,8.567599654197693,5.7032246589660645,8.565372050152375
1,richardson,oracle_interval_richardson,4,1,3,0.4669094681739807,0.8106843680143356,0.46046137466015025
1,richardson,pcg,4,1,3,0.018140890868380666,0.362507414072752,0.023477673120415782
2,heavy_ball,learned_global_heavy_ball,4,1,3,0.10145523492246866,1.037868581712246,0.10826749592546474
2,heavy_ball,learned_global_richardson,4,1,3,0.19588125310838223,1.0673414915800095,0.1747801264028094
2,heavy_ball,oracle_interval_chebyshev,4,1,3,0.20607386529445648,0.4461311399936676,0.24279750053688484
2,heavy_ball,oracle_interval_heavy_ball,4,1,3,3.6776910424232483,3.1015508472919464,4.512274071153389
2,heavy_ball,oracle_interval_richardson,4,1,3,0.2996467165648937,0.5266159921884537,0.3370772098914782
2,heavy_ball,pcg,4,1,3,0.009398214053362608,0.20119078271090984,0.012438805963456733
2,identity,learned_global_heavy_ball,4,0,0,1.633414165804456e+22,2.459490277007112e+21,1.3153162760485257e+22
2,identity,learned_global_richardson,4,0,0,1.2627764821072491e+21,1.9013910654223385e+20,1.0168472954802765e+21
2,identity,oracle_interval_chebyshev,4,0,0,0.5440601631999016,0.5913329944014549,0.4754768814814894
2,identity,oracle_interval_heavy_ball,4,0,0,15.622313857078552,3.0368045270442963,14.981058917188898
2,identity,oracle_interval_richardson,4,0,0,0.5827799811959267,0.6768385022878647,0.4970308573898932
2,identity,pcg,4,0,0,0.0022552825103048235,0.02476581372320652,0.0015172870555916213
2,identity,pcg_equal_block_work,5,0,0,0.0006299574670265429,0.008309634402394295,0.0005498394765297309
2,identity,pcg_equal_scalar_work,7,0,0,0.00018965895469591487,0.0025303431611973792,0.00016863258566071632
2,initial,learned_global_heavy_ball,4,1,3,0.14827148616313934,1.140394702553749,0.14416298520782247
2,initial,learned_global_richardson,4,1,3,0.23341970331966877,1.0619822293519974,0.21171928354611164
2,initial,oracle_interval_chebyshev,4,1,3,0.38139595463871956,0.7787583246827126,0.4072765983023337
2,initial,oracle_interval_heavy_ball,4,1,3,9.11098313331604,5.923937916755676,10.114192513837542
2,initial,oracle_interval_richardson,4,1,3,0.4866374731063843,0.7517201527953148,0.5080867087543806
2,initial,pcg,4,1,3,0.016100442269816995,0.32272969186306,0.02020205576836967
2,pcg,learned_global_heavy_ball,4,1,3,0.10448598023504019,1.0497671961784363,0.10851434843427187
2,pcg,learned_global_richardson,4,1,3,0.19891933538019657,1.0725416392087936,0.17524249013283827
2,pcg,oracle_interval_chebyshev,4,1,3,0.2152161467820406,0.4679510109126568,0.2511752339343698
2,pcg,oracle_interval_heavy_ball,4,1,3,3.8435795605182648,3.27476042509079,4.767265100789313
2,pcg,oracle_interval_richardson,4,1,3,0.3107682019472122,0.5416089035570621,0.342479035526796
2,pcg,pcg,4,1,3,0.009686324396170676,0.2068334650248289,0.012687234233230241
2,richardson,learned_global_heavy_ball,4,1,3,0.14398368634283543,1.2782118022441864,0.13767364132767118
2,richardson,learned_global_richardson,4,1,3,0.2176850102841854,1.145547479391098,0.1917171462280959
2,richardson,oracle_interval_chebyshev,4,1,3,0.3761104717850685,0.8551531285047531,0.4146351289938235
2,richardson,oracle_interval_heavy_ball,4,1,3,8.898056864738464,6.071394741535187,10.071574301581146
2,richardson,oracle_interval_richardson,4,1,3,0.4738192595541477,0.8307158127427101,0.4985308596580005
2,richardson,pcg,4,1,3,0.01820424827747047,0.3733866885304451,0.026281807881633812
