trained_head,seeds,effective_condition_mean,effective_condition_std,empirical_outlier_overlap_mean,empirical_outlier_overlap_std,population_outlier_overlap_mean,population_outlier_overlap_std,posterior_overlap_mean,posterior_overlap_std,query_overlap_mean,query_overlap_std,attention_entropy_mean,attention_entropy_std
heavy_ball,3,115.6656452814738,4.013642033404399,0.9445859516660372,0.002004844473024174,0.9417696098486582,0.0019347947232907434,0.27245617906252545,0.0010507137998084796,0.8365655367573103,0.000990464099923298,2.484313736359278,0.055923860127798576
identity,3,348.0407409667969,0.9134755469369252,0.25025634032984573,0.0008825928401040046,0.2504689134657383,0.0009315260727268082,0.24817133446534476,0.0009279499481524968,0.25088363016645115,0.001981039331563044,3.465735912322998,0.0
initial,3,320.08866628011066,4.1151333010298075,0.8782611563801765,0.0012923133887605765,0.8756880437334379,0.0012534941778140482,0.2691306124130885,0.0012454185645212966,0.7813218608498573,0.002263876308216285,3.307199110587438,0.00022861250239427372
pcg,3,123.24838225046794,5.926153238140301,0.9412335207064947,0.002625880369379784,0.9384267702698708,0.0025782035494735767,0.2724673052628835,0.0012254124842244662,0.8341502497593561,0.0021764814014357727,2.462780217329661,0.10206151442857891
richardson,3,297.31137466430664,13.018673416884797,0.8845090568065643,0.004368483598231629,0.8818759073813757,0.004439714002090965,0.2706831842660904,0.002166009466509359,0.7870898942152659,0.0051836671220364125,3.320494771003723,0.004002475504638092
