seed,training_step,training_controller,loss,mean_h_relative,cvar_h_relative,solver_step,solver_momentum
0,1,richardson,0.38880547881126404,0.3208293914794922,0.6797608137130737,0.25037461519241333,0.0
0,1,heavy_ball,0.3705770969390869,0.3044334650039673,0.6614364385604858,0.2504703402519226,0.1002703607082367
0,1,pcg,0.014720110222697258,0.01095255184918642,0.037675585597753525,nan,nan
0,100,richardson,0.42495179176330566,0.35323747992515564,0.7171431183815002,0.28586792945861816,0.0
0,100,heavy_ball,0.3882007598876953,0.3195335865020752,0.6866715550422668,0.29807230830192566,0.13148626685142517
0,100,pcg,0.017094532027840614,0.013033882714807987,0.04060649871826172,nan,nan
0,200,richardson,0.3203141391277313,0.25494417548179626,0.6536996364593506,0.31732916831970215,0.0
0,200,heavy_ball,0.27363836765289307,0.2148163914680481,0.5882197618484497,0.34823915362358093,0.17531068623065948
0,200,pcg,0.02070821449160576,0.014438414946198463,0.06269798427820206,nan,nan
0,300,richardson,0.32618391513824463,0.2623094916343689,0.6387443542480469,0.3437611758708954,0.0
0,300,heavy_ball,0.2620220184326172,0.20445162057876587,0.5757039189338684,0.3999747931957245,0.23301692306995392
0,300,pcg,0.020167281851172447,0.014263276010751724,0.05904005467891693,nan,nan
0,400,richardson,0.2698521018028259,0.21389037370681763,0.5596173405647278,0.36607643961906433,0.0
0,400,heavy_ball,0.19207534193992615,0.15345527231693268,0.38620075583457947,0.45470336079597473,0.3052715063095093
0,400,pcg,0.016138939186930656,0.012272011488676071,0.038669269531965256,nan,nan
0,500,richardson,0.288227379322052,0.2346658557653427,0.5356152653694153,0.38424402475357056,0.0
0,500,heavy_ball,0.1765141487121582,0.13644029200077057,0.40073859691619873,0.5065712928771973,0.3793862760066986
0,500,pcg,0.01719724014401436,0.011782433837652206,0.054148051887750626,nan,nan
0,600,richardson,0.24533426761627197,0.1994495987892151,0.45884665846824646,0.3995792865753174,0.0
0,600,heavy_ball,0.14518018066883087,0.11454369127750397,0.30636486411094666,0.5473030805587769,0.43702951073646545
0,600,pcg,0.016892585903406143,0.011954369954764843,0.04938216879963875,nan,nan
0,700,richardson,0.2609037458896637,0.21196404099464417,0.48939692974090576,0.412020742893219,0.0
0,700,heavy_ball,0.1402065008878708,0.11274216324090958,0.2746434211730957,0.5748077630996704,0.47092488408088684
0,700,pcg,0.016465259715914726,0.012362970039248466,0.0410228967666626,nan,nan
0,800,richardson,0.2547455132007599,0.20606350898742676,0.4868200421333313,0.4226835072040558,0.0
0,800,heavy_ball,0.12231911718845367,0.09932632744312286,0.2299279123544693,0.5913191437721252,0.4852426052093506
0,800,pcg,0.01558195985853672,0.011322923935949802,0.04259035363793373,nan,nan
0,900,richardson,0.2017912119626999,0.16572406888008118,0.3606714606285095,0.43164128065109253,0.0
0,900,heavy_ball,0.1164967268705368,0.09246817231178284,0.24028551578521729,0.6006435751914978,0.48671677708625793
0,900,pcg,0.009294042363762856,0.00710553303360939,0.021885093301534653,nan,nan
0,1000,richardson,0.26905542612075806,0.21637538075447083,0.5268003940582275,0.4392479360103607,0.0
0,1000,heavy_ball,0.11569496244192123,0.09358249604701996,0.22112466394901276,0.6073744893074036,0.48347774147987366
0,1000,pcg,0.014465080574154854,0.01083315908908844,0.03631921112537384,nan,nan
1,1,richardson,0.36244916915893555,0.3008039593696594,0.6164520382881165,0.25037461519241333,0.0
1,1,heavy_ball,0.34378156065940857,0.28418463468551636,0.5959693789482117,0.2504703402519226,0.1002703607082367
1,1,pcg,0.017833411693572998,0.013756542466580868,0.04076869413256645,nan,nan
1,100,richardson,0.3583277761936188,0.29759079217910767,0.6073697209358215,0.2861615717411041,0.0
1,100,heavy_ball,0.3250292241573334,0.2668203115463257,0.5820892453193665,0.29860231280326843,0.1318453997373581
1,100,pcg,0.015549874864518642,0.01194964163005352,0.03600233048200607,nan,nan
1,200,richardson,0.3302065134048462,0.2706258296966553,0.5958067774772644,0.31764090061187744,0.0
1,200,heavy_ball,0.2860761284828186,0.23126260936260223,0.5481350421905518,0.3489018976688385,0.1759088933467865
1,200,pcg,0.020499762147665024,0.014762998558580875,0.057367634028196335,nan,nan
1,300,richardson,0.3315103054046631,0.26981836557388306,0.6169192790985107,0.3447984457015991,0.0
1,300,heavy_ball,0.25318148732185364,0.20102334022521973,0.5215815901756287,0.4022763669490814,0.23556341230869293
1,300,pcg,0.015975864604115486,0.011704660020768642,0.042712051421403885,nan,nan
1,400,richardson,0.2950410842895508,0.2321132868528366,0.6292778253555298,0.36678168177604675,0.0
1,400,heavy_ball,0.22918681800365448,0.17844915390014648,0.5073766112327576,0.45563778281211853,0.30596718192100525
1,400,pcg,0.0157342366874218,0.011896008625626564,0.038382288068532944,nan,nan
1,500,richardson,0.30804693698883057,0.24867400527000427,0.5937291979789734,0.38515520095825195,0.0
1,500,heavy_ball,0.1778300255537033,0.14415809512138367,0.3367193341255188,0.5071441531181335,0.3794458210468292
1,500,pcg,0.018185514956712723,0.012290840037167072,0.058946747332811356,nan,nan
1,600,richardson,0.2894989252090454,0.23540902137756348,0.5408990383148193,0.4002911150455475,0.0
1,600,heavy_ball,0.14983144402503967,0.11771458387374878,0.3211685121059418,0.548248827457428,0.4375673234462738
1,600,pcg,0.019078165292739868,0.014077698811888695,0.05000465363264084,nan,nan
1,700,richardson,0.27681732177734375,0.225555419921875,0.512618899345398,0.4128066599369049,0.0
1,700,heavy_ball,0.14382866024971008,0.11391668766736984,0.2991196811199188,0.5755865573883057,0.47120848298072815
1,700,pcg,0.012431793846189976,0.009466268122196198,0.02965525910258293,nan,nan
1,800,richardson,0.32506588101387024,0.26520201563835144,0.5986385345458984,0.423183798789978,0.0
1,800,heavy_ball,0.11262872070074081,0.09220484644174576,0.20423875749111176,0.5903880596160889,0.4817931056022644
1,800,pcg,0.013866107910871506,0.00965872872620821,0.04207378998398781,nan,nan
1,900,richardson,0.28867149353027344,0.23563113808631897,0.5304036140441895,0.4320971369743347,0.0
1,900,heavy_ball,0.15807363390922546,0.12484459578990936,0.332290381193161,0.6012065410614014,0.48533716797828674
1,900,pcg,0.017079655081033707,0.012529921717941761,0.0454973429441452,nan,nan
1,1000,richardson,0.2797786593437195,0.22523601353168488,0.5454263091087341,0.43954554200172424,0.0
1,1000,heavy_ball,0.15289925038814545,0.11810450255870819,0.34794750809669495,0.6089295148849487,0.4825325310230255
1,1000,pcg,0.010822338983416557,0.008383722975850105,0.02438615821301937,nan,nan
2,1,richardson,0.4027669429779053,0.33307409286499023,0.6969284415245056,0.25037461519241333,0.0
2,1,heavy_ball,0.3841415047645569,0.3158609867095947,0.6828051209449768,0.2504703402519226,0.1002703607082367
2,1,pcg,0.020906677469611168,0.014443102292716503,0.0646357461810112,nan,nan
2,100,richardson,0.3476111590862274,0.28726428747177124,0.6034687757492065,0.2859939634799957,0.0
2,100,heavy_ball,0.3191571533679962,0.2630230784416199,0.5613408088684082,0.2983199656009674,0.13166861236095428
2,100,pcg,0.02368222363293171,0.016716040670871735,0.06966182589530945,nan,nan
2,200,richardson,0.29299649596214294,0.24316474795341492,0.4983174800872803,0.31754231452941895,0.0
