sigma,sample_size,minimum_risk,optimal_time,aligned_asymptotic_time,time_ratio
0.0,24,0.6384245307698602,0.1728674528755885,0.16666666666666666,1.037204717253531
0.0,32,0.5797943839372202,0.1728674528755885,0.16666666666666666,1.037204717253531
0.0,43,0.5246635504093142,0.1728674528755885,0.16666666666666666,1.037204717253531
0.0,59,0.47103942667251997,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.0,80,0.424243515509497,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.0,108,0.3823590583933552,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.0,147,0.34333781101999217,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.0,199,0.30860980320055076,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.0,269,0.2772882712943666,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.0,364,0.24880432897378268,0.18307739301591677,0.16666666666666666,1.0984643580955007
0.0,493,0.2229367914875853,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.0,667,0.19959688192897992,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.0,903,0.17842339962721773,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.0,1222,0.15928507490969715,0.19389035515914396,0.16666666666666666,1.163342130954864
0.0,1653,0.14198461761410974,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.0,2237,0.12630076900868561,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.0,3027,0.11210856399064356,0.20534195513954376,0.16666666666666666,1.2320517308372627
0.0,4096,0.09926073560529242,0.2093075311085384,0.16666666666666666,1.2558451866512303
0.01,24,0.638029713577377,0.1728674528755885,0.16666666666666666,1.037204717253531
0.01,32,0.5793297884958133,0.1728674528755885,0.16666666666666666,1.037204717253531
0.01,43,0.5241201963061167,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.01,59,0.47040485892007433,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.01,80,0.42351669189425645,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.01,108,0.381529727268596,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.01,147,0.3423858934082097,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.01,199,0.30753171982314964,0.18307739301591677,0.16666666666666666,1.0984643580955007
0.01,269,0.2760591151354761,0.18307739301591677,0.16666666666666666,1.0984643580955007
0.01,364,0.24741608031209256,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.01,493,0.2213694976197984,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.01,667,0.19783793663734278,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.01,903,0.1764628725884759,0.19389035515914396,0.16666666666666666,1.163342130954864
0.01,1222,0.15712242701492274,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.01,1653,0.13963357585368133,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.01,2237,0.12379391078754459,0.2093075311085384,0.16666666666666666,1.2558451866512303
0.01,3027,0.10950237546009928,0.21334969051492736,0.16666666666666666,1.2800981430895642
0.01,4096,0.09664008316846552,0.21746991234257815,0.16666666666666666,1.304819474055469
0.025,24,0.6367820518375576,0.1728674528755885,0.16666666666666666,1.037204717253531
0.025,32,0.577867525419102,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.025,43,0.522406559884818,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.025,59,0.4683775537971672,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.025,80,0.4211180845951339,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.025,108,0.3787036902975417,0.18307739301591677,0.16666666666666666,1.0984643580955007
0.025,147,0.3390541735938455,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.025,199,0.30361949878722466,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.025,269,0.2714966132346758,0.19389035515914396,0.16666666666666666,1.163342130954864
0.025,364,0.24212628738541478,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.025,493,0.21529584045260705,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.025,667,0.19095695149671116,0.2093075311085384,0.16666666666666666,1.2558451866512303
0.025,903,0.16879176877732302,0.21746991234257815,0.16666666666666666,1.304819474055469
0.025,1222,0.14872983974022283,0.22166970413758194,0.16666666666666666,1.3300182248254917
0.025,1653,0.13064806736093773,0.23031417394535722,0.16666666666666666,1.3818850436721435
0.025,2237,0.11437981841636341,0.2347620148792564,0.16666666666666666,1.4085720892755385
0.025,3027,0.09985150060929762,0.2392957527800438,0.16666666666666666,1.435774516680263
0.025,4096,0.08694403507751124,0.24391704649501864,0.16666666666666666,1.463502278970112
0.05,24,0.6323297006174968,0.17620587933830958,0.16666666666666666,1.0572352760298576
0.05,32,0.5726703833055214,0.17960877769010872,0.16666666666666666,1.0776526661406525
0.05,43,0.5163413602066675,0.18307739301591677,0.16666666666666666,1.0984643580955007
0.05,59,0.46122004804838335,0.18661299444581808,0.16666666666666666,1.1196779666749086
0.05,80,0.41275106000255735,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.05,108,0.36898669378626603,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.05,147,0.3278141496056421,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.05,199,0.29080152360354894,0.2093075311085384,0.16666666666666666,1.2558451866512303
0.05,269,0.2571267531394876,0.21746991234257815,0.16666666666666666,1.304819474055469
0.05,364,0.22634823792258302,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.05,493,0.1984049464098421,0.2347620148792564,0.16666666666666666,1.4085720892755385
0.05,667,0.173386246056555,0.2392957527800438,0.16666666666666666,1.435774516680263
0.05,903,0.1510353159165703,0.24391704649501864,0.16666666666666666,1.463502278970112
0.05,1222,0.1312813479614693,0.24391704649501864,0.16666666666666666,1.463502278970112
0.05,1653,0.11392281497056041,0.24862758690723744,0.16666666666666666,1.4917655214434247
0.05,2237,0.09869481285283416,0.24862758690723744,0.16666666666666666,1.4917655214434247
0.05,3027,0.08540616621508587,0.24862758690723744,0.16666666666666666,1.4917655214434247
0.05,4096,0.07383448253465263,0.24862758690723744,0.16666666666666666,1.4917655214434247
