model,seed,step,loss,ranking_loss,relative_residual,coefficient_mean,gradient_norm,elapsed_seconds,wavenumber,noise,aperture_degrees,mean_count
small,17,0,0.30886033177375793,0.30207568407058716,0.027750354260206223,0.00268280110321939,1.0307852789992467e-05,0.3472554559702985,6.0,0.12261567981145044,360.0,2.5
small,17,100,0.3641353249549866,0.34455054998397827,0.08242262899875641,0.0023858959320932627,0.00022134387108962983,3.6909439070150256,10.0,0.1708459969714141,360.0,3.0833334922790527
small,17,200,0.3187936246395111,0.31071364879608154,0.03323110565543175,0.002711900044232607,8.314115984831005e-05,6.9759377659647726,10.0,0.13036893143703043,360.0,2.5
small,17,300,0.3606116771697998,0.35890358686447144,0.006871319375932217,0.0035162109415978193,0.00011016282951459289,10.273861825000495,8.0,0.04788389669533224,360.0,2.25
small,17,400,0.34085673093795776,0.3378133773803711,0.012385751120746136,0.002785786986351013,2.7274329113424756e-05,13.57595092698466,10.0,0.04661020837439203,240.0,2.0833334922790527
small,17,500,0.34049996733665466,0.32240384817123413,0.07693852484226227,0.0027794484049081802,4.779300434165634e-05,16.955992523988243,8.0,0.1951364424953677,360.0,2.1666667461395264
small,17,600,0.31248703598976135,0.3106403350830078,0.007448186632245779,0.0029301135800778866,1.8948816432384774e-05,20.340944671013858,6.0,0.07113491439902082,360.0,2.4166667461395264
small,17,700,0.3544430136680603,0.3399922251701355,0.060173772275447845,0.0030258800834417343,3.930021193809807e-05,23.815247415972408,8.0,0.16969031792201517,240.0,2.6666667461395264
small,17,800,0.34775668382644653,0.33720797300338745,0.043510161340236664,0.0031350632198154926,2.05816777452128e-05,27.186574221006595,8.0,0.15442861028033425,240.0,2.8333334922790527
small,17,900,0.3366430699825287,0.32309454679489136,0.05738217383623123,0.0029524469282478094,7.845146319596097e-05,30.40879719896475,10.0,0.15575846919008485,240.0,2.3333334922790527
small,17,1000,0.3276115953922272,0.31448280811309814,0.05480857938528061,0.002908871276304126,0.0033972396049648523,33.686651657975744,10.0,0.1520755479289385,360.0,2.25
small,17,1100,0.3749491572380066,0.3618715703487396,0.055054858326911926,0.0030420799739658833,2.8176813430036418e-05,36.9647020099801,10.0,0.045281897881523765,360.0,2.75
small,17,1200,0.3166074752807617,0.307250440120697,0.038261279463768005,0.0031012422405183315,6.922783359186724e-05,40.19472129299538,6.0,0.18847243595762153,360.0,2.5
small,17,1300,0.3427409827709198,0.3206218481063843,0.09445970505475998,0.0033440215047448874,5.398951907409355e-05,43.64417525398312,10.0,0.19936891650646543,360.0,2.25
small,17,1400,0.3432554006576538,0.3377077579498291,0.022560160607099533,0.003654357511550188,3.7851154047530144e-05,47.131957883015275,8.0,0.08458691850423951,360.0,3.0
small,17,1500,0.39138442277908325,0.38838934898376465,0.012123565189540386,0.003920895513147116,1.7817133993958123e-05,50.55535816500196,8.0,0.04048776846119943,360.0,2.5833334922790527
small,17,1600,0.3490561544895172,0.3359164893627167,0.055113546550273895,0.003713832935318351,8.691112452652305e-05,53.94849801296368,8.0,0.1818379757585101,240.0,2.8333334922790527
small,17,1700,0.3317553400993347,0.32028400897979736,0.049523185938596725,0.006117814686149359,0.0011112760985270143,57.32972088898532,10.0,0.06664626937181646,360.0,2.5
