model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,area_matched_iou_mean,area_matched_iou_ci95,area_matched_iou_q10,score_correlation_exact_mean,score_correlation_exact_ci95,score_correlation_exact_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10,success_ap80_mean,success_ap80_ci95,success_ap80_q10
exact,180-degree aperture,OOD aperture,192,0.7842037604126256,0.008144734633184466,0.7142499237818688,0.9889074623726226,0.000531620416213838,0.9840317070566884,0.5241985310727294,0.010158633829586396,0.4426229508196721,1.0,0.0,1.0,1.9356447864993243e-05,2.444666692017149e-07,1.7517134256195278e-05,0.3802083333333333,0.06884510549864703,0.0
exact,30% noise,OOD noise,192,0.9324925900036186,0.003408624298342488,0.9009271024772797,0.9962260223520185,0.00023761192635122081,0.9936075549333641,0.7307524694597746,0.007868994439216705,0.6573860182370821,1.0,0.0,1.0,1.1906047258018285e-05,1.7119861727243903e-07,1.054797521646833e-05,1.0,0.0,1.0
exact,four obstacles,ID,192,0.9368977425396866,0.0038250220305759376,0.8998917816076992,0.9964073914659304,0.0002457472360784841,0.9938800265418566,0.7391942942740659,0.009301033256922048,0.6615819209039548,1.0,0.0,1.0,1.52566778695018e-05,1.948707820922903e-07,1.3635207415063632e-05,1.0,0.0,1.0
exact,heteroscedastic noise,OOD noise,192,0.9424730158165252,0.004967266995465974,0.8961246394223863,0.9975122134758344,0.000252647904312353,0.9953849721706864,0.7560577674718796,0.012811392814450036,0.6363636363636364,1.0,0.0,1.0,1.6598390672584173e-05,2.2867692933826677e-07,1.4612758332077646e-05,1.0,0.0,1.0
exact,mirrored kites,lsmlab-inspired,192,0.933942797072024,0.004386227827820014,0.8995243592303028,0.9979633863059242,0.0001704137622894397,0.9964022014923819,0.7288752233341681,0.012015146910201393,0.625462962962963,1.0,0.0,1.0,2.3074039821343224e-05,3.0195583646511185e-07,2.0442129971343094e-05,1.0,0.0,1.0
exact,one obstacle,ID,192,0.9918378999080334,0.0025297069827846476,0.9659090909090909,0.999902192624403,2.84362904036316e-05,0.999671592775041,0.9386908947498153,0.01410281477769255,0.8,1.0,0.0,1.0,5.0268156883248594e-05,2.8855130185360956e-07,4.779312366736122e-05,1.0,0.0,1.0
exact,six obstacles,OOD count,192,0.7788811446731886,0.007688248159730669,0.7065818436012425,0.9762789385910383,0.0013163700672259462,0.9624771129405588,0.521555502561191,0.010244757205208918,0.4229655626233823,1.0,0.0,1.0,1.125000572699264e-05,1.2726350828380774e-07,1.0145219312107656e-05,0.359375,0.0680479835083669,0.0
exact,three obstacles,ID,192,0.9310237685513275,0.0053610228393230685,0.8767788560918331,0.996939870067417,0.00027508688688615774,0.9939870498685012,0.7260258141015538,0.013359305055984264,0.6088016967126193,1.0,0.0,1.0,1.749506796026405e-05,2.066935534447216e-07,1.576279228174826e-05,1.0,0.0,1.0
exact,three stars,OOD shape,192,0.859492104733954,0.005507107964500238,0.812896194660214,0.9927502678757149,0.00045843572108745357,0.988104674796748,0.6028098947918762,0.009736649106231175,0.5239709443099274,1.0,0.0,1.0,1.6642363481385775e-05,2.1332564639370393e-07,1.4709084825881292e-05,0.9427083333333334,0.03295898198561682,1.0
exact,two crescents,OOD shape,192,0.7633622994009909,0.013280683325383584,0.6398494055295526,0.9959060565335666,0.00027629775550662916,0.9933459390824789,0.5424898444522089,0.015037997563102921,0.42857142857142855,1.0,0.0,1.0,2.4405372329283637e-05,4.2268327268182863e-07,2.102211619785521e-05,0.3645833333333333,0.06826012737916376,0.0
