model,seed,scenario,category,count,wavenumber,noise,aperture_degrees,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,score_correlation_exact,relative_residual,success_ap80
small,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,0.9999999973693675,0.0006843668525107205,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.046434808522462845,1.0,0.9999999953680536,0.0004900611820630729,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.10247135907411575,0.7777777777777778,0.9999999929393472,0.0005025863065384328,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,0.9999999966611939,0.0005963588482700288,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,0.9999999999999998,0.09722222222222222,0.15805256366729736,1.0,0.9999999949719474,0.0005244711646810174,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0,0.125,0.03309934213757515,1.0,0.9999999940755265,0.0005114628584124148,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.010179199278354645,0.6666666666666666,0.9999999956424246,0.0007702369475737214,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,7,1.0,1.0,0.2222222222222222,0.015109135769307613,1.0,0.9999999954922125,0.0007966108387336135,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,8,1.0,1.0,0.18055555555555555,0.006506984122097492,1.0,0.9999999968562845,0.0006948033696971834,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,9,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.038802482187747955,0.8461538461538461,0.9999999980835078,0.0007921868236735463,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,10,1.0,1.0,0.1388888888888889,0.054757680743932724,1.0,0.9999999934749578,0.0005890116444788873,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,11,0.9992732077964982,0.9505266955266954,0.20833333333333334,0.003860349301248789,0.7647058823529411,0.9999999979524681,0.0007477550534531474,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,12,1.0,0.9999999999999998,0.19444444444444445,0.014138423837721348,1.0,0.999999997366799,0.0008621490560472012,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,13,1.0,1.0,0.09722222222222222,0.0324026457965374,1.0,0.9999999984651557,0.0004996057250536978,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,14,0.999671592775041,0.9722222222222222,0.125,0.10022005438804626,0.8,0.9999999937661541,0.0007520795916207135,1.0
small,17,one obstacle,ID,1,8.0,0.05,360.0,15,1.0,1.0,0.2222222222222222,8.33000246558413e-09,1.0,0.999999997882097,0.000799183442723006,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,0.9999999976912751,0.0006880445871502161,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.046434808522462845,1.0,0.9999999962015065,0.0005362543743103743,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.10247135907411575,0.7777777777777778,0.9999999922000732,0.0005054320790804923,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,0.9999999977783236,0.0005430083256214857,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,1.0,0.09722222222222222,0.15805256366729736,1.0,0.9999999938948606,0.0005449980963021517,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0000000000000002,0.125,0.03309934213757515,1.0,0.9999999932728114,0.0004979092627763748,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.010179199278354645,0.6666666666666666,0.9999999978745273,0.0007854405557736754,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,7,1.0,1.0,0.2222222222222222,0.015109135769307613,1.0,0.9999999975061138,0.0008551827631890774,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,8,1.0,1.0,0.18055555555555555,0.006506984122097492,1.0,0.9999999985648609,0.0006900723092257977,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,9,0.9999176548089591,0.9935897435897435,0.16666666666666666,0.038802482187747955,0.8461538461538461,0.9999999963443725,0.000808883982244879,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,10,1.0,1.0,0.1388888888888889,0.054757680743932724,1.0,0.9999999957874801,0.0006221285439096391,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,11,0.9992732077964982,0.9505266955266954,0.20833333333333334,0.003860349301248789,0.7647058823529411,0.9999999964549504,0.0007199265528470278,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,12,1.0,1.0,0.19444444444444445,0.014138423837721348,1.0,0.999999997026993,0.0008377882186323404,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,13,1.0,0.9999999999999998,0.09722222222222222,0.0324026457965374,1.0,0.9999999983939649,0.0005086384480819106,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,14,0.999671592775041,0.9722222222222222,0.125,0.10535680502653122,0.8,0.9999999944908062,0.0007446573581546545,1.0
foundation,17,one obstacle,ID,1,8.0,0.05,360.0,15,1.0,1.0,0.2222222222222222,8.33000246558413e-09,1.0,0.9999999987667139,0.0006861721049062908,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,0,1.0,1.0,0.16666666666666666,0.003205811372026801,1.0,1.0,4.89024278067518e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,1,1.0,1.0,0.1388888888888889,0.046434808522462845,1.0,1.0,5.051427069702186e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,2,0.999630905511811,0.9659090909090909,0.1111111111111111,0.10247135907411575,0.7777777777777778,1.0,5.206292917137034e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,3,1.0,1.0,0.2222222222222222,0.0030412981286644936,1.0,1.0,5.022057666792534e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,4,1.0,1.0,0.09722222222222222,0.15805256366729736,1.0,1.0,5.262999184196815e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,5,1.0,1.0,0.125,0.03309934213757515,1.0,1.0,5.257190787233412e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,6,0.9993096646942801,0.9351301476301476,0.1388888888888889,0.010179199278354645,0.6666666666666666,1.0,5.093180516269058e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,7,1.0,1.0,0.2222222222222222,0.015109135769307613,1.0,1.0,4.818867091671564e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,8,1.0,1.0,0.18055555555555555,0.006506984122097492,1.0,1.0,4.880458436673507e-05,1.0
exact,17,one obstacle,ID,1,8.0,0.05,360.0,9,0.9999176548089591,0.9935897435897437,0.16666666666666666,0.038802482187747955,0.8461538461538461,1.0,4.7953843022696674e-05,1.0
