model,seed,scenario,category,task,threshold,balanced_brier,balanced_nll,balanced_ece,uncertainty_error_auc,credible_confident_fraction,credible_selective_accuracy,mean_score_std
foundation,17,one obstacle,ID,0,-1.5919537544250488,0.19927716255187988,0.504679799079895,0.31987327337265015,1.0,0.9501953125,1.0,0.08288773149251938
foundation,17,one obstacle,ID,1,-1.5919537544250488,0.21604867279529572,0.5411419868469238,0.33165615797042847,1.0,0.962890625,1.0,0.0820893794298172
foundation,17,one obstacle,ID,2,-1.5919537544250488,0.21653445065021515,0.5453609228134155,0.3312780261039734,0.999630905511811,0.970703125,0.9999999403953552,0.08261273056268692
foundation,17,one obstacle,ID,3,-1.5919537544250488,0.18631958961486816,0.47810953855514526,0.3109581172466278,1.0,0.9267578125,0.9999999403953552,0.08359670639038086
foundation,17,one obstacle,ID,4,-1.5919537544250488,0.2203972190618515,0.5521463751792908,0.33559778332710266,1.0,0.97265625,0.9999999403953552,0.08194595575332642
foundation,17,one obstacle,ID,5,-1.5919537544250488,0.2162667214870453,0.5429476499557495,0.33344072103500366,1.0,0.9658203125,1.0,0.08295916765928268
foundation,17,one obstacle,ID,6,-1.5919537544250488,0.20389395952224731,0.5174232125282288,0.3236874043941498,0.9992110453648915,0.947265625,1.0,0.08370257914066315
foundation,17,one obstacle,ID,7,-1.5919537544250488,0.1934560239315033,0.4914909303188324,0.31276530027389526,1.0,0.947265625,1.0,0.08195589482784271
foundation,17,one obstacle,ID,8,-1.5919537544250488,0.19776810705661774,0.5015872716903687,0.31765034794807434,1.0,0.9423828125,1.0,0.08313769102096558
foundation,17,one obstacle,ID,9,-1.5919537544250488,0.20237787067890167,0.5111649036407471,0.3206513226032257,0.9999176548089591,0.9541015625,1.0,0.08243425190448761
foundation,17,one obstacle,ID,10,-1.5919537544250488,0.20559385418891907,0.518366813659668,0.3240552246570587,1.0,0.962890625,1.0,0.08265165984630585
foundation,17,one obstacle,ID,11,-1.5919537544250488,0.19149722158908844,0.4897811710834503,0.31238389015197754,0.999207135777998,0.912109375,1.0,0.08386996388435364
foundation,17,one obstacle,ID,12,-1.5919537544250488,0.19173599779605865,0.48907795548439026,0.3129343092441559,1.0,0.9462890625,1.0,0.08303866535425186
foundation,17,one obstacle,ID,13,-1.5919537544250488,0.2119743525981903,0.5303322076797485,0.3282144069671631,1.0,0.97265625,0.9999999403953552,0.08114272356033325
foundation,17,one obstacle,ID,14,-1.5919537544250488,0.20417667925357819,0.5173028111457825,0.3213231563568115,0.999671592775041,0.9658203125,1.0,0.08208617568016052
foundation,17,one obstacle,ID,15,-1.5919537544250488,0.18360237777233124,0.47183164954185486,0.30555081367492676,1.0,0.9306640625,0.9999999403953552,0.083192378282547
exact,17,one obstacle,ID,0,-1.590419054031372,0.203281968832016,0.5132291913032532,0.3218366205692291,1.0,0.9501953125,1.0,0.08288881927728653
exact,17,one obstacle,ID,1,-1.590419054031372,0.22012673318386078,0.5502145886421204,0.33460915088653564,1.0,0.9658203125,1.0,0.08209165185689926
exact,17,one obstacle,ID,2,-1.590419054031372,0.22058269381523132,0.5544070601463318,0.33420002460479736,0.999630905511811,0.970703125,0.9999999403953552,0.08261506259441376
exact,17,one obstacle,ID,3,-1.590419054031372,0.19021660089492798,0.48621174693107605,0.31172746419906616,1.0,0.9267578125,0.9999999403953552,0.08359804004430771
exact,17,one obstacle,ID,4,-1.590419054031372,0.22451196610927582,0.561370849609375,0.3385053277015686,1.0,0.974609375,1.0,0.08194509148597717
exact,17,one obstacle,ID,5,-1.590419054031372,0.22035522758960724,0.5519518256187439,0.3363245725631714,1.0,0.9658203125,1.0,0.08296151459217072
exact,17,one obstacle,ID,6,-1.590419054031372,0.20787113904953003,0.5259937047958374,0.3268345296382904,0.9992110453648915,0.947265625,1.0,0.08370386809110641
exact,17,one obstacle,ID,7,-1.590419054031372,0.19740715622901917,0.49990972876548767,0.31633126735687256,1.0,0.947265625,1.0,0.08195532113313675
exact,17,one obstacle,ID,8,-1.590419054031372,0.2017461508512497,0.510071873664856,0.320661723613739,1.0,0.9443359375,1.0,0.08313862979412079
exact,17,one obstacle,ID,9,-1.590419054031372,0.20637556910514832,0.5198031663894653,0.32365936040878296,0.9999176548089591,0.9541015625,1.0,0.08243629336357117
exact,17,one obstacle,ID,10,-1.590419054031372,0.2096356600522995,0.5271432399749756,0.3270377218723297,1.0,0.9638671875,1.0,0.08265426754951477
exact,17,one obstacle,ID,11,-1.590419054031372,0.1954018622636795,0.4979691803455353,0.3158831298351288,0.999207135777998,0.916015625,1.0,0.08387262374162674
exact,17,one obstacle,ID,12,-1.590419054031372,0.19568215310573578,0.4973905384540558,0.31619957089424133,1.0,0.9462890625,1.0,0.08304029703140259
exact,17,one obstacle,ID,13,-1.590419054031372,0.2160845845937729,0.5393380522727966,0.3314780294895172,1.0,0.97265625,0.9999999403953552,0.08114185184240341
exact,17,one obstacle,ID,14,-1.590419054031372,0.208195298910141,0.5260665416717529,0.3243330121040344,0.999671592775041,0.966796875,1.0,0.08208739757537842
exact,17,one obstacle,ID,15,-1.590419054031372,0.1874893307685852,0.47991541028022766,0.3086276948451996,1.0,0.9306640625,0.9999999403953552,0.08319267630577087
foundation,17,one obstacle,ID,16,-1.5919537544250488,0.19430853426456451,0.49434682726860046,0.31630271673202515,1.0,0.94921875,0.9999999403953552,0.08316055685281754
foundation,17,one obstacle,ID,17,-1.5919537544250488,0.20882421731948853,0.5257734656333923,0.32579460740089417,0.9998027613412229,0.9580078125,0.9999999403953552,0.08201512694358826
foundation,17,one obstacle,ID,18,-1.5919537544250488,0.21389888226985931,0.5378798246383667,0.32818299531936646,0.9998905309250137,0.966796875,1.0,0.08180715888738632
foundation,17,one obstacle,ID,19,-1.5919537544250488,0.1965244710445404,0.499703586101532,0.31722551584243774,1.0,0.9384765625,1.0,0.08356087654829025
foundation,17,one obstacle,ID,20,-1.5919537544250488,0.21627134084701538,0.5403544902801514,0.33175867795944214,1.0,0.9775390625,1.0,0.08131936937570572
foundation,17,one obstacle,ID,21,-1.5919537544250488,0.1946508288383484,0.4954966604709625,0.3151848316192627,0.9999999999999999,0.953125,0.9999999403953552,0.08300582319498062
foundation,17,one obstacle,ID,22,-1.5919537544250488,0.2029765099287033,0.5151126980781555,0.3253791928291321,1.0,0.94921875,0.9999999403953552,0.08417181670665741
foundation,17,one obstacle,ID,23,-1.5919537544250488,0.19728848338127136,0.5006060004234314,0.3171049654483795,1.0,0.9521484375,0.9999999403953552,0.08271798491477966
foundation,17,one obstacle,ID,24,-1.5919537544250488,0.21341919898986816,0.5342766046524048,0.3290148079395294,1.0,0.9697265625,1.0,0.08125971257686615
foundation,17,one obstacle,ID,25,-1.5919537544250488,0.21907612681388855,0.5487298369407654,0.33460119366645813,1.0,0.974609375,1.0,0.08205193281173706
foundation,17,one obstacle,ID,26,-1.5919537544250488,0.18486550450325012,0.47325998544692993,0.3052142262458801,0.9998952605394082,0.935546875,1.0,0.08222582936286926
foundation,17,one obstacle,ID,27,-1.5919537544250488,0.18980085849761963,0.48526641726493835,0.31186366081237793,1.0,0.9365234375,1.0,0.0834524929523468
foundation,17,one obstacle,ID,28,-1.5919537544250488,0.19585686922073364,0.49895089864730835,0.3166937828063965,0.999820515121601,0.9443359375,1.0,0.08339497447013855
foundation,17,one obstacle,ID,29,-1.5919537544250488,0.20754922926425934,0.5223113894462585,0.3249414265155792,1.0,0.974609375,1.0,0.08169930428266525
foundation,17,one obstacle,ID,30,-1.5919537544250488,0.22137491405010223,0.5544388294219971,0.33626484870910645,0.9998595308329822,0.9716796875,1.0,0.08211173862218857
foundation,17,one obstacle,ID,31,-1.5919537544250488,0.21140748262405396,0.5312823057174683,0.3287430703639984,1.0,0.962890625,1.0,0.08254461735486984
exact,17,one obstacle,ID,16,-1.590419054031372,0.19829867780208588,0.5027745366096497,0.3193032145500183,1.0,0.94921875,0.9999999403953552,0.08316205441951752
exact,17,one obstacle,ID,17,-1.590419054031372,0.2128714770078659,0.5346580147743225,0.3287877142429352,0.9998027613412229,0.9580078125,0.9999999403953552,0.08201660215854645
exact,17,one obstacle,ID,18,-1.590419054031372,0.21794450283050537,0.5468960404396057,0.3311687409877777,0.9998905309250137,0.966796875,1.0,0.0818079337477684
exact,17,one obstacle,ID,19,-1.590419054031372,0.2004878968000412,0.5080901384353638,0.3204522728919983,1.0,0.939453125,1.0,0.08356238901615143
exact,17,one obstacle,ID,20,-1.590419054031372,0.2203858345746994,0.5494649410247803,0.3347361087799072,1.0,0.9775390625,1.0,0.08132122457027435
exact,17,one obstacle,ID,21,-1.590419054031372,0.19861742854118347,0.503909170627594,0.3181924521923065,1.0,0.955078125,1.0,0.08300729095935822
exact,17,one obstacle,ID,22,-1.590419054031372,0.2069959193468094,0.523655354976654,0.3272468149662018,1.0,0.94921875,0.9999999403953552,0.0841728076338768
exact,17,one obstacle,ID,23,-1.590419054031372,0.20127218961715698,0.5091144442558289,0.3203677237033844,1.0,0.9521484375,0.9999999403953552,0.08272051066160202
exact,17,one obstacle,ID,24,-1.590419054031372,0.21748776733875275,0.5432714223861694,0.332006573677063,1.0,0.970703125,0.9999999403953552,0.08126164972782135
exact,17,one obstacle,ID,25,-1.590419054031372,0.22317615151405334,0.5578827261924744,0.3375115990638733,1.0,0.9755859375,1.0,0.08205485343933105
exact,17,one obstacle,ID,26,-1.590419054031372,0.18874482810497284,0.48140010237693787,0.30832672119140625,0.9998952605394082,0.9365234375,1.0,0.08222578465938568
exact,17,one obstacle,ID,27,-1.590419054031372,0.19374863803386688,0.4935183823108673,0.31488847732543945,1.0,0.9384765625,1.0,0.08345355093479156
exact,17,one obstacle,ID,28,-1.590419054031372,0.19981490075588226,0.507341206073761,0.3199094831943512,0.999820515121601,0.947265625,1.0,0.08339595794677734
exact,17,one obstacle,ID,29,-1.590419054031372,0.21160370111465454,0.5311686992645264,0.32793158292770386,1.0,0.9765625,1.0,0.08170102536678314
exact,17,one obstacle,ID,30,-1.590419054031372,0.22544288635253906,0.563574492931366,0.3391396701335907,0.9998595308329822,0.9716796875,1.0,0.08211293816566467
exact,17,one obstacle,ID,31,-1.590419054031372,0.21546611189842224,0.5401735901832581,0.33168312907218933,1.0,0.9638671875,1.0,0.08254566788673401
foundation,17,one obstacle,ID,32,-1.5919537544250488,0.20091131329536438,0.5099079012870789,0.3230077624320984,1.0,0.9482421875,1.0,0.08370760828256607
foundation,17,one obstacle,ID,33,-1.5919537544250488,0.18108002841472626,0.4663815200328827,0.3057706356048584,1.0,0.9345703125,1.0,0.08303392678499222
foundation,17,one obstacle,ID,34,-1.5919537544250488,0.22507941722869873,0.5625463724136353,0.33859536051750183,1.0,0.9794921875,1.0,0.0819023922085762
foundation,17,one obstacle,ID,35,-1.5919537544250488,0.1925937682390213,0.4916170537471771,0.3145439326763153,1.0,0.939453125,1.0,0.08389828354120255
foundation,17,one obstacle,ID,36,-1.5919537544250488,0.20668132603168488,0.5222185254096985,0.3249328136444092,0.9996715927750411,0.96484375,1.0,0.0826074555516243
foundation,17,one obstacle,ID,37,-1.5919537544250488,0.18406857550144196,0.47213873267173767,0.3048250079154968,0.9992990244757287,0.931640625,0.9999999403953552,0.08223134279251099
foundation,17,one obstacle,ID,38,-1.5919537544250488,0.2186925709247589,0.5489773154258728,0.3354836702346802,1.0,0.9736328125,1.0,0.08261729776859283
foundation,17,one obstacle,ID,39,-1.5919537544250488,0.2014668583869934,0.5094231367111206,0.3203718662261963,1.0,0.955078125,1.0,0.08298209309577942
foundation,17,one obstacle,ID,40,-1.5919537544250488,0.20697051286697388,0.5202009677886963,0.3221045732498169,0.9997357119259993,0.9619140625,1.0,0.08020409196615219
foundation,17,one obstacle,ID,41,-1.5919537544250488,0.22132499516010284,0.5534772276878357,0.3352276384830475,1.0,0.9794921875,1.0,0.0814618468284607
foundation,17,one obstacle,ID,42,-1.5919537544250488,0.21100814640522003,0.5314682722091675,0.32931479811668396,1.0,0.970703125,0.9999999403953552,0.08271102607250214
foundation,17,one obstacle,ID,43,-1.5919537544250488,0.19477447867393494,0.49398648738861084,0.3145352602005005,1.0,0.94140625,1.0,0.08250799775123596
foundation,17,one obstacle,ID,44,-1.5919537544250488,0.2109285145998001,0.5315033793449402,0.3296726942062378,1.0,0.958984375,1.0,0.08299259841442108
foundation,17,one obstacle,ID,45,-1.5919537544250488,0.1914791315793991,0.4890008568763733,0.310955673456192,0.999282060486404,0.9482421875,1.0,0.08247986435890198
foundation,17,one obstacle,ID,46,-1.5919537544250488,0.1844843327999115,0.47312912344932556,0.308296263217926,1.0,0.9345703125,1.0,0.08312269300222397
foundation,17,one obstacle,ID,47,-1.5919537544250488,0.19981911778450012,0.5072148442268372,0.319817453622818,1.0,0.955078125,1.0,0.08304857462644577
exact,17,one obstacle,ID,32,-1.590419054031372,0.20491798222064972,0.5184172987937927,0.32490280270576477,1.0,0.9482421875,1.0,0.08370934426784515
exact,17,one obstacle,ID,33,-1.590419054031372,0.1849731057882309,0.474430650472641,0.3088165521621704,1.0,0.9375,1.0,0.08303418755531311
exact,17,one obstacle,ID,34,-1.590419054031372,0.2292138636112213,0.5719426870346069,0.3415011763572693,1.0,0.98046875,1.0,0.081903375685215
exact,17,one obstacle,ID,35,-1.590419054031372,0.19652925431728363,0.49986591935157776,0.3180130124092102,1.0,0.9404296875,1.0,0.08389943093061447
exact,17,one obstacle,ID,36,-1.590419054031372,0.21071358025074005,0.5309961438179016,0.32788196206092834,0.9996715927750411,0.9677734375,1.0,0.08260922133922577
exact,17,one obstacle,ID,37,-1.590419054031372,0.18794773519039154,0.48025232553482056,0.3084269165992737,0.9992990244757287,0.931640625,0.9999999403953552,0.08222997188568115
exact,17,one obstacle,ID,38,-1.590419054031372,0.22280320525169373,0.5580969452857971,0.33835574984550476,1.0,0.9755859375,1.0,0.08261841535568237
exact,17,one obstacle,ID,39,-1.590419054031372,0.20547562837600708,0.5180225968360901,0.3233685791492462,1.0,0.955078125,1.0,0.08298373967409134
exact,17,one obstacle,ID,40,-1.590419054031372,0.21096573770046234,0.5290444493293762,0.3251568675041199,0.9997357119259994,0.9619140625,1.0,0.08020533621311188
exact,17,one obstacle,ID,41,-1.590419054031372,0.22543635964393616,0.5627615451812744,0.3381667137145996,1.0,0.98046875,1.0,0.08146347105503082
exact,17,one obstacle,ID,42,-1.590419054031372,0.21508567035198212,0.5403689742088318,0.3322269320487976,1.0,0.9716796875,1.0,0.08271156251430511
