model,scenario,category,n_tasks,balanced_brier_mean,balanced_brier_ci95,balanced_brier_q10,balanced_nll_mean,balanced_nll_ci95,balanced_nll_q10,balanced_ece_mean,balanced_ece_ci95,balanced_ece_q10,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,uncertainty_error_auc_q10,credible_confident_fraction_mean,credible_confident_fraction_ci95,credible_confident_fraction_q10,credible_selective_accuracy_mean,credible_selective_accuracy_ci95,credible_selective_accuracy_q10,mean_score_std_mean,mean_score_std_ci95,mean_score_std_q10
exact,180-degree aperture,OOD aperture,192,0.07686583451383437,0.0021770104153688748,0.05525160618126392,0.27316447370685637,0.009725399440538511,0.18225153982639314,0.09100452620380868,0.003114765833321925,0.05944765880703926,0.8774462902135959,0.004719059419099638,0.8355816325010339,0.7512613932291666,0.0036230918001122527,0.72275390625,0.9136384188507994,0.006087531880763271,0.8577282726764679,0.07211341243237257,0.00017963974278982145,0.07048777639865875
exact,30% noise,OOD noise,192,0.04352161847054958,0.0014480964862078484,0.030180799029767513,0.1695428566696743,0.007150682663033891,0.1039197050035,0.05339948989179296,0.0018287042786402563,0.035360677540302275,0.9260398070765578,0.0027854682662285584,0.9019410740121627,0.8657430013020834,0.0018692222941149059,0.849609375,0.953140251028041,0.0027371980487425934,0.9278756737709045,0.06343449708462383,0.00015459832867703455,0.06206252612173557
exact,four obstacles,ID,192,0.022366907083778642,0.0006972023825032503,0.016058866493403913,0.08241638805096348,0.002217477109934721,0.06378070488572121,0.033634371740239054,0.002164751629316507,0.018716842867434025,0.9696809274018308,0.0013040772065041528,0.9569998345623899,0.8879954020182291,0.002262367526756384,0.86826171875,0.9953109680985411,0.0006384085882092153,0.9888938307762146,0.0591233994346112,0.00013081543299120962,0.0579715222120285
exact,heteroscedastic noise,OOD noise,192,0.023354615026619285,0.001017886855865205,0.01422746265307069,0.08352087127665679,0.002872107485548108,0.059344065561890605,0.032536563250080995,0.0009423753290064888,0.023777034133672714,0.9609809550537779,0.0018391786094973446,0.9459831630787513,0.8792266845703125,0.0029144755823126145,0.8544921875,0.9892255564530691,0.0012891056329890206,0.9770931482315064,0.06504323981547107,0.00012876038633167892,0.06398010924458504
exact,mirrored kites,lsmlab-inspired,192,0.019834708645551775,0.0007378079169778884,0.012391035445034504,0.07272985789071147,0.0022299417800390633,0.05181654244661331,0.027061699724678572,0.0006492446510417665,0.021370791271328925,0.9632495362382315,0.0019737697195336638,0.9457941309257197,0.9041188557942709,0.0024599134413317058,0.8828125,0.987821655968825,0.0012854172890654665,0.9757301807403564,0.06669033194581668,0.00013258970851161818,0.06554225385189057
exact,one obstacle,ID,192,0.11523591921043892,0.009352442996935986,0.06224300116300583,0.3412171521534522,0.018526696853796706,0.23156530559062957,0.24333890876732767,0.008356351993589205,0.18919412195682525,0.9458289869684445,0.02156324680328233,0.5489043404972616,0.8010406494140625,0.019632196147179596,0.6244140625,0.9999999941016237,2.5241671772551954e-09,1.0,0.08263133481765787,0.00010900368101752377,0.08156877756118774
exact,six obstacles,OOD count,192,0.05538393750127094,0.0018648154729396327,0.038365674763917924,0.1855917318025604,0.005606494454898667,0.1351112499833107,0.046435464901151136,0.0023123093265285362,0.026528873667120933,0.9402268984270553,0.0016277941314611288,0.9264593776106934,0.8276621500651041,0.0027958507093928473,0.8046875,0.9776152223348618,0.0025907643645800456,0.9541761577129364,0.057491503132041544,0.0001313184040505673,0.056405685096979144
exact,three obstacles,ID,192,0.02207385018603721,0.0007812232345201444,0.015592639055103063,0.08071948479240139,0.0022492734232322344,0.06076788306236267,0.03120366142926893,0.0012673169479812414,0.02127366643399,0.9656179917432732,0.001479768027888313,0.9528822735600614,0.888519287109375,0.002218139741098302,0.86826171875,0.9917864662905534,0.001057519434173596,0.9815936505794525,0.06262604744794469,0.00011531209460172151,0.06164705865085125
exact,three stars,OOD shape,192,0.029033444569601368,0.0009059326657567968,0.019643357954919338,0.1052771625885119,0.003045438144684221,0.0770268127322197,0.031915671133901924,0.0010824765090970592,0.02232772782444954,0.9567778704584811,0.001709101436920073,0.9401873923344242,0.8801371256510416,0.0021128545286521546,0.86142578125,0.984012360063692,0.001663953592043654,0.9669322967529297,0.06273151039689158,0.00011871647824780772,0.061748335137963295
exact,two crescents,OOD shape,192,0.020748663921646465,0.0006716848294517606,0.01465174723416567,0.07895414597199608,0.0023178866419040207,0.05952373556792736,0.02604732172524867,0.0006933630218236916,0.020553483814001083,0.9587907664660188,0.0020615255342969095,0.9398472543552145,0.9097137451171875,0.002896100276066463,0.87802734375,0.983528240583837,0.0012125061258839874,0.972573173046112,0.06655337742995471,0.0001857367782970856,0.06470324620604515
