trained_head,evaluation_cell,seeds,predicted_h_relative_mean,predicted_h_relative_std,realized_h_relative_mean,realized_h_relative_std,mean_absolute_gap_mean,mean_absolute_gap_std
heavy_ball,learned_global_heavy_ball,3,0.011949176085181534,0.000280351967854463,0.011949182177583376,0.0002803515355610737,7.66339519249944e-08,1.6170578994393628e-09
heavy_ball,learned_global_richardson,3,0.06731652468442917,0.0009247728259803296,0.06731668394058943,0.0009247721677131022,2.9806617855380563e-07,2.813970993185894e-09
heavy_ball,oracle_interval_heavy_ball,3,0.010233901014241079,0.0033653257236546975,0.010233603282055507,0.0033652284965797912,3.35136421133105e-07,1.0750600001179284e-07
heavy_ball,oracle_interval_richardson,3,0.007876758405473083,0.00019637010323969066,0.007876625866629183,0.00019636881929109185,1.7429867623282766e-07,1.3724130722992877e-09
identity,learned_global_heavy_ball,3,2.6910588255532944e+21,7.518548394596155e+19,2.691034900180274e+21,7.518484402914522e+19,2.409376222404062e+16,750897668994882.1
identity,learned_global_richardson,3,1.0294077398232967e+21,2.7046164909187207e+19,1.0293986710513908e+21,2.7046054210918818e+19,9130311807926272.0,318261681650153.9
identity,oracle_interval_heavy_ball,3,15.646733244260153,0.10336447621300066,15.646266539891561,0.10336219282293671,0.0004680246371814671,2.8149386964890816e-06
identity,oracle_interval_richardson,3,0.5821956296761831,0.0005373692173141264,0.5821869845191637,0.0005373310109946046,8.693422159922193e-06,3.839966441216117e-08
initial,learned_global_heavy_ball,3,0.012100901260661582,0.00028529596204221913,0.012100908012750248,0.00028529698888059507,7.698275261702747e-08,2.2660677169835937e-09
initial,learned_global_richardson,3,0.06784806648890178,0.0008122385418036209,0.06784822605550289,0.0008122352534405299,2.982472248428773e-07,2.533831475926666e-09
initial,oracle_interval_heavy_ball,3,0.008914202936769774,0.003015939428734899,0.008913946609633664,0.0030158341963682903,2.917693381713586e-07,1.0589173207379648e-07
initial,oracle_interval_richardson,3,0.008014381222892553,0.00023788118751191396,0.008014248354205241,0.00023788687354794826,1.7566744977178436e-07,2.891264872851443e-09
pcg,learned_global_heavy_ball,3,0.012054558067272106,0.00026402654961974777,0.012054566177539527,0.0002640269018532455,7.924961427837236e-08,7.725178312148426e-10
pcg,learned_global_richardson,3,0.06829973434408505,0.0007450421234403164,0.06829990198214848,0.0007450385639479007,3.0351859929093433e-07,5.1288993179055016e-09
pcg,oracle_interval_heavy_ball,3,0.009313648760629198,0.0038142475230092824,0.009313360690915337,0.0038140458021639952,3.2753865397694426e-07,1.9974118989461543e-07
pcg,oracle_interval_richardson,3,0.007889117541102072,0.00016586813523411712,0.00788899171554173,0.00016587145475460374,1.720244853231634e-07,3.1045759685343258e-09
richardson,learned_global_heavy_ball,3,0.011972183594480157,0.00019490949226326729,0.011972188988390068,0.00019490949460241485,7.731226088954675e-08,1.8630236599371084e-09
richardson,learned_global_richardson,3,0.0674510629226764,0.0006346821001969458,0.0674512255936861,0.0006346906208977527,2.9799495374997303e-07,6.611066639100229e-09
richardson,oracle_interval_heavy_ball,3,0.009016484546009451,0.0017856759730693205,0.009016214792306224,0.001785564415221076,3.0937449994420757e-07,1.1215819244915157e-07
richardson,oracle_interval_richardson,3,0.00769515399588272,4.64366128014351e-05,0.007695024639057617,4.6432085168712854e-05,1.7279615012929148e-07,4.420846908672103e-09
