seed,trained_head,evaluation_cell,predicted_h_relative,realized_h_relative,mean_absolute_gap
0,heavy_ball,learned_global_heavy_ball,0.01158545957878232,0.011585462954826653,7.489905939905839e-08
0,heavy_ball,learned_global_richardson,0.0663636066019535,0.06636376865208149,2.990913117173477e-07
0,heavy_ball,oracle_interval_heavy_ball,0.011356865579728037,0.011356460803654045,4.368597039672295e-07
0,heavy_ball,oracle_interval_richardson,0.007798986276611686,0.007798851351253688,1.7453509570941605e-07
0,identity,learned_global_heavy_ball,2.5881967156172685e+21,2.588173898551969e+21,2.3149099557584896e+16
0,identity,learned_global_richardson,9.959213068908516e+20,9.959126075548526e+20,8801692317384704.0
0,identity,oracle_interval_heavy_ball,15.78359341621399,15.783124089241028,0.00047098057984840125
0,identity,oracle_interval_richardson,0.582310676574707,0.5823020115494728,8.70896553806233e-06
0,initial,learned_global_heavy_ball,0.011697822948917747,0.011697828653268516,7.565898485495381e-08
0,initial,learned_global_richardson,0.066751254722476,0.06675142049789429,2.96521648124326e-07
0,initial,oracle_interval_heavy_ball,0.006128483626525849,0.006128317967522889,1.9707398024593203e-07
0,initial,oracle_interval_richardson,0.0076797124347649515,0.007679571572225541,1.7974567079193093e-07
0,pcg,learned_global_heavy_ball,0.011681335745379329,0.011681343661621213,7.851541639070092e-08
0,pcg,learned_global_richardson,0.06735055614262819,0.06735072936862707,3.067293619096745e-07
0,pcg,oracle_interval_heavy_ball,0.014669490687083453,0.014668916061054915,6.099632727796234e-07
0,pcg,oracle_interval_richardson,0.007696919492445886,0.007696788525208831,1.7633329818522725e-07
0,richardson,learned_global_heavy_ball,0.011700771865434945,0.011700775707140565,7.539939161915754e-08
0,richardson,learned_global_richardson,0.06656815018504858,0.06656830385327339,2.956165303658054e-07
0,richardson,oracle_interval_heavy_ball,0.011482851055916399,0.011482429632451385,4.604999546131694e-07
0,richardson,oracle_interval_richardson,0.007755682221613824,0.007755547063425183,1.760084007429441e-07
1,heavy_ball,learned_global_heavy_ball,0.012267703888937831,0.012267704587429762,7.621107833699625e-08
1,heavy_ball,learned_global_richardson,0.06856872048228979,0.06856887973845005,3.008836984008667e-07
1,heavy_ball,oracle_interval_heavy_ball,0.013677707582246512,0.01367736334213987,3.8212972519602317e-07
