seed,trained_head,evaluation_cell,depth,setup_block_rounds,setup_scalar_hvp_equivalents,h_relative,coefficient_mse,query_relative
0,heavy_ball,learned_global_heavy_ball,4,2,6,0.011585462954826653,0.07557476870715618,0.009693151646122796
0,heavy_ball,learned_global_richardson,4,2,6,0.06636376865208149,0.16552510298788548,0.06502569527756945
0,heavy_ball,oracle_interval_chebyshev,4,2,6,0.0019462031777948141,0.00600907375337556,0.001230665018471752
0,heavy_ball,oracle_interval_heavy_ball,4,2,6,0.011356460803654045,0.020575281814672053,0.006742012170310344
0,heavy_ball,oracle_interval_richardson,4,2,6,0.007798851351253688,0.020269654225558043,0.006079332236225819
0,heavy_ball,pcg,4,2,6,0.00010166035281145014,0.0014225961203919724,8.716165406722237e-05
0,identity,learned_global_heavy_ball,4,0,0,2.588173898551969e+21,3.9017840049891626e+20,2.1820357383067677e+21
0,identity,learned_global_richardson,4,0,0,9.959126075548526e+20,1.5014428312095162e+20,8.396715220244103e+20
0,identity,oracle_interval_chebyshev,4,0,0,0.5439909994602203,0.5949684083461761,0.479630913909159
0,identity,oracle_interval_heavy_ball,4,0,0,15.783124089241028,3.04717555642128,15.225181497788826
0,identity,oracle_interval_richardson,4,0,0,0.5823020115494728,0.681590162217617,0.5064500353062239
0,identity,pcg,4,0,0,0.0022061711933929473,0.024922176962718368,0.0014750485980750015
0,identity,pcg_equal_block_work,6,0,0,0.0003624587734520901,0.004412008973304182,0.00026387706946523796
0,identity,pcg_equal_scalar_work,10,0,0,2.4666218791935535e-06,3.560863160601002e-05,2.2097861773032824e-06
0,initial,learned_global_heavy_ball,4,2,6,0.011697828653268516,0.07670243550091982,0.009903569101317488
0,initial,learned_global_richardson,4,2,6,0.06675142049789429,0.16675695590674877,0.06525008900924775
0,initial,oracle_interval_chebyshev,4,2,6,0.001790215988876298,0.006350595969706774,0.0011361979289247596
0,initial,oracle_interval_heavy_ball,4,2,6,0.006128317967522889,0.019482179544866085,0.005295167139843634
0,initial,oracle_interval_richardson,4,2,6,0.007679571572225541,0.020908662118017673,0.005818783624176592
0,initial,pcg,4,2,6,0.00010427536653878633,0.001609320315765217,0.00010418950128073556
0,pcg,learned_global_heavy_ball,4,2,6,0.011681343661621213,0.07628717552870512,0.01010280993274523
0,pcg,learned_global_richardson,4,2,6,0.06735072936862707,0.16646131873130798,0.06663287479571911
0,pcg,oracle_interval_chebyshev,4,2,6,0.001938980582053773,0.005970212165266275,0.0012486435309490651
0,pcg,oracle_interval_heavy_ball,4,2,6,0.014668916061054915,0.01547040871810168,0.011388712384123565
0,pcg,oracle_interval_richardson,4,2,6,0.007696788525208831,0.02041332656517625,0.005877419060806178
0,pcg,pcg,4,2,6,0.00010757169093267294,0.0014689132513012737,8.887973532702273e-05
0,richardson,learned_global_heavy_ball,4,2,6,0.011700775707140565,0.07545394077897072,0.009370516932908433
0,richardson,learned_global_richardson,4,2,6,0.06656830385327339,0.16541423089802265,0.06434991026310458
0,richardson,oracle_interval_chebyshev,4,2,6,0.0018995189457200468,0.005913408589549363,0.0014876927681824466
0,richardson,oracle_interval_heavy_ball,4,2,6,0.011482429632451385,0.014877588022500277,0.011866490351043563
0,richardson,oracle_interval_richardson,4,2,6,0.007755547063425183,0.019895116332918406,0.006003794188246597
0,richardson,pcg,4,2,6,0.00011218567578907823,0.001487271671066992,8.279310733252467e-05
1,heavy_ball,learned_global_heavy_ball,4,2,6,0.012267704587429762,0.0770665816962719,0.01075258930491179
1,heavy_ball,learned_global_richardson,4,2,6,0.06856887973845005,0.16807646304368973,0.0675659146170796
1,heavy_ball,oracle_interval_chebyshev,4,2,6,0.002180224735639058,0.006187885126564652,0.0012570909665717597
