group,n_runs,leap_layer_idx,mean_minima_per_component,std_minima_per_component,q25,q50,q75,n_components
L6_R15,1,13,3.796875,4.043434831226417,0.0,3.0,6.0,128
L6_R15,1,14,5.0,0.0,5.0,5.0,5.0,1
L6_R20,1,1,0.0,0.0,0.0,0.0,0.0,128
L6_R20,1,2,0.1,0.30000000000000004,0.0,0.0,0.0,20
L6_R20,1,3,0.1171875,0.3877235998024237,0.0,0.0,0.0,128
L6_R20,1,4,0.35,0.4769696007084729,0.0,0.0,1.0,20
L6_R20,1,5,0.3125,0.7153451963912248,0.0,0.0,0.0,128
L6_R20,1,6,1.1,1.4106735979665885,0.0,0.5,2.0,20
L6_R20,1,7,0.5234375,1.1385629906130579,0.0,0.0,1.0,128
L6_R20,1,8,0.85,1.061838029079765,0.0,0.5,1.25,20
L6_R20,1,9,0.703125,1.4809170248109784,0.0,0.0,1.0,128
L6_R20,1,10,1.2,1.7492855684535902,0.0,0.0,1.5,20
L6_R20,1,11,1.703125,2.0967213058427676,0.0,1.0,2.0,128
L6_R20,1,12,3.4,3.8522720568516444,0.0,2.5,5.0,20
L6_R20,1,13,3.1484375,3.1624996140068933,0.0,2.0,4.0,128
L6_R20,1,14,3.0,0.0,3.0,3.0,3.0,1
L6_R30,1,1,0.0,0.0,0.0,0.0,0.0,128
L6_R30,1,2,0.13333333333333333,0.5617433182117572,0.0,0.0,0.0,30
L6_R30,1,3,0.125,0.39528470752104744,0.0,0.0,0.0,128
L6_R30,1,4,0.2,0.4000000000000001,0.0,0.0,0.0,30
L6_R30,1,5,0.3203125,0.7493079489393863,0.0,0.0,0.0,128
L6_R30,1,6,0.4,0.6110100926607788,0.0,0.0,1.0,30
L6_R30,1,7,0.296875,0.7640289486498532,0.0,0.0,0.0,128
L6_R30,1,8,0.8666666666666667,1.1175369742826806,0.0,0.5,1.0,30
L6_R30,1,9,0.984375,1.5102999236492731,0.0,0.0,2.0,128
L6_R30,1,10,2.033333333333333,2.1367160680716455,0.0,1.5,3.0,30
L6_R30,1,11,2.3984375,2.9430528467211983,0.0,1.0,4.0,128
L6_R30,1,12,5.166666666666667,6.105098051810652,0.0,3.5,6.75,30
L6_R30,1,13,4.0234375,4.701171469282284,0.0,2.0,6.0,128
L6_R30,1,14,3.0,0.0,3.0,3.0,3.0,1
L6_R36,1,1,0.0,0.0,0.0,0.0,0.0,128
L6_R36,1,2,0.08333333333333333,0.27638539919628335,0.0,0.0,0.0,36
L6_R36,1,3,0.28125,2.21478518992249,0.0,0.0,0.0,128
L6_R36,1,4,0.1388888888888889,0.4185144214810935,0.0,0.0,0.0,36
L6_R36,1,5,0.3203125,0.7388080957486525,0.0,0.0,0.0,128
L6_R36,1,6,0.3611111111111111,0.6730023021992065,0.0,0.0,0.25,36
L6_R36,1,7,0.25,0.673145600891813,0.0,0.0,0.0,128
L6_R36,1,8,0.4166666666666667,0.8936504412303007,0.0,0.0,0.0,36
L6_R36,1,9,0.5546875,1.1646391189307312,0.0,0.0,1.0,128
L6_R36,1,10,1.6388888888888888,1.974177434581268,0.0,1.0,2.25,36
L6_R36,1,11,1.375,2.03100960115899,0.0,0.0,2.0,128
L6_R36,1,12,3.0833333333333335,3.781350434846142,0.0,2.0,4.0,36
L6_R36,1,13,3.3359375,3.9946787725790607,0.0,2.0,6.0,128
L6_R36,1,14,2.0,0.0,2.0,2.0,2.0,1
L6_R5,1,1,0.0,0.0,0.0,0.0,0.0,128
L6_R5,1,2,0.0,0.0,0.0,0.0,0.0,5
L6_R5,1,3,0.0390625,0.19374369949433196,0.0,0.0,0.0,128
L6_R5,1,4,0.0,0.0,0.0,0.0,0.0,5
L6_R5,1,5,0.34375,0.939061200082295,0.0,0.0,0.0,128
L6_R5,1,6,0.8,0.9797958971132713,0.0,0.0,2.0,5
L6_R5,1,7,0.671875,1.6303248094704932,0.0,0.0,1.0,128
L6_R5,1,8,2.4,2.0591260281974,0.0,3.0,4.0,5
L6_R5,1,9,2.078125,2.3933807646037017,0.0,1.0,3.0,128
L6_R5,1,10,2.4,1.8547236990991407,1.0,2.0,4.0,5
L6_R5,1,11,4.21875,3.5287601841865084,2.0,3.5,6.0,128
L6_R5,1,12,8.6,6.053098380168622,2.0,10.0,11.0,5
L6_R5,1,13,6.5078125,4.407018716189409,3.0,6.0,9.0,128
L6_R5,1,14,11.0,0.0,11.0,11.0,11.0,1
L6_R50,1,1,0.0,0.0,0.0,0.0,0.0,128
L6_R50,1,2,0.06,0.23748684174075835,0.0,0.0,0.0,50
L6_R50,1,3,0.0546875,0.33793013677940886,0.0,0.0,0.0,128
L6_R50,1,4,0.24,0.5499090833947008,0.0,0.0,0.0,50
L6_R50,1,5,0.21875,0.46666201634587745,0.0,0.0,0.0,128
L6_R50,1,6,0.54,1.299384469662463,0.0,0.0,0.0,50
L6_R50,1,7,0.296875,0.7432968682666435,0.0,0.0,0.0,128
L6_R50,1,8,0.74,1.0919706955774957,0.0,0.0,1.0,50
L6_R50,1,9,0.65625,1.2896068926227093,0.0,0.0,1.0,128
L6_R50,1,10,1.48,2.475802900071005,0.0,1.0,2.0,50
L6_R50,1,11,1.3828125,2.004374488423695,0.0,0.0,2.0,128
L6_R50,1,12,4.44,4.3733739835509144,1.0,3.0,6.0,50
L6_R50,1,13,3.59375,3.8026255321159352,1.0,2.0,6.0,128
L6_R50,1,14,8.0,0.0,8.0,8.0,8.0,1
