seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
17,identity-CG,0,0,12,144,6,2,11.359021099633537,43.5849609375,687744
17,identity-CG,0,0,24,576,6,2,11.443257352220826,45.10595703125,2792448
17,exact,0,0,12,144,6,2,10.680163800134324,43.259765625,687744
17,exact,0,0,24,576,6,2,9.874037400004454,44.458984375,2792448
17,population-PCG,128,83715,12,144,6,2,16.546485549770296,80.1982421875,687744
17,population-PCG,128,83715,24,576,6,2,17.139636402134784,81.71923828125,2792448
17,looped-HB,128,83715,12,144,6,2,16.343343601329252,82.443359375,687744
17,looped-HB,128,83715,24,576,6,2,16.845341899897903,83.95166015625,2792448
