L,n,r,m,max_abs_ntk_difference,relative_difference
1,64,64,8,4.440892098500626e-16,6.482763326395782e-17
2,64,64,8,8.881784197001252e-16,1.216360869584014e-16
3,64,64,8,8.881784197001252e-16,1.3915935417436698e-16
4,64,64,8,1.7763568394002505e-15,1.1686807480223254e-16
5,64,64,8,3.552713678800501e-15,2.1932389136550136e-16
6,64,64,8,2.220446049250313e-15,3.171278704121245e-16
8,64,64,8,2.6645352591003757e-15,1.914679361150675e-16
