n,r,L,m,reps,epsilon,median_op_fluctuation,mean_op_fluctuation,scale_L32_sqrt_m_eps,median_ratio,mean_ratio
64,4,1,8,50,0.24650523088023088,10.508210734382892,13.019380947033351,1.4042940742742764,7.482913249358699,9.271121473443248
64,4,2,8,50,0.24650523088023088,17.946288898779514,25.900232417416618,3.9719434507977045,4.518263948389113,6.520795861838101
64,4,3,8,50,0.24650523088023088,17.304622562705788,25.140797715248123,7.296926056232849,2.3714948499340514,3.445395707932862
64,4,4,8,50,0.24650523088023088,13.677428017279349,20.408236331857953,11.234352594194212,1.2174647272818988,1.8165921142981307
64,4,5,8,50,0.24650523088023088,24.468238461320446,36.15383099518881,15.700485052387105,1.5584383781570041,2.302720640448747
64,4,6,8,50,0.24650523088023088,23.11117941996254,37.86093276737649,20.63882358471623,1.1197915096806765,1.834452075815689
64,4,8,8,50,0.24650523088023088,17.82753248454504,29.625472020290594,31.775547606381636,0.5610456413020133,0.9323355300520696
64,8,1,8,50,0.12336910774410774,8.24693067997875,9.244670088220325,0.9934550125460447,8.30126233783185,9.305574959582634
64,8,2,8,50,0.12336910774410774,13.460532611875392,16.032270750322684,2.8099151047002997,4.790369854718819,5.705606807659286
64,8,3,8,50,0.12336910774410774,13.55921983796631,16.322849174775566,5.162143670291178,2.62666456108175,3.1620292299719845
64,8,4,8,50,0.12336910774410774,16.44815073348967,21.919016686477622,7.947640100368358,2.069564112839902,2.7579276879260948
64,8,5,8,50,0.12336910774410774,19.041710276539792,28.206496097450408,11.107164703204313,1.7143628266398567,2.5394866152757327
64,8,6,8,50,0.12336910774410774,25.975159642086155,34.28735610869402,14.60074717888842,1.779029478686151,2.348328868968497
64,8,8,8,50,0.12336910774410774,21.66653793698781,32.79269883054867,22.479320837602398,0.9638430846516057,1.4587940208449055
64,16,1,8,50,0.061801046176046176,6.924592871323149,7.564992266975654,0.7031417847122794,9.848074772226264,10.758843282327753
64,16,2,8,50,0.061801046176046176,12.140596153700079,14.100009514700828,1.9887852964226571,6.104528314613986,7.089759533149873
64,16,3,8,50,0.061801046176046176,16.42929529817824,17.05979900303666,3.6536318881389755,4.496702404944991,4.6692714332877925
64,16,4,8,50,0.061801046176046176,18.051975482201193,22.398711167479032,5.625134277698235,3.209163477887311,3.9818980422000565
64,16,5,8,50,0.061801046176046176,20.590633131429275,26.148177691372265,7.861364142185896,2.6192188479013687,3.3261628921442656
64,16,6,8,50,0.061801046176046176,26.253927993993017,33.16919589158914,10.334031536249917,2.5405310504326386,3.2097053096110253
64,16,8,8,50,0.061801046176046176,25.07180275886511,34.97670701878824,15.910282371381257,1.5758238712320536,2.1983712295202795
64,32,1,8,50,0.031017015392015394,5.766511268337123,6.144840849168993,0.49813263608814384,11.576256704683663,12.33575237596292
64,32,2,8,50,0.031017015392015394,9.296528673478491,10.430995783440332,1.4089318596330291,6.598281251088941,7.403477827634044
64,32,3,8,50,0.031017015392015394,12.445205540143025,13.59336319376695,2.5883731038386495,4.808118861104816,5.251701608862922
64,32,4,8,50,0.031017015392015394,11.076722069037931,13.633864784401231,3.9850610887051507,2.7795614226423426,3.4212436098015315
64,32,5,8,50,0.031017015392015394,17.27564633517933,22.605236735552275,5.569292180521273,3.101946490723058,4.058906590430756
64,32,6,8,50,0.031017015392015394,24.019242735256455,30.825299906802098,7.321024695860724,3.280858040109717,4.2105171321482615
64,32,8,8,50,0.031017015392015394,22.66395569084397,30.119026700006575,11.271454877064233,2.010739158168642,2.6721507585763753
64,64,1,8,50,0.015625,4.846655458563875,5.246422276340008,0.3535533905932738,13.708411763301248,14.83912307427273
64,64,2,8,50,0.015625,7.971646040302177,8.711808780227694,1.0000000000000002,7.971646040302176,8.711808780227692
64,64,3,8,50,0.015625,10.484574984452818,11.574982450537577,1.8371173070873839,5.707079751524061,6.300622396774908
64,64,4,8,50,0.015625,11.125580571027239,12.871693917764667,2.8284271247461903,3.933486733205331,4.550831027304517
64,64,5,8,50,0.015625,14.417310407240894,17.68699683334459,3.9528470752104745,3.647323089642476,4.474495596924357
64,64,6,8,50,0.015625,19.09085938165299,24.42026057886488,5.196152422706632,3.6740376010195486,4.699681339629482
64,64,8,8,50,0.015625,18.202342000520247,21.538763515292217,8.000000000000002,2.2752927500650304,2.6923454394115267
