seed,design,index,angle_degrees
17,learned,0,48.06503677368164
17,learned,1,79.12198638916016
17,learned,2,163.32229614257812
17,learned,3,193.19532775878906
17,learned,4,274.4493408203125
17,learned,5,306.1705322265625
17,uniform,0,0.0
17,uniform,1,59.999996185302734
17,uniform,2,119.99999237060547
17,uniform,3,180.0
17,uniform,4,239.99998474121094
17,uniform,5,299.9999694824219
17,random,0,68.10572052001953
17,random,1,72.97628784179688
17,random,2,160.04818725585938
17,random,3,180.1322021484375
17,random,4,254.0806884765625
17,random,5,273.91424560546875
29,learned,0,23.312307357788086
29,learned,1,65.43074035644531
29,learned,2,92.83482360839844
29,learned,3,92.97260284423828
29,learned,4,353.1724853515625
29,learned,5,358.07147216796875
29,uniform,0,0.0
29,uniform,1,59.999996185302734
29,uniform,2,119.99999237060547
29,uniform,3,180.0
29,uniform,4,239.99998474121094
29,uniform,5,299.9999694824219
29,random,0,14.500239372253418
29,random,1,27.99696922302246
29,random,2,126.66880798339844
29,random,3,178.42701721191406
29,random,4,201.77142333984375
29,random,5,345.96588134765625
43,learned,0,1.5599058866500854
43,learned,1,47.14427947998047
43,learned,2,164.64523315429688
43,learned,3,164.88250732421875
43,learned,4,194.06871032714844
43,learned,5,314.8739929199219
43,uniform,0,0.0
43,uniform,1,59.999996185302734
43,uniform,2,119.99999237060547
43,uniform,3,180.0
43,uniform,4,239.99998474121094
43,uniform,5,299.9999694824219
43,random,0,25.397401809692383
43,random,1,119.0766372680664
43,random,2,168.2270050048828
43,random,3,171.8280792236328
43,random,4,305.0731201171875
43,random,5,324.4624938964844
