method,family,noise_rel,n_tasks,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,iou_top7_mean,iou_top7_ci95,centroid_error_mean,centroid_error_ci95,relative_residual_mean,relative_residual_ci95
learned_design_exact,ellipse,0.12,576,0.9894643303139661,0.0009677889807203277,0.9098695188718816,0.006278821373186469,0.6387736216494562,0.010383475500145498,0.02575767402191155,0.001853022309650847,4.849528276235699e-06,9.898053534321808e-08
learned_design_exact,kite,0.12,576,0.9899310318292626,0.000779761858350475,0.9098516731397479,0.005426208640572618,0.6358482917264673,0.009725395212390707,0.02707851417198981,0.0017537110265607148,4.902523279979063e-06,9.836843340766517e-08
learned_design_exact,two_disks,0.12,576,0.984709603436785,0.001045966802518494,0.8221470784560894,0.007370337547783231,0.5570344728741873,0.00905831987373649,0.030398749897964688,0.002419072258973046,4.7710594996728005e-06,8.794089174713049e-08
learned_design_loop,ellipse,0.12,576,0.9894647377128215,0.000967849187172681,0.9098742553957712,0.006279424327973195,0.6388057678017296,0.010386410074239405,0.02578636286731732,0.001857142825764067,0.0003450851690479774,5.691572665804362e-05
learned_design_loop,kite,0.12,576,0.9899315311351692,0.0007797008072968685,0.9098572364585904,0.005425630951757634,0.6358482917264673,0.009725395212390707,0.027096349705870024,0.0017530387897833548,0.00034838418338593396,4.853056361509819e-05
learned_design_loop,two_disks,0.12,576,0.9847099213459293,0.0010459444748723886,0.8221510483201908,0.007370120401784406,0.5570720104117249,0.00905980809111924,0.030385269374770967,0.0024197563529659125,0.00019467473843280835,3.834619135326282e-05
random_design_exact,ellipse,0.12,576,0.9711042758274835,0.002268055671763086,0.8188235263416401,0.009311621375329407,0.5256689715105085,0.011046890241067212,0.06796594186966508,0.005896121536012798,4.077411714339026e-06,8.23917674232162e-08
random_design_exact,kite,0.12,576,0.9740552077052246,0.001860055040996168,0.8263197128519564,0.00864676172361935,0.5414292204285878,0.011028416186814936,0.06729965615492499,0.005948700888764478,4.032972225016036e-06,7.857204458204644e-08
random_design_exact,two_disks,0.12,576,0.9706058020687249,0.00202143382016994,0.757393112516344,0.01150945980724124,0.4811495784019189,0.010884844732767702,0.06704429964641652,0.00548390465612871,4.140782775231679e-06,8.00831424905749e-08
random_design_loop,ellipse,0.12,576,0.9711044794791728,0.002268076222771163,0.8188235059306282,0.009312238737990261,0.5257035864920533,0.011047645370939685,0.06797799500762064,0.005898885220984429,0.0001795919209859578,1.9484182589724287e-05
random_design_loop,kite,0.12,576,0.97405488981994,0.0018600610773066907,0.8263134096488147,0.008646691092161034,0.5414611042160706,0.011032163741588316,0.0672938463383414,0.005948736006569681,0.00018749391398702956,1.825981777592308e-05
random_design_loop,two_disks,0.12,576,0.9706062195705142,0.002021466406485558,0.7574011923238082,0.011510103549865236,0.4811746012799789,0.010882793669829947,0.06706077983916556,0.005485296870837649,0.00011341935151973657,2.2269988227273586e-05
uniform_design_exact,ellipse,0.12,576,0.8888607085731112,0.0032680636374973504,0.26034191481760816,0.00183713209817362,0.1558671118633135,0.0027610010670159847,0.378448300506635,0.008894920555426657,3.106556786924841e-06,9.128312173650407e-08
uniform_design_exact,kite,0.12,576,0.8906520762771348,0.003302311156695528,0.26261054709255793,0.001827116721594219,0.15766930110437358,0.0028706301001875946,0.37690424500356634,0.009116619265057706,3.0551476018677213e-06,1.0198656388501702e-07
uniform_design_exact,two_disks,0.12,576,0.9011244340926109,0.0016264350933830954,0.24393262291022566,0.001898977352378941,0.16318217295705678,0.0018387189044577832,0.3486592650701318,0.00964665582867544,3.1790097949624396e-06,5.756381998533726e-08
uniform_design_loop,ellipse,0.12,576,0.8888611531307082,0.0032681261221991654,0.260368231774376,0.0018378938728789457,0.15587114336195962,0.0027632430249578633,0.3784453348133765,0.008894722161788115,6.798783571065275e-05,7.745615898399424e-06
uniform_design_loop,kite,0.12,576,0.8906522961757682,0.0033023322892473065,0.26261229346885884,0.0018269524076082286,0.15766930110437358,0.0028706301001875946,0.37689720084179296,0.009116285405433834,9.828658449611499e-05,1.1211528763092559e-05
uniform_design_loop,two_disks,0.12,576,0.9011245247520147,0.0016264346018598998,0.2439330895236274,0.0018989968014432254,0.16318217295705678,0.0018387189044577832,0.3486592650701318,0.00964665582867544,1.1859583242716335e-05,1.5137218765392423e-06
