seed,step,loss,ranking_loss,repulsion,relative_residual,gradient_norm,minimum_gap_degrees,elapsed_seconds
17.0,0.0,0.47130855917930603,0.4672638475894928,4.044704914093018,0.0009001910802908242,0.40324434638023376,7.16239595413208,0.23699398298049346
17.0,50.0,0.41560712456703186,0.412407785654068,3.199324607849121,0.0005039586685597897,0.0328802689909935,29.46476173400879,1.287573079986032
17.0,100.0,0.4156383275985718,0.41247814893722534,3.1601762771606445,0.00037122517824172974,0.045018989592790604,27.54107093811035,2.408813198970165
17.0,150.0,0.4108980894088745,0.4079190790653229,2.9790103435516357,0.00017247244250029325,0.06596590578556061,29.78993034362793,3.546494558977429
17.0,200.0,0.41690436005592346,0.4137490689754486,3.1553001403808594,0.00013877273886464536,0.06696970760822296,27.697599411010742,4.6814108749968
17.0,250.0,0.41321882605552673,0.4101933538913727,3.025482654571533,0.00022307164908852428,0.02689790539443493,29.26901626586914,5.814895614981651
17.0,300.0,0.41591671109199524,0.41287219524383545,3.0445139408111572,0.00011315791925881058,0.09855189919471741,28.219135284423828,6.949628764996305
17.0,350.0,0.41990146040916443,0.416990727186203,2.910747766494751,0.00026062983670271933,0.09055686742067337,30.917150497436523,8.081815287005156
17.0,400.0,0.4317115843296051,0.4287452697753906,2.966322183609009,0.0002663172781467438,0.030578291043639183,30.35519027709961,9.214906666020397
17.0,450.0,0.42436403036117554,0.42136844992637634,2.9955923557281494,9.824906010180712e-05,0.06353110074996948,30.40789222717285,10.349185143015347
17.0,500.0,0.42884618043899536,0.4258350133895874,3.011152744293213,0.0006125094369053841,0.058740608394145966,29.96881866455078,11.4848969670129
17.0,550.0,0.43876734375953674,0.4355713725090027,3.195979356765747,0.0004341048188507557,0.1250150054693222,25.969160079956055,12.624878271017224
17.0,600.0,0.4104865491390228,0.4074808955192566,3.0056657791137695,0.00026269792579114437,0.03753024339675903,29.049787521362305,13.757245832006447
17.0,650.0,0.4203023612499237,0.41741451621055603,2.887842893600464,0.0002692367706913501,0.04271974042057991,31.84012794494629,14.890398730000015
17.0,700.0,0.4135773181915283,0.4105275869369507,3.0497307777404785,0.00016149385191965848,0.04121942073106766,29.075349807739258,16.02214986598119
17.0,750.0,0.41852235794067383,0.4154090881347656,3.1132559776306152,0.00017038205987773836,0.03891490399837494,27.63441276550293,17.154494580987375
17.0,800.0,0.4103909730911255,0.40745893120765686,2.9320380687713623,0.00022917489695828408,0.043997835367918015,30.53037452697754,18.286800757981837
17.0,850.0,0.4225347638130188,0.41959652304649353,2.9382550716400146,0.00038830627454444766,0.026528455317020416,30.611719131469727,19.420254604017828
17.0,900.0,0.4121534824371338,0.40916794538497925,2.9855332374572754,0.00023981781851034611,0.04119103029370308,29.87302017211914,20.553449251980055
29.0,0.0,0.45911791920661926,0.45462244749069214,4.495481491088867,9.609568951418623e-05,0.14358675479888916,15.788562774658203,0.015428033017087728
