name,factor,rank,N,bs,L,final_train_error,final_test_error,min_loss,epochs_run,output_even_defect,last_layer_active_even_mean,mean_layer_active_even,mean_minima,mirror_distance_p20,mirror_mismatch_best20,mirror_corr_best20
rank5_f1_N256_bs2_L2,1,5,256,2,2,3.7527446715479584e-05,3.6046840250492096e-05,3.752334019835324e-05,1498,6.680950900772586e-05,0.046040166169404984,1.613322550430894,0.1,0.015865826234221458,0.8576810379438684,0.15020030982304897
rank5_f1_N256_bs4_L2,1,5,256,4,2,4.5259181732149045e-05,4.275942774256691e-05,4.5257470436155245e-05,1500,6.588418909814209e-05,0.10420957952737808,1.614847857505083,0.5,0.015865826234221458,0.8118181227705835,0.1990565749198597
rank5_f1_N256_bs1_L2,1,5,256,1,2,0.0001032262944278663,9.143767965724692e-05,0.0001022661389625569,450,3.220686994609423e-05,0.0041558523662388325,1.7524298320058733,0.0,0.015865826234221458,0.9657584506431397,0.0334139815664252
rank5_f1_N128_bs2_L2,1,5,128,2,2,0.00011302139752067397,9.36403448577039e-05,0.00011300900552857485,808,3.316959191579372e-05,0.4250697195529938,1.6934686452150345,1.0,0.015865826234221458,0.863745706782772,0.1441855429004816
rank5_f1_N256_bs4_L1,1,5,256,4,1,0.00011690147793785854,0.00011081447155447677,0.000116888106994395,953,0.0001906700199469924,2.0240261554718018,2.0240261554718018,0.4,0.0184760931879282,0.7911608276147547,0.22080597106521827
rank5_f1_N256_bs2_L1,1,5,256,2,1,0.00011859839485497958,0.00011445453128544614,0.00011859579461148684,991,0.0001233086222782731,2.011814594268799,2.011814594268799,0.2,0.0184760931879282,0.7777726083113503,0.239832803143953
rank5_f1_N256_bs8_L2,1,5,256,8,2,0.00019128963083403505,0.00017898417718242854,0.00019128612504459852,955,7.686596654821187e-05,0.05262470245361328,1.148790955543518,0.2,0.015865826234221458,0.8573436346044799,0.15001523284301585
rank5_f1_N128_bs4_L2,1,5,128,4,2,0.00040619188189339184,0.0003350280749145895,0.00040592751020085416,515,0.0002850301389116794,0.4448185861110687,2.100171133875847,0.7,0.015865826234221458,0.854293050785359,0.15436057165787598
rank5_f1_N256_bs1_L1,1,5,256,1,1,0.0003837462450737156,0.0003517740697134286,0.0003712505699550589,482,0.00012915980187244713,0.6651774644851685,0.6651774644851685,0.0,0.0184760931879282,0.8342265074580539,0.18035562457981202
rank5_f1_N16_bs16_L2,1,5,16,16,2,0.0001165631038020365,0.0003901784657500684,0.0001165631038020365,10000,0.0002557286061346531,0.28025805950164795,1.4599578976631165,0.1,0.015865826234221458,0.8686859720775906,0.13653316704204468
rank5_f1_N128_bs8_L2,1,5,128,8,2,0.0005318594548953115,0.0004424038343131542,0.0005317684331203054,726,0.0002992972149513662,0.26772645115852356,1.247858539223671,0.3,0.015865826234221458,0.867310542131764,0.1392933671292988
rank5_f1_N64_bs2_L2,1,5,64,2,2,0.0009613078613313064,0.0005906072910875082,0.0009519699179989516,477,0.00022668216843158007,0.4767942428588867,1.8753432035446167,1.6,0.015865826234221458,0.8843110537947315,0.1186966312979443
rank5_f1_N128_bs1_L1,1,5,128,1,1,0.0008020005565531063,0.0006329413154162467,0.0007887070528275336,523,0.00015990526298992336,1.8146880865097046,1.8146880865097046,0.0,0.0184760931879282,0.9147421927945912,0.08425112718007405
rank5_f1_N128_bs1_L2,1,5,128,1,2,0.0008575648219480494,0.0006693810573779047,0.0008337740019292734,414,4.202093623462133e-05,0.006483549252152443,1.528798338957131,0.0,0.015865826234221458,0.972440492759722,0.025747219350858004
rank5_f1_N256_bs16_L2,1,5,256,16,2,0.0013909858353144955,0.0013201561523601413,0.001390355497278506,807,0.0003512196126393974,0.023472538217902184,1.5952269984409213,0.2,0.015865826234221458,0.8777785030441554,0.12868133074203852
rank5_f1_N64_bs1_L2,1,5,64,1,2,0.002332925015993137,0.001461541629396379,0.0016752963009740718,432,0.0002671341353561729,0.09487705677747726,1.6795033477246761,0.2,0.015865826234221458,0.9328382023337057,0.07101966263489018
rank5_f1_N256_bs8_L1,1,5,256,8,1,0.0017021927596942987,0.001612154534086585,0.0016974661889435083,596,0.0015768732409924269,2.5628013610839844,2.5628013610839844,0.2,0.0184760931879282,0.8649286176006332,0.13990015730427727
rank5_f1_N64_bs4_L2,1,5,64,4,2,0.0025872094920487143,0.0017849269788712263,0.002577862258931418,502,0.0003020910080522299,0.1989613026380539,1.3652495369315147,1.0,0.015865826234221458,0.8824610812698006,0.12170599828407623
rank5_f1_N256_bs16_L1,1,5,256,16,1,0.002122703972418094,0.0020200598519295454,0.0021224375304882415,931,0.0014080405235290527,2.1722261905670166,2.1722261905670166,0.2,0.0184760931879282,0.8691671191490662,0.1340890423911449
rank5_f1_N128_bs2_L1,1,5,128,2,1,0.002567219088781769,0.002131675835698843,0.0024662156640573585,484,0.001212156261317432,2.642319679260254,2.642319679260254,0.4,0.0184760931879282,0.87924512472289,0.13266753547236226
rank5_f1_N128_bs4_L1,1,5,128,4,1,0.0030770650000704336,0.0026355446316301823,0.003049324440780765,453,0.0015463075833395123,3.060015916824341,3.060015916824341,0.2,0.0184760931879282,0.8627898330872279,0.1437608886675332
rank5_f1_N128_bs16_L2,1,5,128,16,2,0.003124617986031808,0.002795461332425475,0.0031239145318977535,783,0.0009340735268779099,0.12785877287387848,1.6673497632145882,0.2,0.015865826234221458,0.8935225522476403,0.11197500027726894
rank5_f1_N64_bs1_L1,1,5,64,1,1,0.005432007368269931,0.0037459004670381546,0.004977971474094289,477,0.0013725830940529704,2.2422893047332764,2.2422893047332764,0.0,0.0184760931879282,0.9630851229296022,0.034634421444367514
rank5_f1_N64_bs8_L2,1,5,64,8,2,0.0059329412470106035,0.004775749519467354,0.005931749183218926,554,0.0034640980884432793,0.1337023824453354,1.2124704644083977,0.0,0.015865826234221458,0.8886679618142347,0.11493311026767217
rank5_f1_N64_bs2_L1,1,5,64,2,1,0.007094823059659916,0.005150995682924986,0.0067850021205231315,443,0.0045998613350093365,2.0533030033111572,2.0533030033111572,0.4,0.0184760931879282,0.8729116033917741,0.1316372811905892
rank5_f1_N128_bs8_L1,1,5,128,8,1,0.005945877077465411,0.005352832842618227,0.0059451184861245565,571,0.0009427230106666684,0.005765897687524557,0.005765897687524557,0.6,0.0184760931879282,0.8614034295124621,0.14643543377448168
rank5_f1_N64_bs4_L1,1,5,64,4,1,0.008145463743858272,0.00647751335054636,0.008125281638058368,460,0.003359387628734112,3.115865468978882,3.115865468978882,0.4,0.0184760931879282,0.8728845054166221,0.13048829444750326
rank5_f1_N32_bs4_L2,1,5,32,4,2,0.009827769186813384,0.006990720983594656,0.009822545238421299,744,0.004827672615647316,0.2072354108095169,1.230576552450657,0.1,0.015865826234221458,0.8914671694615829,0.11230230902140789
rank5_f1_N128_bs16_L1,1,5,128,16,1,0.00923000683542341,0.008596241474151611,0.009226567344740033,839,0.0012527431827038527,0.28877201676368713,0.28877201676368713,0.6,0.0184760931879282,0.8713100739051138,0.1325759119072107
rank5_f1_N64_bs16_L2,1,5,64,16,2,0.010429069050587714,0.009125490672886372,0.010427066241391003,985,0.006139528006315231,0.045065540820360184,1.0638997051864862,0.0,0.015865826234221458,0.8914547000769049,0.11221912823320851
rank5_f1_N32_bs2_L2,1,5,32,2,2,0.01287013432738604,0.009693615138530731,0.012865811787833081,739,0.006184705533087254,0.29783445596694946,0.5890741348266602,0.7,0.015865826234221458,0.8680310345694408,0.14079409222169842
rank5_f1_N32_bs2_L1,1,5,32,2,1,0.0136166384909302,0.010091233998537064,0.013590748975730094,623,0.0034158709459006786,1.4148221015930176,1.4148221015930176,0.2,0.0184760931879282,0.8769385766370691,0.1281377472839633
rank5_f1_N64_bs8_L1,1,5,64,8,1,0.012731288559734821,0.011246535927057266,0.012730163056403399,605,0.0012768676970154047,0.20576323568820953,0.20576323568820953,1.0,0.0184760931879282,0.866300111958505,0.13819836619150974
rank5_f1_N32_bs8_L2,1,5,32,8,2,0.017256086226552725,0.015109328553080559,0.01725600054487586,958,0.017864760011434555,0.09734360128641129,1.6915579624474049,0.1,0.015865826234221458,0.8987397348060784,0.10548928954764326
rank5_f2_N512_bs2_L3,2,5,512,2,3,0.00014321422842189513,0.00014289106184151024,0.0001421486164507671,565,0.0002020520478254184,0.0001233114890055731,0.0015306201385101303,0.0,0.017331264913082123,0.5944428399028062,0.42226062714847806
rank5_f2_N512_bs4_L4,2,5,512,4,4,0.00026699093062099166,0.00026727188378572464,0.00026667361498766695,736,5.713210703106597e-05,0.0008706423104740679,0.9567579620197648,0.1,0.01708667352795601,0.8631717520778891,0.14792526979371906
rank5_f2_N512_bs4_L3,2,5,512,4,3,0.00043674570004270663,0.0004376143333502114,0.0004351268262503538,634,0.00029802790959365666,0.00039174119592644274,0.03572317737659129,0.26666666666666666,0.017331264913082123,0.6219719437600649,0.3929198309543287
rank5_f2_N512_bs8_L3,2,5,512,8,3,0.0005181391655497691,0.0005191399832256138,0.0005179514958513209,715,0.00034267688170075417,0.00031726984889246523,0.055424415632539116,0.13333333333333333,0.017331264913082123,0.6465058175306224,0.36818915862433177
rank5_f2_N512_bs4_L2,2,5,512,4,2,0.0007053940173449291,0.0007073224987834692,0.0007021965627362903,672,6.761142140021548e-05,0.05694347620010376,1.534999281167984,0.5,0.015865826234221458,0.7955420301537106,0.21525405479765805
rank5_f2_N512_bs1_L3,2,5,512,1,3,0.0009509229761859922,0.0009526113863103092,0.0009155329977020886,571,0.00017894234042614698,2.6188832634943537e-05,0.0034786873578317077,0.0,0.017331264913082123,0.6891934992262269,0.3272138920122406
rank5_f2_N512_bs1_L1,2,5,512,1,1,0.0009676005120137846,0.000970075954683125,0.0009665507129981103,627,0.00022343755699694157,0.0008784231613390148,0.0008784231613390148,0.0,0.0184760931879282,0.6233623795665386,0.3943986585113883
rank5_f2_N512_bs16_L3,2,5,512,16,3,0.0010021202897405601,0.0010040493216365576,0.0010019376040872885,1020,0.00046915627899579704,0.000653423834592104,0.027335303059468668,0.06666666666666667,0.017331264913082123,0.64876324568739,0.3656799920259544
rank5_f2_N512_bs2_L2,2,5,512,2,2,0.0012290690375889035,0.0012320640962570906,0.0011736272575869622,524,5.242016413831152e-05,0.1937984824180603,1.79470095038414,0.2,0.015865826234221458,0.9394490516545286,0.06271931735952496
