architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,calibration_score
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d3_mup_gd_lr0.1_s101,128,True,1.84253775596153,0.11265015602111816,0.1730385571718216,1.7537002563476562,30.0,0.03669416904449463,,0.6588047192646908,,0.9387127947476175,,0.9631144075344006,-0.557349136385448
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d3_mup_gd_lr0.1_s102,128,True,1.7247545199934393,0.10465098917484283,0.18867820501327515,1.8830218315124512,60.0,0.03206348419189453,,0.6096308873249935,,0.9236119290192922,,0.957866749415795,-0.5875704225172882
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d3_mup_gd_lr0.3_s101,128,True,1.7108720010146499,0.07563260942697525,0.3473908305168152,2.531975269317627,30.0,0.021514415740966797,360.0,0.16886925697326663,,0.6633988618850708,,0.9290461031099161,-0.8306706030349528
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d3_mup_gd_lr0.3_s102,128,True,1.730694476980716,0.07471247017383575,0.35644400119781494,2.785935878753662,30.0,0.01190030574798584,330.0,0.15273895630469692,,0.6598452660772536,,0.9145173033078512,-0.9089555430262253
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d3_mup_gd_lr1_s101,128,True,1.7164413339924067,0.26885098218917847,0.6173498630523682,2.398555040359497,30.0,0.06379687786102295,,0.6235844722160926,,0.8806969076395035,,0.975646398961544,-0.45211984710541897
fc,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d3_mup_gd_lr1_s102,128,True,1.7091679950244725,0.1722826361656189,0.6691120266914368,2.4678664207458496,30.0,0.14213216304779053,300.0,0.22679717724139875,,0.5058315330081516,,0.8804812878370285,-0.5752997636372044
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d5_mup_gd_lr0.1_s101,128,True,2.635139420046471,0.10070222616195679,0.12407519668340683,4.416914939880371,60.0,0.03285646438598633,360.0,0.20019681637103745,,0.7987428307533264,,0.938945093502601,-0.726262848072437
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d5_mup_gd_lr0.1_s102,128,True,2.661074194009416,0.08733326941728592,0.12251510471105576,4.265103816986084,60.0,0.04622769355773926,360.0,0.18282151222229007,,0.8099051747057173,,0.941257598499457,-0.7065549942951456
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d5_mup_gd_lr0.3_s101,128,True,2.653230248950422,0.04656533524394035,0.20127859711647034,5.167156219482422,30.0,0.020633935928344727,210.0,0.051492214202880894,480.0,0.4137037462658352,,0.8407524824142456,-1.0578702757058074
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d5_mup_gd_lr0.3_s102,128,True,2.738012421061285,0.045575425028800964,0.20335035026073456,4.715569496154785,30.0,0.06924283504486084,210.0,0.048735636931199325,480.0,0.39959413475460476,,0.8472577085097631,-0.9367263605667756
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d5_mup_gd_lr1_s101,128,False,0.05464144004508853,0.42875009775161743,0.0,0.0,,1.0,,1.0,,1.0,,1.0,inf
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d5_mup_gd_lr1_s102,128,True,2.7431542900158092,0.4243221879005432,0.4893791079521179,1.6458085775375366,30.0,0.9906221069395542,,1.0011353271726806,,0.9998431276374807,,0.9997044222982368,-0.056794568412424126
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d7_mup_gd_lr0.1_s101,128,True,3.728875536005944,0.06668151170015335,0.09208206087350845,7.608627796173096,60.0,0.06936955451965332,300.0,0.15710834356454706,,0.6469050314691331,,0.9531588703393936,-0.7195556899189627
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d7_mup_gd_lr0.1_s102,128,True,3.776998632005416,0.06959619373083115,0.09473134577274323,10.074087142944336,60.0,0.0265347957611084,330.0,0.21943857119633603,,0.5773664779133267,,0.9172469849387804,-0.8013455332684054
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d7_mup_gd_lr0.3_s101,128,True,3.370315330917947,0.0639006644487381,0.15173855423927307,7.198699474334717,30.0,0.06060248613357544,270.0,0.1822152871351976,420.0,0.39666655328538686,,0.8317057639360428,-0.7888065577920498
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d7_mup_gd_lr0.3_s102,128,True,3.505089496029541,0.04428316652774811,0.1558830440044403,8.260130882263184,30.0,0.23417603969573975,240.0,0.054812743113591154,390.0,0.37458826435936826,,0.8508205140630404,-0.8001101713565092
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d7_mup_gd_lr1_s101,128,True,3.6246011269977316,0.4287745952606201,0.8504379391670227,5.126031875610352,,0.9995545245765243,,1.0010271167131857,,1.000156965397764,,1.0001976803469006,-0.05506405854495639
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d7_mup_gd_lr1_s102,128,False,0.8502370628993958,0.42896080017089844,0.41275298595428467,1.9528837203979492,,1.0006400408456102,,0.9994158086169941,,0.9999615929199435,,1.0002110677208595,inf
