architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,t50_2,final_relative_error_2,t50_3,final_relative_error_3,t50_5,final_relative_error_5,t50_6,final_relative_error_6,t50_7,final_relative_error_7,t50_9,final_relative_error_9,t50_10,final_relative_error_10,t50_11,final_relative_error_11,t50_12,final_relative_error_12,t50_13,final_relative_error_13,t50_14,final_relative_error_14,t50_15,final_relative_error_15,t50_17,final_relative_error_17,t50_18,final_relative_error_18,t50_19,final_relative_error_19,t50_20,final_relative_error_20,t50_21,final_relative_error_21,t50_22,final_relative_error_22,t50_23,final_relative_error_23,t50_24,final_relative_error_24
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.01,2500,25,7,0.1,hierarchy_fc_d5_muon_p0_s7,128,True,19.3741492460249,0.0014329159166663885,2.226351022720337,19.566743850708008,75.0,0.009141802787780762,125.0,0.004200806984534596,200.0,0.0023001829783121496,400.0,0.04793451229731238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,0,0.1,hierarchy_fc_d5_muon_p1_3_s0,128,True,20.506354840938002,0.003272773465141654,1.2676875591278076,11.642149925231934,25.0,0.014562606811523438,50.0,0.0005953495319073358,175.0,0.01204209857516816,675.0,0.07897680997848508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,1,0.1,hierarchy_fc_d5_muon_p1_3_s1,128,True,20.064165494055487,0.0038151475600898266,1.35005784034729,11.491033554077148,25.0,0.007151484489440918,50.0,0.03653209026043235,175.0,0.004496084319220624,750.0,0.08552835385004676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,2,0.1,hierarchy_fc_d5_muon_p1_3_s2,128,True,20.21224717097357,0.0033652132842689753,1.3144387006759644,11.425910949707031,25.0,0.04416602849960327,50.0,0.0422318531916692,150.0,0.008286264207628062,700.0,0.09741083780924475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,3,0.1,hierarchy_fc_d5_muon_p1_3_s3,128,True,20.47764580405783,0.0031714492943137884,1.3014601469039917,12.414883613586426,25.0,0.004883766174316406,50.0,0.004919639000525807,150.0,0.010538922415839326,600.0,0.06447211901346839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,4,0.1,hierarchy_fc_d5_muon_p1_3_s4,128,True,19.689077932969667,0.0035413140431046486,1.2996776103973389,9.790125846862793,25.0,0.018629610538482666,50.0,0.02885235272921052,175.0,0.022611114713880776,700.0,0.0706883867581685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,5,0.1,hierarchy_fc_d5_muon_p1_3_s5,128,True,19.760421782033518,0.003532242029905319,1.3310723304748535,10.975923538208008,25.0,0.007865428924560547,50.0,0.024040240507859485,175.0,0.008312887615627738,700.0,0.06893471876780188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,6,0.1,hierarchy_fc_d5_muon_p1_3_s6,128,True,19.522186547983438,0.0032922355458140373,1.3092776536941528,11.926874160766602,25.0,0.014801025390625,50.0,0.038897477663480354,200.0,0.010671112272474526,700.0,0.07021681467692054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,2500,25,7,0.1,hierarchy_fc_d5_muon_p1_3_s7,128,True,20.097858741064556,0.003251041518524289,1.2787055969238281,12.907999038696289,25.0,0.0010075569152832031,50.0,0.00018655336820165675,175.0,0.011594600147671144,625.0,0.10005092620849607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,0,0.1,hierarchy_fc_d5_muon_p2_3_s0,128,True,19.63729670702014,0.007206649053841829,0.7091701030731201,10.764326095581055,25.0,0.018490910530090332,75.0,0.012486494504488396,300.0,0.001729753282335094,1425.0,0.23702687025070188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
