step,loss,task,train_context,eval_context,depth,d_model,heads,shared,normalize_attention,share_qk,rich_mse,rich_mean_mse,rich_var_mse,rich_kappa,rich_resid_last,trainctx_mse,trainctx_mean_mse,trainctx_var_mse,trainctx_nll,trainctx_exact_nll,trainctx_coverage,trainctx_width,trainctx_exact_coverage,trainctx_exact_width,evalctx_mse,evalctx_mean_mse,evalctx_var_mse,evalctx_nll,evalctx_exact_nll,evalctx_coverage,evalctx_width,evalctx_exact_coverage,evalctx_exact_width
1,2.0182528495788574,weak_inverse,16,128,8,128,4,1,0,0,0.022954707965254784,4.073368472745642e-05,0.0,3.7188076972961426,9.446761131286621,1.8726586252450943,1.745561771094799,0.9491071030497551,1.8091565743088722,0.40378097258508205,0.8681640625,4.168188035488129,0.9580078125,1.5164108946919441,1.868400476872921,1.8233641982078552,1.2439887523651123,1.8039555624127388,-0.48656258918344975,0.8759765625,4.181678891181946,0.94970703125,0.5923218876123428
200,1.3927336931228638,weak_inverse,16,128,8,128,4,1,0,0,0.02906280755996704,4.7916153562255204e-05,0.0,3.7469143867492676,9.004448890686035,0.981818899512291,0.8310866132378578,0.7456256784498692,1.4025039747357368,0.42284753546118736,0.9521484375,3.925638273358345,0.95556640625,1.5076797381043434,1.0249227806925774,0.9978002719581127,1.0434440895915031,1.4167613610625267,-0.4582688733935356,0.95263671875,3.9948145747184753,0.95068359375,0.592679288238287
400,1.5409388542175293,weak_inverse,16,128,8,128,4,1,0,0,0.02080398239195347,3.8260623114183545e-05,0.0,3.7209267616271973,8.341204643249512,1.0603548288345337,0.858345452696085,0.4610810671001673,1.4582821801304817,0.4575970936566591,0.9130859375,3.538114905357361,0.94384765625,1.526621975004673,0.9682253822684288,0.9494493566453457,0.6934708245098591,1.389605589210987,-0.44720836635679007,0.9423828125,3.6042326986789703,0.94482421875,0.5925423912703991
600,1.3400342464447021,weak_inverse,16,128,8,128,4,1,0,0,0.023642638698220253,3.388353798072785e-05,0.0,3.6714494228363037,12.170061111450195,0.7768521681427956,0.6024344936013222,0.5596373528242111,1.2802085727453232,0.44415541365742683,0.95849609375,3.6805147528648376,0.9443359375,1.5154658108949661,0.5593234188854694,0.5339251440018415,1.0790388584136963,1.2009184882044792,-0.46034648455679417,0.99072265625,4.017306685447693,0.953125,0.5929344147443771
800,1.269625186920166,weak_inverse,16,128,8,128,4,1,0,0,0.024250708520412445,3.803146682912484e-05,0.0,3.7071757316589355,9.256023406982422,0.6196482181549072,0.47772817499935627,0.2521918788552284,1.1541988402605057,0.4353619311004877,0.94970703125,3.073296770453453,0.94873046875,1.5207424610853195,0.3460477665066719,0.32999259885400534,0.8154271394014359,1.0513295233249664,-0.4832606576383114,0.99658203125,3.7411136478185654,0.95068359375,0.5926626436412334
1000,1.0834693908691406,weak_inverse,16,128,8,128,4,1,0,0,0.026284895837306976,4.0520939364796504e-05,0.0,3.7027440071105957,8.918902397155762,0.6072379611432552,0.4463253393769264,0.22423796635121107,1.149116113781929,0.4315268024802208,0.9404296875,2.9730297923088074,0.9453125,1.523355782032013,0.256658717058599,0.24038621317595243,0.5943044163286686,0.9529498405754566,-0.48470539413392544,0.99853515625,3.4732840210199356,0.9521484375,0.5928509160876274
1200,1.0710923671722412,weak_inverse,16,128,8,128,4,1,0,0,0.019237257540225983,8.714557770872489e-05,0.0,3.75022292137146,10.35855484008789,0.5833461284637451,0.4316886756569147,0.26809866819530725,1.1177076026797295,0.4206302296370268,0.9599609375,3.07240492105484,0.951171875,1.5216705948114395,0.3198995981365442,0.29942354559898376,0.7047526054084301,1.0187941677868366,-0.48087899200618267,0.99755859375,3.618962213397026,0.955078125,0.5923671796917915
1400,1.076271653175354,weak_inverse,16,128,8,128,4,1,0,0,0.01809586025774479,2.6017845812020823e-05,0.0,3.6489787101745605,8.1063232421875,0.5990209300071001,0.4338108506053686,0.19431941024959087,1.1391241997480392,0.4527240451425314,0.94580078125,2.947195827960968,0.94775390625,1.5281777754426003,0.3085055649280548,0.28084735479205847,0.4777544420212507,0.9564089998602867,-0.46792507357895374,0.9951171875,3.2973268032073975,0.9541015625,0.592878270894289
1600,1.0939596891403198,weak_inverse,16,128,8,128,4,1,0,0,0.018885107710957527,3.60486883437261e-05,0.0,3.762691020965576,12.34115982055664,0.599628135561943,0.4307859055697918,0.2246553637087345,1.1180605664849281,0.43923296220600605,0.95654296875,2.9509331434965134,0.94677734375,1.509734384715557,0.24107169918715954,0.21780933253467083,0.5903396755456924,0.9423656798899174,-0.4681819211691618,0.9990234375,3.46195650100708,0.9482421875,0.5924271196126938
1800,1.0584850311279297,weak_inverse,16,128,8,128,4,1,0,0,0.028285909444093704,3.623322845669463e-05,0.0,3.7142670154571533,12.119778633117676,0.5239115599542856,0.37695683538913727,0.15788259357213974,1.0708299949765205,0.4206515420228243,0.94970703125,2.835406109690666,0.9541015625,1.5384776219725609,0.19235000852495432,0.17261490505188704,0.47931191325187683,0.878198828548193,-0.4500999692827463,0.99853515625,3.29916088283062,0.9443359375,0.592473715543747
2000,1.084418773651123,weak_inverse,16,128,8,128,4,1,0,0,0.025602931156754494,2.6672969397623092e-05,0.0,3.724715232849121,10.381107330322266,0.4986391253769398,0.3286831434816122,0.08306548651307821,1.0477703735232353,0.4582335166633129,0.9248046875,2.5198108106851578,0.94091796875,1.5135528445243835,0.19354838505387306,0.17375502549111843,0.4341576360166073,0.8604063726961613,-0.49214185401797295,0.9990234375,3.2199452370405197,0.95703125,0.592665322124958
2200,0.999708890914917,weak_inverse,16,128,8,128,4,1,0,0,0.018115729093551636,7.872637070249766e-05,0.0,3.6983120441436768,9.382772445678711,0.4234012998640537,0.2628781273961067,0.13880445715039968,0.9621745236217976,0.4359857328236103,0.9599609375,2.6734722554683685,0.9521484375,1.516675479710102,0.3276963494718075,0.30645063146948814,0.6355973705649376,0.9998629055917263,-0.464289179071784,0.9990234375,3.4912577122449875,0.94921875,0.5921178534626961
2400,1.060806393623352,weak_inverse,16,128,8,128,4,1,0,0,0.021239805966615677,2.0579898773576133e-05,0.0,3.6814680099487305,9.440028190612793,0.40386406145989895,0.24395390041172504,0.09322791593149304,0.9397393763065338,0.4192950762808323,0.95654296875,2.556589752435684,0.95166015625,1.5156258046627045,0.24615589808672667,0.22125807125121355,0.4354549068957567,0.8981659263372421,-0.45371992513537407,0.9990234375,3.2160770297050476,0.94921875,0.5927779600024223
2600,1.1623491048812866,weak_inverse,16,128,8,128,4,1,0,0,0.023780662566423416,3.362348070368171e-05,0.0,3.7133333683013916,10.467269897460938,0.42850310169160366,0.2708321725949645,0.14261000929400325,0.9676680453121662,0.43065228685736656,0.96142578125,2.724932834506035,0.9453125,1.5246194824576378,0.211759134195745,0.19222782738506794,0.23899317160248756,0.7708752080798149,-0.49064703844487667,0.99560546875,2.7472343295812607,0.953125,0.5925378687679768
2800,0.837315022945404,weak_inverse,16,128,8,128,4,1,0,0,0.02107483707368374,2.787583798635751e-05,0.0,3.6766576766967773,9.228567123413086,0.4100168216973543,0.2568267425522208,0.08488244563341141,0.9347632490098476,0.4034285172820091,0.9423828125,2.4899869710206985,0.95458984375,1.524449460208416,0.1890901681035757,0.16665636468678713,0.15919516514986753,0.6889563761651516,-0.4492375459522009,0.99462890625,2.5107039362192154,0.94580078125,0.593059066683054
