design,seed,step,loss,spectral_risk_mean,spectral_risk_q99,coverage_rate,upper_ratio_mean,node_loss,mass_loss,validation_spectral_risk,validation_coverage_rate,best_step
pde_elliptic_correlated,0,1,413.0215148925781,0.02778559923171997,0.028098538517951965,1.0,1.5750000476837158,0.03317999839782715,4.820281028747559,317513107767296.0,0.995361328125,1
pde_elliptic_correlated,0,200,0.5954217314720154,0.003917597699910402,0.004793341271579266,1.0,17.462419509887695,0.01768629625439644,1.5759629011154175,0.0010192889021709561,1.0,200
pde_elliptic_correlated,0,400,0.14600104093551636,0.0004187302547506988,0.004434739705175161,1.0,24.703998565673828,0.0016832633409649134,1.4267655611038208,0.0008403617539443076,1.0,400
pde_elliptic_correlated,0,600,0.1548113375902176,0.0008092299103736877,0.010678360238671303,1.0,28.946800231933594,0.0023960587568581104,1.4913628101348877,0.0007997131324373186,1.0,600
pde_elliptic_correlated,0,800,0.14572064578533173,0.0005516614764928818,0.006386379711329937,1.0,32.08464050292969,0.0021151546388864517,1.4109888076782227,0.0010720742866396904,1.0,600
pde_elliptic_correlated,1,1,413.0098571777344,0.027794934809207916,0.028187496587634087,1.0,1.5750000476837158,0.03363274782896042,4.820281982421875,1.1163666256337306e+17,0.996826171875,1
pde_elliptic_correlated,1,200,0.15544059872627258,0.0007773445104248822,0.0059669227339327335,1.0,19.052518844604492,0.007238756399601698,1.4569896459579468,0.003548908745869994,1.0,200
pde_elliptic_correlated,1,400,0.14855755865573883,0.0005546686006709933,0.008119629696011543,1.0,23.719120025634766,0.0034579697530716658,1.4307796955108643,0.012373867444694042,1.0,200
pde_elliptic_correlated,1,600,0.1710100769996643,0.0008971268543973565,0.009507140144705772,1.0,29.473400115966797,0.014306461438536644,1.532893419265747,0.007384066469967365,1.0,200
pde_elliptic_correlated,1,800,0.15873026847839355,0.0011187434429302812,0.006675396114587784,1.0,32.27294921875,0.01026926003396511,1.4520881175994873,0.028055880218744278,1.0,200
pde_elliptic_correlated,2,1,421.6611022949219,100250.5859375,54.62797927856445,0.984375,1.5750000476837158,0.031736891716718674,4.820281982421875,913898240737280.0,0.996826171875,1
pde_elliptic_correlated,2,200,0.14453832805156708,0.00012527499347925186,0.0011369598796591163,1.0,19.329111099243164,0.0015180106274783611,1.425162672996521,0.0009593313443474472,1.0,200
pde_elliptic_correlated,2,400,0.17593036592006683,0.001056645531207323,0.01679808460175991,1.0,25.256004333496094,0.021242927759885788,1.5082192420959473,0.002637886442244053,1.0,200
pde_elliptic_correlated,2,600,0.18599306046962738,0.0010498182382434607,0.011801975779235363,1.0,30.277679443359375,0.016144923865795135,1.6536521911621094,0.005258476361632347,1.0,200
pde_elliptic_correlated,2,800,0.1835339218378067,0.0005456112558022141,0.002805043011903763,1.0,33.539283752441406,0.005196250043809414,1.7593507766723633,0.013811783865094185,1.0,200
pde_elliptic,0,1,471.77972412109375,0.36074942350387573,7.385112285614014,1.0,1.5750000476837158,1.4497146606445312,4.7263946533203125,0.08140487968921661,1.0,1
pde_elliptic,0,200,0.31554269790649414,1.2075029189873021e-06,3.064014208575827e-06,1.0,16.118513107299805,0.0003153349971398711,3.151991605758667,2.1229457161098253e-06,1.0,200
pde_elliptic,0,400,0.3266372084617615,6.5706949499144685e-06,6.310023309197277e-05,1.0,16.048355102539062,0.0005598680581897497,3.2603583335876465,6.700321364405681e-07,1.0,400
pde_elliptic,0,600,0.3222387135028839,7.741101057945343e-07,4.657691079046344e-06,1.0,15.956008911132812,0.00035466518602333963,3.218583106994629,1.2753685041388962e-06,1.0,400
pde_elliptic,0,800,0.34982308745384216,2.694410341064213e-06,2.083765502902679e-05,1.0,16.035289764404297,0.00045356006012298167,3.4932737350463867,9.309192137152422e-07,1.0,400
pde_elliptic,1,1,472.7063293457031,0.25082406401634216,3.6849989891052246,1.0,1.5749998092651367,1.528141736984253,4.722728729248047,0.06363335251808167,1.0,1
pde_elliptic,1,200,0.32175058126449585,2.1288774405547883e-06,2.4579077944508754e-05,1.0,16.441892623901367,0.0004117242351640016,3.213012456893921,1.9778772184508853e-06,1.0,200
pde_elliptic,1,400,0.3114268183708191,1.275051317861653e-06,8.483060810249299e-06,1.0,16.31539535522461,0.0003280248783994466,3.1106760501861572,1.4459685644396814e-06,1.0,400
pde_elliptic,1,600,0.31686341762542725,9.873456292552873e-07,3.4906533983303234e-06,1.0,16.169097900390625,0.00040764594450592995,3.1642684936523438,5.218135356699349e-06,1.0,400
pde_elliptic,1,800,0.34010663628578186,2.906816007453017e-06,2.8303509679972194e-05,1.0,16.016036987304688,0.0005196158308535814,3.3955440521240234,1.2971459000254981e-06,1.0,800
pde_elliptic,2,1,473.7524719238281,0.2727838158607483,5.754565238952637,1.0,1.5750000476837158,1.4738129377365112,4.707952499389648,0.054605185985565186,1.0,1
pde_elliptic,2,200,0.3404565155506134,3.654681108855584e-07,1.9377398530195933e-06,1.0,16.96173858642578,0.0005541861755773425,3.3985910415649414,3.563614257018344e-07,1.0,200
pde_elliptic,2,400,0.32312342524528503,8.414718308813462e-07,9.034999493451323e-06,1.0,16.786048889160156,0.0003663284005597234,3.227142095565796,2.5556505534041207e-07,1.0,400
pde_elliptic,2,600,0.3236624300479889,1.2584190471898182e-06,5.4693523452442605e-06,1.0,16.502613067626953,0.0003135309088975191,3.23313045501709,1.5759236475787475e-06,1.0,400
pde_elliptic,2,800,0.3210580348968506,4.0415848161501344e-06,2.7954327379120514e-05,1.0,16.16212272644043,0.0003388909390196204,3.206827163696289,2.9623429327330086e-06,1.0,400
