design,method,seeds,solver_hvps,setup_block_hvp_rounds,total_scalar_hvp_equivalent,h_relative_mean,h_relative_std,predicted_h_relative_mean,predicted_h_relative_std,query_relative_mean,query_relative_std,coefficient_mse_mean,coefficient_mse_std,statistical_query_mse_mean,statistical_query_mse_std
pde_elliptic,identity_pcg,3,8,0,8,3.095265363461941e-11,5.725505789963559e-13,nan,nan,2.6433182032103986e-11,1.3741529615585169e-12,1.4598863567680254e-12,2.878751246713704e-14,0.00022311163775157183,3.6422065932129044e-06
pde_elliptic,identity_pcg_equal_work,3,20,0,20,3.095265363461941e-11,5.725505789963559e-13,nan,nan,2.6433182032103986e-11,1.3741529615585169e-12,1.4598863567680254e-12,2.878751246713704e-14,0.00022311163775157183,3.6422065932129044e-06
pde_elliptic,initial_moment_chebyshev,3,8,3,20,0.26350075006484985,0.017027365043759346,nan,nan,0.3975910246372223,0.061271775513887405,0.013281227089464664,0.0006995046860538423,0.00022945522505324334,5.342941676644841e-06
pde_elliptic,learned_moment_chebyshev,3,8,3,20,7.443133540618874e-07,4.355421197033138e-07,7.443263712048065e-07,4.3557935214266763e-07,9.19414389954909e-07,6.94560810643452e-07,3.602312048656131e-08,2.115656627665885e-08,0.00022311159409582615,3.640275963334716e-06
pde_elliptic,learned_moment_guarded_pcg,3,8,3,20,3.798233763063763e-07,1.2079057398750592e-07,nan,nan,3.722297208241798e-07,1.0989120369231387e-07,1.708528962751643e-08,5.210882836337305e-09,0.0002231113176094368,3.640382601588499e-06
pde_elliptic,oracle_interval_chebyshev,3,8,3,20,7.68034724360489e-14,2.475552520628607e-16,6.371001326165073e-18,1.937502667241119e-18,7.631072287744498e-14,3.216929701476399e-15,3.488556227001908e-15,1.0300000047951097e-17,0.00022311163775157183,3.6422184166440275e-06
pde_elliptic,oracle_interval_hb,3,8,3,20,7.682269669581979e-14,3.512105384061913e-16,7.156127249195292e-18,2.2470102846061574e-18,7.634890034644362e-14,4.342850575954783e-15,3.4892770520400214e-15,1.459462583537536e-17,0.00022311163775157183,3.642218189270352e-06
pde_elliptic,oracle_interval_richardson,3,8,3,20,8.126860322936816e-14,1.4062724746353224e-15,4.376834808348046e-15,1.2859526091481516e-15,8.174535402966435e-14,4.120594212792938e-15,3.732769589980716e-15,7.464470568489131e-17,0.00022311163775157183,3.642218189270352e-06
pde_elliptic,same_preconditioner_pcg,3,8,3,20,2.450720702762421e-11,2.6440720272968843e-13,nan,nan,2.388332413783001e-11,2.230822948243172e-12,1.2106188447547073e-12,1.5459345704071058e-14,0.00022311163775157183,3.6422009088710183e-06
pde_elliptic_correlated,identity_pcg,3,8,0,8,2.1924631710135145e-06,4.404681064329452e-08,nan,nan,5.47408319562237e-07,2.506529916956879e-08,7.44211720302701e-05,1.7882350675790804e-06,0.0008331092540174723,2.3134349248721264e-05
pde_elliptic_correlated,identity_pcg_equal_work,3,20,0,20,4.739255032859546e-08,7.456182338216877e-10,nan,nan,8.585532285110276e-09,1.2378813529778654e-09,1.1114555491076317e-05,1.0436752262421578e-07,0.0008328447584062815,2.3564471121062525e-05
pde_elliptic_correlated,initial_moment_chebyshev,3,8,3,20,6443748560994304.0,8482517996797952.0,nan,nan,1911963613396992.0,2473831369277440.0,2.47671436607488e+16,3.010596839830323e+16,1846473012543488.0,2380861165010944.0
pde_elliptic_correlated,learned_moment_chebyshev,3,8,3,20,0.0009001034777611494,0.00010513692541280761,0.0009001544094644487,0.00010512270091567189,0.0002087661559926346,1.9955981770181097e-05,0.01141603384166956,0.003729873336851597,0.0010170042514801025,3.551412373781204e-05
pde_elliptic_correlated,learned_moment_guarded_pcg,3,8,3,20,3.087444611082901e-07,2.0740951356401638e-07,nan,nan,1.663633355519778e-07,1.2363466339593288e-07,6.715780182275921e-05,4.5611093810293823e-05,0.0008332564029842615,2.3304961359826848e-05
pde_elliptic_correlated,oracle_interval_chebyshev,3,8,3,20,0.07794058322906494,0.00013088519335724413,0.07796508818864822,0.0001309860235778615,0.07608915120363235,0.0018103995826095343,0.010097173042595387,4.6620843932032585e-05,0.07460815459489822,0.0017017456702888012
pde_elliptic_correlated,oracle_interval_hb,3,8,3,20,0.8648540377616882,0.002069542882964015,0.8651061058044434,0.0020683915354311466,0.8354341387748718,0.02691703848540783,0.10885471105575562,0.0006596976309083402,0.8123941421508789,0.022371239960193634
pde_elliptic_correlated,oracle_interval_richardson,3,8,3,20,0.37835851311683655,0.0003657459747046232,0.37839475274086,0.0003660459187813103,0.37492021918296814,0.00466375146061182,0.04948216676712036,0.00013732184015680104,0.3648378849029541,0.007225375156849623
pde_elliptic_correlated,same_preconditioner_pcg,3,8,3,20,1.811251770789113e-08,3.221447830714652e-10,nan,nan,3.05702396730112e-09,6.135644770033366e-11,3.3576823170733405e-06,1.0192390220709058e-07,0.00083287333836779,2.3551683625555597e-05
