design,seed,method,solver_hvps,setup_block_hvp_rounds,total_scalar_hvp_equivalent,h_relative,predicted_h_relative,query_relative,coefficient_mse,statistical_query_mse
pde_elliptic_correlated,1,same_preconditioner_pcg,8,3,20,1.8447779304153755e-08,nan,2.978162248136689e-09,3.433340566516563e-06,0.0008122051658574492
pde_elliptic_correlated,1,identity_pcg,8,0,8,2.13425286688107e-06,nan,5.201978185310744e-07,7.541843115177471e-05,0.0008122327490127645
pde_elliptic_correlated,1,identity_pcg_equal_work,20,0,20,4.844687673255521e-08,nan,8.006416574028973e-09,1.1100672850261617e-05,0.0008121668361127377
pde_elliptic_correlated,1,learned_moment_guarded_pcg,8,3,20,4.2284241885681695e-07,nan,3.021286620557665e-07,9.178740765491966e-05,0.0008126059692585841
pde_elliptic_correlated,2,learned_moment_chebyshev,8,3,20,0.0007988407160155475,0.0007989317127794493,0.00021411923583473935,0.006212737236637622,0.0010486115206731483
pde_elliptic_correlated,2,initial_moment_chebyshev,8,3,20,158606417495812.72,nan,38175649419530.39,1061548333040604.5,36060407027332.41
pde_elliptic_correlated,2,oracle_interval_richardson,8,3,20,0.3784533068537712,0.37848965705711957,0.3754294956456833,0.0493334773927927,0.35487474873661995
pde_elliptic_correlated,2,oracle_interval_hb,8,3,20,0.8628434091806412,0.8630968606298107,0.8312574684413799,0.10837414674460888,0.7855271622538567
pde_elliptic_correlated,2,oracle_interval_chebyshev,8,3,20,0.07781388610601425,0.07783833730703477,0.07597232395388422,0.010055352235212922,0.07243468472734094
pde_elliptic_correlated,2,same_preconditioner_pcg,8,3,20,1.7677743935351486e-08,nan,3.065109416206988e-09,3.2136005927441147e-06,0.000865826899826061
pde_elliptic_correlated,2,identity_pcg,8,0,8,2.240773753214853e-06,nan,5.806883477970229e-07,7.190988708316581e-05,0.0008653632467030548
pde_elliptic_correlated,2,identity_pcg_equal_work,20,0,20,4.687994392682526e-08,nan,1.0305821611723488e-08,1.0994239005412965e-05,0.0008658165679662488
pde_elliptic_correlated,2,learned_moment_guarded_pcg,8,3,20,1.7677743935351486e-08,nan,3.065109416206988e-09,3.2136005927441147e-06,0.000865826899826061
pde_elliptic,0,learned_moment_chebyshev,8,3,20,6.828514997891943e-07,6.828227085975414e-07,6.542863052699903e-07,3.287949512653654e-08,0.00022333536981022917
pde_elliptic,0,initial_moment_chebyshev,8,3,20,0.28064855746924877,nan,0.31319943831448344,0.013821289758197963,0.00022628573969996069
pde_elliptic,0,oracle_interval_richardson,8,3,20,8.055143483248805e-14,3.9644435776495545e-15,8.678442621869207e-14,3.712892797203091e-15,0.0002233364120911574
pde_elliptic,0,oracle_interval_hb,8,3,20,7.634102717519889e-14,6.408407654349259e-18,8.240272804777672e-14,3.4756828085113003e-15,0.0002233364120911574
pde_elliptic,0,oracle_interval_chebyshev,8,3,20,7.647052157217513e-14,5.6419527869242656e-18,8.084899977081505e-14,3.4821297880310896e-15,0.0002233364139101468
pde_elliptic,0,same_preconditioner_pcg,8,3,20,2.4867746317019934e-11,nan,2.7030827264624182e-11,1.2310910076735945e-12,0.0002233364139101468
pde_elliptic,0,identity_pcg,8,0,8,3.140343150451197e-11,nan,2.7784385425527063e-11,1.4751038932003802e-12,0.00022333642482408322
pde_elliptic,0,identity_pcg_equal_work,20,0,20,3.140343150451197e-11,nan,2.7784385425527063e-11,1.4751038932003802e-12,0.00022333642482408322
pde_elliptic,0,learned_moment_guarded_pcg,8,3,20,4.861380453746733e-07,nan,4.53856565211464e-07,2.2370375551972188e-08,0.00022333412198349833
pde_elliptic,1,learned_moment_chebyshev,8,3,20,1.305810002349972e-06,1.3058862009529548e-06,1.8710647769105755e-06,6.336291402675442e-08,0.00021854552505828906
pde_elliptic,1,initial_moment_chebyshev,8,3,20,0.26956792548298836,nan,0.4227606535260265,0.013728977181017399,0.00022509974041895475
pde_elliptic,1,oracle_interval_richardson,8,3,20,8.002074582114365e-14,3.0490943989149076e-15,7.669110930981697e-14,3.652922255732556e-15,0.00021854269834875595
pde_elliptic,1,oracle_interval_hb,8,3,20,7.695854214583454e-14,4.855240465908634e-18,7.242535640106594e-14,3.4826246935003026e-15,0.00021854269834875595
pde_elliptic,1,oracle_interval_chebyshev,8,3,20,7.687622240182268e-14,4.4481165758183336e-18,7.376589295622973e-14,3.480448559979688e-15,0.00021854269652976654
pde_elliptic,1,same_preconditioner_pcg,8,3,20,2.4241058162524642e-11,nan,2.2496043095329887e-11,1.1937377220614179e-12,0.00021854270926269237
pde_elliptic,1,identity_pcg,8,0,8,3.014475192901489e-11,nan,2.696717724659854e-11,1.41957569288996e-12,0.00021854271653864998
pde_elliptic,1,identity_pcg_equal_work,20,0,20,3.014475192901489e-11,nan,2.696717724659854e-11,1.41957569288996e-12,0.00021854271653864998
pde_elliptic,1,learned_moment_guarded_pcg,8,3,20,4.42460805771816e-07,nan,4.459453661042741e-07,1.8890315311992367e-08,0.00021854557235201355
pde_elliptic,2,learned_moment_chebyshev,8,3,20,2.442785635992095e-07,2.442703213034747e-07,2.328920858236898e-07,1.1826956192173554e-08,0.00022745390742784366
pde_elliptic,2,initial_moment_chebyshev,8,3,20,0.24028576537966728,nan,0.45681298044572566,0.012293415376916528,0.0002369802004977828
pde_elliptic,2,oracle_interval_richardson,8,3,20,8.323362818743983e-14,6.116967469060699e-15,8.176054205903116e-14,3.832493293490027e-15,0.0002274557700729929
pde_elliptic,2,oracle_interval_hb,8,3,20,7.716851060203056e-14,1.0204733854934225e-17,7.421863058045013e-14,3.50952442173207e-15,0.0002274557718919823
pde_elliptic,2,oracle_interval_chebyshev,8,3,20,7.706366401678648e-14,9.022934828817941e-18,7.431728070984412e-14,3.5030903329949465e-15,0.0002274557718919823
pde_elliptic,2,same_preconditioner_pcg,8,3,20,2.4412815952806755e-11,nan,2.2123099878221333e-11,1.207028116237234e-12,0.00022745575188309886
pde_elliptic,2,identity_pcg,8,0,8,3.1309772483001375e-11,nan,2.454798042683204e-11,1.4849790369803398e-12,0.00022745575734006707
pde_elliptic,2,identity_pcg_equal_work,20,0,20,3.1309772483001375e-11,nan,2.454798042683204e-11,1.4849790369803398e-12,0.00022745575734006707
pde_elliptic,2,learned_moment_guarded_pcg,8,3,20,2.1087123158736176e-07,nan,2.1688722292295678e-07,9.9951807941423e-09,0.00022745429851056542
