case,beta,n_tokens,time,trial,geometry,speed,selected_group_mass,extreme_eigenspace_mass,min_correlation,max_correlation,mean_abs_correlation,mean_vector_norm,mass_0,mass_1,mass_2,mass_3
nd_simple,0.03,3,0.0,0,nonconverged,0.8598541223050972,0.3989457864956911,0.29090815585093716,-0.2754666478282552,0.7212133987800147,0.45951332821232915,0.7191981165746685,0.2845134170150166,0.3101460576533719,0.3989457864956911,0.006394738835920539
nd_simple,0.03,3,0.0,1,nonconverged,1.4598099376219433,0.354818788515386,0.5420207587757163,-0.8035856767446468,0.34768046036450745,0.4178281037554705,0.45749963192762455,0.354818788515386,0.3112739635931138,0.14670527763116994,0.18720197026033034
nd_simple,0.03,3,0.0,2,nonconverged,1.303666005412879,0.3468177043051545,0.5046638797538299,-0.2666505998161981,0.33438100059825415,0.2461345586445263,0.5637884404756667,0.3468177043051545,0.27565105723489075,0.21968506301127935,0.1578461754486754
nd_simple,0.03,3,0.0,3,nonconverged,1.7089954481527565,0.3318148575852373,0.3848396405591551,-0.12627287921693095,0.6804357110384996,0.2945364878026829,0.6628661602245797,0.16424062309900164,0.28334550185560764,0.3318148575852373,0.22059901746015342
nd_simple,0.03,3,0.0,4,nonconverged,1.2042162507099432,0.5532555294270924,0.29516051961002643,-0.14360593731562818,0.8701468876284576,0.43492282515359443,0.7479685972061672,0.1468410857586759,0.5532555294270924,0.15158395096288127,0.14831943385135055
nd_simple,0.03,3,0.0,5,nonconverged,1.8545484294710044,0.4704625907109133,0.2753954502093605,-0.41835416193578434,0.7604692067639517,0.42342131579734604,0.6554990674661507,0.01015691545736957,0.2541419590797262,0.4704625907109133,0.26523853475199094
nd_simple,0.03,3,0.0,6,nonconverged,0.4588966616510854,0.3396972662735134,0.49822859248425816,-0.730156571125292,0.21685389474904063,0.5169401170718648,0.2916952131868266,0.29985817475778515,0.3396972662735134,0.16207414124222855,0.19837041772647301
nd_simple,0.03,3,0.0,7,nonconverged,1.1963607680574233,0.5853641835660003,0.7047345044707991,-0.5589594771580212,0.7587692137237613,0.44488096656188253,0.6176521756475359,0.5853641835660003,0.21025494982290194,0.08501054570629907,0.11937032090479882
nd_simple,0.03,3,0.0,8,nonconverged,0.5340658167092368,0.6175193761345619,0.29081697707075777,-0.9501254655431794,0.14583980375158034,0.5012831016935876,0.25290766976744616,0.13499802774943648,0.6175193761345619,0.09166364679468036,0.1558189493213213
nd_simple,0.03,3,0.0,9,nonconverged,1.7290779361380082,0.5355519188644191,0.3397721699971512,-0.6133248337836487,0.17686320528110688,0.26546027519413257,0.48756336523006605,0.11494135080828577,0.5355519188644191,0.12467591113842968,0.22483081918886547
nd_simple,0.03,3,0.0,10,nonconverged,1.806216081609487,0.2948136567838739,0.5793817421240665,0.021994383458455863,0.41021651190272523,0.23719172992769613,0.7010429040259454,0.2948136567838739,0.18325882398061433,0.23735943389531944,0.28456808534019257
nd_simple,0.03,3,0.0,11,nonconverged,1.4165072825316034,0.3549745221606857,0.4968100514304113,-0.3825115857136405,0.2831695746897378,0.2978914665479842,0.6015999461097553,0.3549745221606857,0.25933724640625044,0.24385270216333843,0.1418355292697256
nd_simple,0.03,3,0.0,12,nonconverged,1.385359987904823,0.34545133053060156,0.46643608919845747,-0.28807099177177625,0.4786314559704554,0.29099365248440673,0.5933486804171896,0.1209847586678559,0.26729600780662627,0.2662679029949164,0.34545133053060156
nd_simple,0.03,3,0.0,13,nonconverged,1.2545527447865186,0.37151114032045296,0.5726133253065546,-0.2177284454082209,0.8458728179644763,0.42470988804610416,0.6527916073450564,0.30022618349761104,0.37151114032045296,0.05587553437299247,0.27238714180894363
nd_simple,0.03,3,0.0,14,nonconverged,0.2144577220249689,0.5370699057756942,0.3383297736712535,-0.921213329386037,0.03092182402313136,0.433849666427375,0.24050624790412323,0.2627917219719903,0.12460032055305247,0.5370699057756942,0.07553805169926317
nd_simple,0.03,3,0.0,15,nonconverged,0.7686948899375349,0.3998063891474455,0.4060949471056363,-0.6778180500324109,0.695087060697039,0.5112436662789759,0.5490280548502964,0.16023234191634417,0.3998063891474455,0.1940986637469182,0.24586260518929218
nd_simple,0.03,3,0.0,16,nonconverged,2.102944763289445,0.4235005971285008,0.6690322323953574,-0.11976478019258796,0.7645458060909103,0.29756667224218486,0.691724167303281,0.2455316352668566,0.10755358924474401,0.22341417835989863,0.4235005971285008
nd_simple,0.03,3,0.0,17,nonconverged,0.70960965623383,0.4246786029657576,0.17649173682688424,-0.9415568138949274,0.3822149276761092,0.5715055668059502,0.34957534712669386,0.07783986692044487,0.4246786029657576,0.39882966020735827,0.09865186990643936
nd_simple,0.03,3,0.0,18,nonconverged,2.5292309851714805,0.5997970337951669,0.6096006932772088,0.02936921435627149,0.9475499713208303,0.4150248798442726,0.7810355859772642,0.00980365948204188,0.1070897456160233,0.28330956110676786,0.5997970337951669
nd_simple,0.03,3,0.0,19,nonconverged,0.5397456366196677,0.3643302898147638,0.38055619957672676,-0.684799255504195,0.09836660406558005,0.4390069541541088,0.2904832546976518,0.06274139757254388,0.3643302898147638,0.25511351060850945,0.3178148020041829
nd_simple,0.03,3,0.0,20,nonconverged,1.4104402202056125,0.7012845024874381,0.2753805391754355,-0.7408142942452708,0.9775778870684495,0.7835373298385785,0.49543331979213767,0.14613898604441591,0.7012845024874381,0.023334958337126423,0.1292415531310196
nd_simple,0.03,3,0.0,21,nonconverged,0.6097477804100512,0.6914052491840437,0.7208687089024368,0.4630461132764544,0.8172792606352081,0.6340330046562338,0.8694952576662832,0.6914052491840437,0.12488288667798102,0.1542484044195822,0.02946345971839313
