method,context_size,context_measurements,regime_class,n_tasks,raw_condition_median,transformed_condition_median,condition_reduction_median,geometry_commutator_mean,energy_factor_median,transformed_mean_residual_median,transformed_covariance_residual_median,gain_spread_median
context-PCG,8,64,All,168,445.68699645996094,168.81344604492188,2.131689190864563,0.2281837728584096,0.014372908975929001,2.685402137103665e-06,3.190324946444889e-07,8.53840970993042
context-PCG,8,64,ID,48,1829.6370849609375,170.1194305419922,5.464687824249268,0.21627579505244887,0.0146505129523575,1.8511800021769886e-06,3.2062065713489574e-07,87.85993480682373
context-PCG,8,64,OOD,120,406.63902282714844,168.46349334716797,1.8420119881629944,0.23294696398079393,0.01429924974218005,2.783271156658884e-06,3.190324946444889e-07,7.365616798400879
context-PCG,12,144,All,168,1489.9171142578125,261.5064697265625,5.680344343185425,0.22148064519500443,0.03802274167537685,3.484065132397518e-06,4.3863465748472663e-07,78.1386833190918
context-PCG,12,144,ID,48,5079.18408203125,312.13941955566406,10.689458847045898,0.218567533728977,0.0532340258359909,3.45128103163006e-06,4.6912349205285864e-07,359.3756790161133
context-PCG,12,144,OOD,120,1234.2411499023438,230.41522979736328,4.63962459564209,0.22264588978141545,0.02934442460536955,3.484065132397518e-06,4.3210425815232156e-07,46.35305213928223
context-PCG,16,256,All,168,2769.33056640625,324.1280212402344,8.902470588684082,0.22459454932028336,0.05696229636669155,4.3172262849111576e-06,5.45139357654989e-07,160.91543579101562
context-PCG,16,256,ID,48,9666.602416992188,399.3288116455078,12.005300998687744,0.2344069631459812,0.08109688386321065,5.767228685726877e-06,7.355931757047074e-07,542.5743560791016
context-PCG,16,256,OOD,120,2542.6746826171875,312.2020568847656,6.392988920211792,0.22066958379000423,0.05324549600481985,4.0799211546982406e-06,5.284304904762394e-07,127.97925186157227
context-PCG,24,576,All,168,6717.66650390625,496.4872283935547,12.281439304351807,0.21544335494261407,0.11292070895433425,0.01031122077256435,0.0016576827038079,308.38946533203125
context-PCG,24,576,ID,48,23373.45556640625,434.4860076904297,23.199667930603027,0.20026146636034048,0.0925884991884231,0.0078551617916673,0.001315847330261,898.8273010253906
context-PCG,24,576,OOD,120,5944.821533203125,504.2589721679688,9.386603832244873,0.22151611037552354,0.11546428129076955,0.0107095441780984,0.00169288110919295,269.14984130859375
context-PCG,32,1024,All,168,11775.544921875,762.7435913085938,16.471176147460938,0.21828119944603666,0.19687011837959284,0.03988381102681155,0.0062187754083424494,437.67755126953125
context-PCG,32,1024,ID,48,45013.7998046875,887.1403198242188,25.65573501586914,0.2201250454721351,0.2330627292394638,0.048863898962736046,0.0067751046735793005,1153.4853515625
context-PCG,32,1024,OOD,120,10494.4921875,598.445556640625,13.91793727874756,0.2175436610355973,0.1459499299526214,0.0373526625335216,0.00554210226982825,373.6447296142578
context-PCG,48,2304,All,168,26624.7470703125,1085.1148071289062,23.220328330993652,0.22079704803902475,0.2864135801792145,0.1195852346718311,0.0123320911079645,592.8484497070312
context-PCG,48,2304,ID,48,93869.0185546875,1326.37109375,29.831846237182617,0.21660082554444668,0.34486545622348785,0.1398413777351379,0.01326712686568495,1326.6885986328125
context-PCG,48,2304,OOD,120,24018.3173828125,993.1174926757812,18.76009464263916,0.222475537036856,0.26223503053188324,0.10982242971658704,0.01198019646108145,556.0965270996094
hybrid-PCG,8,64,All,168,445.68699645996094,166.28182220458984,2.1921626329421997,0.2281837728584096,0.013842806220054599,2.545404981901811e-06,3.2723055198857764e-07,7.220278024673462
hybrid-PCG,8,64,ID,48,1829.6370849609375,163.7528305053711,5.34665584564209,0.21627579505244887,0.0133269899524748,1.499463394338818e-06,3.2471054112193087e-07,169.83160018920898
hybrid-PCG,8,64,OOD,120,406.63902282714844,166.28182220458984,1.8939465284347534,0.23294696398079393,0.013842806220054599,2.7889381044587935e-06,3.276484505931876e-07,5.6911396980285645
hybrid-PCG,12,144,All,168,1489.9171142578125,254.86749267578125,5.825225591659546,0.22148064519500443,0.0361176040023565,3.4652002796065062e-06,4.370470492176538e-07,79.67843627929688
hybrid-PCG,12,144,ID,48,5079.18408203125,338.61724853515625,9.615476608276367,0.218567533728977,0.061539489775895996,3.4426276442900416e-06,4.883416409029451e-07,347.0573272705078
hybrid-PCG,12,144,OOD,120,1234.2411499023438,220.64292907714844,5.0101354122161865,0.22264588978141545,0.0267333444207906,3.507351379994361e-06,4.1737429512522795e-07,37.5793571472168
hybrid-PCG,16,256,All,168,2769.33056640625,319.83018493652344,8.703340530395508,0.22459454932028336,0.055619867518544155,4.038362703795428e-06,5.306612251843035e-07,169.89537811279297
hybrid-PCG,16,256,ID,48,9666.602416992188,397.720947265625,11.463754653930664,0.2344069631459812,0.08059474080801005,5.873048166904482e-06,6.443171400860592e-07,402.49562072753906
hybrid-PCG,16,256,OOD,120,2542.6746826171875,310.51365661621094,6.762131214141846,0.22066958379000423,0.05272745899856085,3.8458247217931785e-06,5.174566695131944e-07,136.78419494628906
hybrid-PCG,24,576,All,168,6717.66650390625,518.2048950195312,12.997097492218018,0.21544335494261407,0.12001893296837804,0.01049952534958715,0.002055657794699,307.5720977783203
hybrid-PCG,24,576,ID,48,23373.45556640625,570.0869750976562,22.26417350769043,0.20026146636034048,0.13684833794832224,0.00732167414389545,0.00207539869006715,359.1418762207031
hybrid-PCG,24,576,OOD,120,5944.821533203125,496.4402160644531,10.524407863616942,0.22151611037552354,0.1129056960344314,0.01112946169450875,0.0020370543934404,274.5318603515625
hybrid-PCG,32,1024,All,168,11775.544921875,785.3721618652344,16.67117977142334,0.21828119944603666,0.2036119326949119,0.052571315318345954,0.00666749966330825,304.8384552001953
