seed,method,network_width,depth,context_size,context_measurements,scenario,regime,task,raw_condition,transformed_condition,condition_reduction,geometry_commutator,pcg_energy_error_factor,mean_relative_residual,covariance_relative_residual,gain_spread
17,identity-CG,0,32,8,64,ID one obstacle,ID,0,4332.44970703125,4332.44970703125,1.0,0.26828980445861816,0.7563464045524597,7.744604226900265e-05,2.9724312753387494e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,1,3037.3740234375,3037.3740234375,1.0,0.2553407549858093,0.6261011362075806,6.073485565138981e-05,1.970813627849566e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,2,4312.630859375,4312.630859375,1.0,0.2505682110786438,0.7546588182449341,8.352055738214403e-05,2.6690895538195036e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,3,4701.56787109375,4701.56787109375,1.0,0.20191539824008942,0.7863922119140625,9.739791858009994e-05,2.3087980025593424e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,4,5063.70556640625,5063.70556640625,1.0,0.12327829003334045,0.8135915994644165,9.397638496011496e-05,2.773224650809425e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,5,5559.25927734375,5559.25927734375,1.0,0.2725476026535034,0.847666323184967,9.767435403773561e-05,3.29335830429045e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,6,4125.73291015625,4125.73291015625,1.0,0.2357177734375,0.7383604049682617,9.022980520967394e-05,4.55169492852292e-06,1.0
17,identity-CG,0,32,8,64,ID one obstacle,ID,7,3956.587158203125,3956.587158203125,1.0,0.2742137014865875,0.7229580879211426,7.46471414458938e-05,2.523396460674121e-06,1.0
17,population-PCG,128,32,8,64,ID one obstacle,ID,0,4332.44970703125,1052.992431640625,4.114416599273682,0.26828980445861816,0.27810609340667725,1.0708473382692318e-05,1.0676071724446956e-06,35.53108596801758
17,population-PCG,128,32,8,64,ID one obstacle,ID,1,3037.3740234375,427.2294616699219,7.109467506408691,0.2553407549858093,0.09020969271659851,6.3009683799464256e-06,8.8451167812309e-07,35.53108596801758
