method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,risk_mean,risk_std,solver_risk_mean,solver_risk_std,n_holdout,n_seeds,training_seconds,transformed_mean_relative_residual,transformed_covariance_relative_residual,simultaneous_configurations,delta,hoeffding_slack,risk_ucb,solver_risk_ucb
context-PCG,32,34564,128,8,64,All,0.4886610473766398,0.27535233996677155,1.8730468531178043e-05,2.763499522855918e-05,168,3,1.1397954319836572,1.8731578600512304e-05,8.110730395030498e-07,4860,0.05,0.18487870855329694,0.6735397559299368,0.18489743902182812
context-PCG,32,34564,128,8,64,ID,0.2360714110125237,0.23405296095598865,4.338588395421111e-05,4.1610732501296974e-05,48,3,1.1397954319836572,4.3389461986005936e-05,1.4181541783860514e-06,4860,0.05,0.34587639275783505,0.5819478037703587,0.34591977864178924
context-PCG,32,34564,128,8,64,OOD,0.5896969019222862,0.22076259459118136,8.868302361964814e-06,6.678861484445967e-06,120,3,1.1397954319836572,8.868425246314851e-06,5.68240583949849e-07,4860,0.05,0.21875143799954522,0.8084483399218314,0.21876030630190718
context-PCG,32,34564,128,12,144,All,0.26174414147500125,0.16518958351846863,4.418904526291471e-05,5.1576505555087243e-05,168,3,1.1397954319836572,4.4193642942158255e-05,1.4682187755947023e-06,4860,0.05,0.18487870855329694,0.44662285002829816,0.18492289759855984
context-PCG,32,34564,128,12,144,ID,0.14996435063445923,0.1541485703770452,9.760713064597505e-05,7.078073399146458e-05,48,3,1.1397954319836572,9.762156575256371e-05,2.732245934093195e-06,4860,0.05,0.34587639275783505,0.4958407433922943,0.34597399988848104
context-PCG,32,34564,128,12,144,OOD,0.3064560578112181,0.14782967468995167,2.2821811109690562e-05,1.1960076854211587e-05,120,3,1.1397954319836572,2.2822473817996068e-05,9.62607912195305e-07,4860,0.05,0.21875143799954522,0.5252074958107633,0.2187742598106549
context-PCG,32,34564,128,16,256,All,0.25234870217667116,0.17012796965982055,0.01755345215725506,0.017692664054778512,168,3,1.1397954319836572,0.018205245939660494,0.0007077502620835998,4860,0.05,0.18487870855329694,0.43722741072996807,0.202432160710552
context-PCG,32,34564,128,16,256,ID,0.1387761606642808,0.14971028655107707,0.03310952709126439,0.018648899498136078,48,3,1.1397954319836572,0.03463604955080271,0.0008764271397012209,4860,0.05,0.34587639275783505,0.4846525534221159,0.37898591984909946
context-PCG,32,34564,128,16,256,OOD,0.2977777187816273,0.15646718817259034,0.011331022183651332,0.01285619082898885,120,3,1.1397954319836572,0.011632924495203608,0.0006402795110365512,4860,0.05,0.21875143799954522,0.5165291567811725,0.23008246018319656
context-PCG,32,34564,128,24,576,All,0.22243052819621964,0.15962458573339333,0.16494411766299627,0.08139562012740657,168,3,1.1397954319836572,0.20964600719023668,0.007000186082829359,4860,0.05,0.18487870855329694,0.4073092367495166,0.34982282621629324
context-PCG,32,34564,128,24,576,ID,0.127977710404315,0.1601166239036596,0.22691954380174248,0.05970717879798521,48,3,1.1397954319836572,0.30139701627194876,0.007097842329433913,4860,0.05,0.34587639275783505,0.47385410316215004,0.5727959365595775
context-PCG,32,34564,128,24,576,OOD,0.2602116553129815,0.14350630347497917,0.1401539472074978,0.07563466231458309,120,3,1.1397954319836572,0.17294560355755187,0.006961123584187537,4860,0.05,0.21875143799954522,0.47896309331252673,0.358905385207043
context-PCG,32,34564,128,32,1024,All,0.21027888399806996,0.16008843853448676,0.30852682027469297,0.11958314786925664,168,3,1.1397954319836572,0.49174937494986115,0.015302021161741751,4860,0.05,0.18487870855329694,0.3951575925513669,0.49340552882798994
context-PCG,32,34564,128,32,1024,ID,0.10446208259575697,0.11835856918860241,0.39819179291084333,0.09312399777397273,48,3,1.1397954319836572,0.7022798092414936,0.01697140065759105,4860,0.05,0.34587639275783505,0.450338475353592,0.7440681856686784
context-PCG,32,34564,128,32,1024,OOD,0.2526056045589951,0.15527326506119804,0.2726608312202328,0.110013705125081,120,3,1.1397954319836572,0.4075372012332082,0.014634269363402033,4860,0.05,0.21875143799954522,0.47135704255854033,0.49141226921977804
context-PCG,32,34564,128,48,2304,All,0.19786407903020797,0.14770489518499255,0.47768710062020475,0.1366179992728298,168,3,1.1397954319836572,1.065757635182568,0.02975528486560848,4860,0.05,0.18487870855329694,0.3827427875835049,0.6625658091735017
