method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
context-PCG,1,8,0.5014825587939173,2.2575046803270067,0.39821322244547663,0.5656997010094273,1.2381074212136722,0.38707485812760534,0.5484406885191168,0.9720291449654302,-0.06421714221551,1.4747682232516943
context-PCG,2,8,0.5736636683410702,1.9614581329127152,0.2252883138135075,0.600870004880463,1.3231133399974733,0.20413176380541348,0.6745559937252822,0.9060912230644715,-0.02720633653939286,1.438651072439536
context-PCG,4,8,0.5268927964094715,1.4668227007523889,0.090392088606244,0.5504411838055219,1.109096999235806,0.08778004268450393,0.7561220580148563,0.9711031577872,-0.023548387396050363,1.3716726650048432
context-PCG,8,8,0.5112200638631837,0.2130491149499892,0.00737961348475629,0.5106198362163429,0.2027311883089697,0.011143811187101437,0.951570197118906,1.5100806038311718,0.0006002276468408674,1.2866710969459783
context-PCG,16,8,0.511338911839996,2.136233526005479e-05,9.525204566683345e-07,0.5113357206754252,2.4677841805172696e-05,3.4759990110816694e-06,1.1552033756963611,3.6492644192018697,3.1911645708149194e-06,1.1835134579889466
context-PCG,32,8,0.511338911839996,1.9209770222177655e-05,7.524974369758974e-07,0.5113357206754252,1.931244261280945e-05,8.74677335174635e-07,1.0053448005595225,1.1623658662410183,3.1911645708149194e-06,1.0934110739397511
context-PCG,48,8,0.511338911839996,1.920976276824593e-05,7.58958706336714e-07,0.5113357206754252,1.932939015738285e-05,1.124750887981918e-06,1.0062274266777862,1.4819658547838297,3.1911645708149194e-06,1.1145714689753912
context-PCG,64,8,0.511338911839996,1.9209795295200604e-05,7.700793970753596e-07,0.5113357206754252,1.933152674162537e-05,1.3785802192922164e-06,1.00633694657096,1.7901793302454878,3.1911645708149194e-06,1.0624675238083583
context-PCG,96,8,0.511338911839996,1.9209792388742463e-05,7.938176917915165e-07,0.5113357206754252,1.9332057340935792e-05,2.027975348624301e-06,1.0063647201239396,2.5547117047082843,3.1911645708149194e-06,1.0585445943097116
context-PCG,128,8,0.511338911839996,1.9209788202292333e-05,7.983559276526973e-07,0.5113357206754252,1.933227343795959e-05,2.749006003658191e-06,1.0063761887625935,3.443333867064453,3.1911645708149194e-06,1.0236263506947927
context-PCG,1,12,0.6237507687982206,3.5359057755697343,0.45588090519110364,0.6971703420236972,1.6084292868063563,0.3970635515593347,0.45488465725509697,0.8709808790804412,-0.07341957322547665,1.5079157677931199
context-PCG,2,12,0.7425413863281786,3.110406451282047,0.27997975849679535,0.7330107950906287,1.9224003972042174,0.23105323172750922,0.6180544013506153,0.8252497715121568,0.009530591237549846,1.4791233248020648
context-PCG,4,12,0.7506079096965417,2.133958007608141,0.1337136978593965,0.7521153465529613,1.7195449773044813,0.12077798513651244,0.8058007567036631,0.9032581333852101,-0.0015074368564196305,1.4037004744565331
context-PCG,8,12,0.7366204381128763,1.1038715885508628,0.050374913960695225,0.7374385405804736,1.0704815311446076,0.05547512738987622,0.9697518644808235,1.1012451045208813,-0.0008181024675973925,1.3090071759537816
context-PCG,16,12,0.7385881000830492,0.053200327511181686,0.0024828566026555737,0.7384973011442539,0.12283549542026079,0.003491079494251583,2.3089236695853637,1.4060737500980325,9.079893879526679e-05,1.1981675732472579
context-PCG,32,12,0.738233445184776,5.2488375870100685e-05,1.5247436523950563e-06,0.7382337680423819,4.550562243820628e-05,1.4899023962503373e-06,0.8669657173394836,0.9771494335523282,-3.228576059832733e-07,1.1071728263788643
context-PCG,48,12,0.738233445184776,5.2215655119061085e-05,1.5338148518903187e-06,0.7382337680423818,4.925028992731502e-05,1.7321264020135156e-06,0.9432092696149365,1.1292930172626716,-3.22857605872251e-07,1.1343589515380308
context-PCG,64,12,0.738233445184776,5.2214288792750075e-05,1.5722281313893898e-06,0.7382337680423818,4.96538974738507e-05,2.1417262849982286e-06,0.9509637806413083,1.3622236126162994,-3.22857605872251e-07,1.1035243244296977
context-PCG,96,12,0.738233445184776,5.221349361287042e-05,1.6837540288165764e-06,0.7382337680423818,4.9764025599560584e-05,3.3652777424836564e-06,0.9530874522308146,1.9986753913509185,-3.22857605872251e-07,1.054334971607138
context-PCG,128,12,0.738233445184776,5.221337504291195e-05,1.732052470887744e-06,0.7382337680423818,4.97747347237306e-05,4.976339891440841e-06,0.9532947196541665,2.8730884168250825,-3.22857605872251e-07,1.0534568021055348
context-PCG,1,16,0.6354054540733982,4.096985440169062,0.479547215004762,0.7084582380671263,1.7144784054585867,0.39767290598579813,0.41847315068511415,0.8292674705281088,-0.07305278399372805,1.5240165213315573
context-PCG,2,16,0.7404903377508306,3.6265877669765834,0.31103943589897376,0.7462457553042112,2.212238895751181,0.23874181491278462,0.610005613512418,0.7675612393739308,-0.005755417553380604,1.4926989216145088
context-PCG,4,16,0.7458811181529613,2.549037735377039,0.1596775160481532,0.7647178558864735,2.055151616888387,0.14318915386684233,0.8062460544878519,0.896739612505379,-0.018836737733512132,1.4131885420610772
context-PCG,8,16,0.7458837414631645,1.4152422087887924,0.0640391326465067,0.7495860851165995,1.415180822745675,0.0796726158420954,0.9999566250619604,1.2441239059542681,-0.003702343653435025,1.3220665144953234
context-PCG,16,16,0.7475048388010487,0.4172092102346055,0.015365557950211727,0.7457908774804082,0.4742786091796699,0.024994536415241346,1.1367884446102545,1.6266598646290575,0.0017139613206405002,1.2136406228165084
context-PCG,32,16,0.7476047920544868,0.00043719210142019113,2.552137953821385e-05,0.7475376776867838,0.01841804202434729,0.0007311007187578612,42.12803013713522,28.646598733550604,6.711436770301393e-05,1.1284250464393304
context-PCG,48,16,0.7476047920544868,8.387193623720709e-05,2.3802909598067517e-06,0.747605835640433,8.134405162589738e-05,2.6375104678912804e-06,0.9698601853645022,1.1080622127411732,-1.0435859462143426e-06,1.1238420212847484
context-PCG,64,16,0.7476047920544868,8.373592554886618e-05,2.410709090974078e-06,0.747605835640433,8.596818792651887e-05,2.79293527344613e-06,1.0266583591573248,1.1585534247591893,-1.0435859462143426e-06,1.1028181275556488
context-PCG,96,16,0.7476047920544868,8.375843156369475e-05,2.5569098246099506e-06,0.747605835640433,8.794559048076812e-05,3.949083792674303e-06,1.0499908945153684,1.544475192149854,-1.0435859462143426e-06,1.0723728259609482
context-PCG,128,16,0.7476047920544868,8.375827389087781e-05,2.66749056874817e-06,0.747605835640433,8.821063987137246e-05,5.950441864534978e-06,1.0531573273142578,2.2307264866272676,-1.0435859462143426e-06,1.0468505816935774
context-PCG,1,24,0.650107394167397,4.576093372844515,0.5373473703151658,0.7295638411227753,1.7425530453523,0.39891158416867256,0.3807949059110049,0.7423718923844409,-0.07945644695537823,1.5710708722826585
context-PCG,2,24,0.77020790997709,3.9847388977096196,0.3662577945561636,0.7557262957505382,2.3879713259992146,0.24950087265599338,0.5992792469719389,0.6812165539257454,0.014481614226551809,1.5157862556515125
context-PCG,4,24,0.783198810559582,3.0469504715431306,0.18554323419396362,0.7800454519596934,2.277083452258791,0.18113471915768012,0.7473319548596273,0.9762399580052866,0.0031533585998885227,1.4487594484555548
context-PCG,8,24,0.7844735617055532,1.6427956269610495,0.07320099625559076,0.7861698419217766,1.7731248711546261,0.11702449035476002,1.0793338149034815,1.5986734654013977,-0.001696280216223478,1.3621793469854246
context-PCG,16,24,0.7770882611517733,0.7406861083138556,0.025097486698844734,0.7700533252100957,0.9666793797874734,0.04793383775921978,1.3051134197562893,1.90990589354217,0.007034935941677589,1.243415050718437
