scenario,method,n_geometry_batches,mean_relative_residual,transformed_mean_relative_residual,covariance_relative_residual,transformed_covariance_relative_residual,average_precision,numerical_coverage_95
ID four obstacles,angular-Jacobi-PCG,192,0.4166460440222484,0.1440831808383033,0.012381990570550694,0.011891355301789449,0.8191404739142715,0.9665892614672581
ID four obstacles,context-PCG,192,0.34845119761303067,0.11492312577562791,0.010720173326869023,0.010773117884733995,0.819171556387105,0.9823919720947742
ID four obstacles,exact,192,0.00014330022515683958,0.00014330022515683958,4.154044583870586e-06,4.154044583870586e-06,0.8194417645246758,1.0
ID four obstacles,hybrid-PCG,192,0.4453952968663846,0.16308517144110127,0.013148510078281057,0.012917212071746032,0.8185710283698308,0.9571142800462743
ID four obstacles,identity-CG,192,0.927038629927362,0.9270386280647168,0.031999111239808024,0.03199911148840324,0.8176784981362862,0.20300541654190354
ID four obstacles,population-PCG,192,0.42362352753601346,0.16763692157110197,0.013776008630581246,0.013604752807320089,0.8214988036514352,0.9819003706797957
OOD half aperture,angular-Jacobi-PCG,192,0.8610468590438055,0.30082156403417076,0.020589304371242127,0.018467467977946656,0.5284674601868565,0.7182052356850667
OOD half aperture,context-PCG,192,0.761259351662981,0.22878229322183563,0.01911613955720284,0.018164065164455626,0.5272484231807304,0.7930401501362212
OOD half aperture,exact,192,0.00022191439228431563,0.00022191439228431563,5.796499972750742e-06,5.796499972750742e-06,0.5268904507530682,1.0
OOD half aperture,hybrid-PCG,192,0.8673617842141539,0.34548819017557736,0.020730216974394908,0.019975787097791856,0.5276224928728378,0.7173864519960867
OOD half aperture,identity-CG,192,0.972225085599348,0.972225092118606,0.02380814727742589,0.023808149139464704,0.5264580295582764,0.2763705030374694
OOD half aperture,population-PCG,192,0.5283890881595047,0.21091814024354483,0.014404812791932833,0.014099891341781237,0.5269444390946049,0.9077762812376022
OOD six obstacles,angular-Jacobi-PCG,192,0.22722930131809937,0.10321653894546516,0.00891699099884131,0.00884504758081064,0.7816172808996265,0.9952932307496667
OOD six obstacles,context-PCG,192,0.23111862246393378,0.10972406938041479,0.009138760718390843,0.009072852910321623,0.7815675292456693,0.9974705680118253
OOD six obstacles,exact,192,0.0001049277385902379,0.0001049277385902379,3.832147143908078e-06,3.832147143908078e-06,0.7817517014112907,1.0
OOD six obstacles,hybrid-PCG,192,0.22475752141811725,0.11408311800187217,0.008671464433973547,0.009106809189082268,0.7813794672986645,0.9945259315427393
OOD six obstacles,identity-CG,192,0.8067859151827482,0.8067859158036299,0.035505224824494946,0.0355052245977276,0.779066376759903,0.17367366474309162
OOD six obstacles,population-PCG,192,0.5240223081200384,0.24270879978818505,0.020735101824660235,0.019490901145521343,0.7868530374507768,0.9732856883977851
OOD wavenumber 12,angular-Jacobi-PCG,192,0.7303951283684,0.18474958199658428,0.017842644113746503,0.01769894550549599,0.8562730124174697,0.8161039659753442
OOD wavenumber 12,context-PCG,192,0.6615922953351401,0.19075528134514264,0.01699038514137399,0.017195617033697347,0.8557743599582274,0.8824720149083684
OOD wavenumber 12,exact,192,0.00015636093168793907,0.00015636093168793907,3.7942119120633797e-06,3.7942119120633797e-06,0.8556967948785067,1.0
OOD wavenumber 12,hybrid-PCG,192,0.7279299892252311,0.19422166575774702,0.01790229286477062,0.018111144821887085,0.8564053572929948,0.8000172574538738
OOD wavenumber 12,identity-CG,192,1.3784075909061357,1.3784075800019007,0.04022189045645059,0.04022189124225402,0.8523270349338854,0.09081864970357852
OOD wavenumber 12,population-PCG,192,0.8686589359228188,0.3561496371209311,0.024160058233974224,0.02273899935365378,0.8537303356736271,0.7381400653005888
