method,risk_type,regime,n_observations,n_reference,context_reference,parameter_reference,r_squared,rmse,fit_success,risk_floor,data_amplitude,data_exponent,context_amplitude,context_exponent,width_amplitude,width_exponent,overfit_amplitude
context-PCG,localization,All,270,128.0,8.0,34564.0,0.9834338530104713,0.01281737555254631,True,0.19711425513671887,0.0032955031450466504,0.020294106705520627,0.28201351279711007,2.9999999999999996,0.0034617672213557446,0.01000000002849613,2.0586156600296654e-45
context-PCG,solver,All,270,128.0,8.0,34564.0,0.5446854629427804,0.07275746007747982,True,3.09032941580022e-24,0.04083835428820188,1.2638533674779102,0.0023507472753059376,-2.360812558991335,7.109250124473188e-19,2.9999999802632886,1.0405414576567748e-25
hybrid-PCG,localization,All,270,128.0,8.0,33347.0,0.9832235388822521,0.012914933804186093,True,0.20322593528143096,1.1506413466967636e-08,0.010000000000002292,0.28229571303770573,2.9999999999999996,0.00015842261889474198,0.010000000000152533,1.725460186473291e-37
hybrid-PCG,solver,All,270,128.0,8.0,33347.0,0.9812966566694845,0.007643513576986894,True,3.2869551887009087e-19,1.170431626530081e-16,1.8164951674364858,0.0022668302042983695,-2.361992196440198,5.1618121786273936e-17,2.999927731062286,1.0514458771171087e-18
looped-Chebyshev,localization,All,270,128.0,8.0,31171.0,0.24702663690687476,0.08654607424903289,True,0.2956833230802299,1.5666269503000666e-17,1.1296598978026204,0.16918908192722487,2.9999999999999996,3.447462778260912e-14,0.010000000000000002,6.433627178421068e-27
looped-Chebyshev,solver,All,270,128.0,8.0,31171.0,0.7209065709666198,0.04044364947268489,True,2.53769470205493e-14,0.1778359833575971,0.42418391992919713,0.014759743066396868,-1.1558313563828138,0.04068923693195925,0.628328375633892,1.3933846437250174e-26
looped-HB,localization,All,270,128.0,8.0,31171.0,0.08743983808513744,0.1113555375219081,True,0.359630987662066,8.285440630808694e-20,0.8759394564609516,0.10406143885960907,2.999999999999999,4.666249445921948e-17,0.010000000000000002,2.8464895961612252e-24
looped-HB,solver,All,270,128.0,8.0,31171.0,0.8498138899359297,0.02737021137182229,True,1.2299291861271568e-15,0.16193235572054002,0.3448873051988079,0.025450576906113274,-0.9969164772709206,0.03610613532340055,0.7263897424312663,4.9855719563540753e-20
looped-Richardson,localization,All,270,128.0,8.0,31171.0,-0.2422239790757863,0.17661950095775117,True,9.260455475943023e-11,7.34767961802964e-19,0.3709065941007497,0.5373745669629827,-0.13810973887165962,9.384722413006778e-15,0.01000000000002569,7.119891266864096e-21
looped-Richardson,solver,All,270,128.0,8.0,31171.0,0.7180471139892526,0.044368870919357026,True,3.1149321274242466e-12,0.28227625016872443,0.19483835279388748,0.027717593954468142,-0.9146572166304985,0.0629135509612696,0.5899114131998772,0.00023164573315805596
population-PCG,localization,All,270,128.0,8.0,31171.0,0.9835456581403297,0.012766341563137922,True,0.1889359530281511,0.008170986940607534,0.010000000000007595,0.28189365989784854,2.9999999999999996,0.00693845257058844,0.010698557153706791,3.309768509567351e-05
population-PCG,solver,All,270,128.0,8.0,31171.0,0.7745029258004218,0.06190039280035895,True,8.909625677866951e-30,0.061929216556877956,1.5855700893555036,0.0040132536797336475,-2.442994774745192,2.328645382304227e-19,2.999999999936252,8.987898116821235e-30
