method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,risk_mean,risk_std,solver_risk_mean,solver_risk_std,n_holdout,n_seeds,training_seconds,transformed_mean_relative_residual,transformed_covariance_relative_residual,simultaneous_configurations,delta,hoeffding_slack,risk_ucb,solver_risk_ucb
context-PCG,32,34564,32768,8,64,All,0.483929023720402,0.2804097062985153,3.2556579790065825e-06,2.5251856461774337e-06,672,3,330.3123460699572,3.255674945507841e-06,3.703076541701951e-07,540,0.05,0.08312757968209951,0.5670566034025015,0.08313083534007852
context-PCG,32,34564,32768,8,64,ID,0.21661252293379993,0.22167832348565225,2.4205697567448725e-06,2.075651505383778e-06,192,3,330.3123460699572,2.4205799018517382e-06,4.199992909015293e-07,540,0.05,0.1555174612810835,0.3721299842148834,0.15551988185084026
context-PCG,32,34564,32768,8,64,OOD,0.5908556240350429,0.22461537139658816,3.589693267911267e-06,2.612132010204293e-06,480,3,330.3123460699572,3.5897129629702817e-06,3.504309994776615e-07,540,0.05,0.09835787871505426,0.6892135027500972,0.09836146840832218
context-PCG,32,34564,32768,12,144,All,0.25955470352196763,0.16915798939460094,4.13326023227636e-06,3.405307053560642e-06,672,3,330.3123460699572,4.1332888954010675e-06,5.533073584069419e-07,540,0.05,0.08312757968209951,0.34268228320406713,0.08313171294233178
context-PCG,32,34564,32768,12,144,ID,0.1306822661052878,0.13497221458009748,4.299899779282133e-06,4.7649087534477e-06,192,3,330.3123460699572,4.299940855527022e-06,8.173991237943786e-07,540,0.05,0.1555174612810835,0.28619972738637134,0.1555217611808628
context-PCG,32,34564,32768,12,144,OOD,0.31110367848863957,0.15329695087826323,4.0666044134740504e-06,2.678686384960493e-06,480,3,330.3123460699572,4.066628111350686e-06,4.476706522519673e-07,540,0.05,0.09835787871505426,0.4094615572036938,0.09836194531946774
context-PCG,32,34564,32768,16,256,All,0.24571199756685017,0.1589653845592677,4.5934818633614006e-05,0.00030206433588400475,672,3,330.3123460699572,4.602838267398787e-05,1.3821155696072104e-05,540,0.05,0.08312757968209951,0.3288395772489497,0.08317351450073313
context-PCG,32,34564,32768,16,256,ID,0.13082308843252957,0.14090810523907935,0.00014725451370919572,0.0005532099861523009,192,3,330.3123460699572,0.0001475818592394209,4.630111487516755e-05,540,0.05,0.1555174612810835,0.2863405497136131,0.1556647157947927
context-PCG,32,34564,32768,16,256,OOD,0.29166756122057846,0.14168555423478899,5.406940603381315e-06,4.717483364233845e-06,480,3,330.3123460699572,5.406992047814659e-06,8.291720244339255e-07,540,0.05,0.09835787871505426,0.3900254399356327,0.09836328565565765
context-PCG,32,34564,32768,24,576,All,0.22573505902515606,0.1576383770109431,0.02523758031027768,0.03292597117165035,672,3,330.3123460699572,0.0271780243194717,0.00378338249794021,540,0.05,0.08312757968209951,0.30886263870725555,0.1083651599923772
context-PCG,32,34564,32768,24,576,ID,0.1219732292274815,0.1350559365629831,0.03107345982974009,0.03819228164567757,192,3,330.3123460699572,0.033803131334783104,0.005189508148002106,540,0.05,0.1555174612810835,0.277490690508565,0.1865909211108236
context-PCG,32,34564,32768,24,576,OOD,0.26723979094422584,0.14661350888305252,0.022903228502492712,0.030297321421022438,480,3,330.3123460699572,0.024527981513347136,0.0032209322379154514,540,0.05,0.09835787871505426,0.3655976696592801,0.12126110721754697
context-PCG,32,34564,32768,32,1024,All,0.2121535460240703,0.15088023004222878,0.05487235466713271,0.048744609664031456,672,3,330.3123460699572,0.061175388631714366,0.00744576496765057,540,0.05,0.08312757968209951,0.2952811257061698,0.13799993434923222
context-PCG,32,34564,32768,32,1024,ID,0.09875801406020257,0.10729911377362983,0.058082454146157564,0.05009627948609574,192,3,330.3123460699572,0.06492221517692083,0.009225600248100768,540,0.05,0.1555174612810835,0.2542754753412861,0.21359991542724108
context-PCG,32,34564,32768,32,1024,OOD,0.25751175880961735,0.14171504526368825,0.05358831487552276,0.04818653267977012,480,3,330.3123460699572,0.05967665801363178,0.00673383085547049,540,0.05,0.09835787871505426,0.3558696375246716,0.15194619359057704
context-PCG,32,34564,32768,48,2304,All,0.20230495642083277,0.14890520319684658,0.11948056007757527,0.0663934932643432,672,3,330.3123460699572,0.14266704772515884,0.012890572241650168,540,0.05,0.08312757968209951,0.2854325361029323,0.2026081397596748
context-PCG,32,34564,32768,48,2304,ID,0.09989355489664403,0.11554379307641807,0.12436313054870389,0.055777544426794064,192,3,330.3123460699572,0.14673107168346175,0.014869030268528101,540,0.05,0.1555174612810835,0.25541101617772755,0.2798805918297874
context-PCG,32,34564,32768,48,2304,OOD,0.24326951703050825,0.14089485382391434,0.11752753188912379,0.07015041463531962,480,3,330.3123460699572,0.1410414381418377,0.012099189030898995,540,0.05,0.09835787871505426,0.3416273957455625,0.21588541060417804
context-PCG,64,79364,32768,8,64,All,0.4839282892336527,0.28041021748550854,3.273442995691674e-06,2.492060717946435e-06,672,3,329.947981729114,3.273459912361567e-06,3.542751779981418e-07,540,0.05,0.08312757968209951,0.5670558689157522,0.0831308531250952
context-PCG,64,79364,32768,8,64,ID,0.21661278443777254,0.22167885115732974,2.41865894568391e-06,2.058426245487451e-06,192,3,329.947981729114,2.4186690107027196e-06,4.1032831221698984e-07,540,0.05,0.1555174612810835,0.37213024571885606,0.1555198799400292
context-PCG,64,79364,32768,8,64,OOD,0.5908544911520047,0.22461672287422815,3.615356615694779e-06,2.569073363897744e-06,480,3,329.947981729114,3.615376273025106e-06,3.318539243106026e-07,540,0.05,0.09835787871505426,0.689212369867059,0.09836149407166996
context-PCG,64,79364,32768,12,144,All,0.25955193255915354,0.1691569136501967,4.148392432784675e-06,3.423665500238242e-06,672,3,329.947981729114,4.148421346460482e-06,5.31568496394844e-07,540,0.05,0.08312757968209951,0.34267951224125304,0.0831317280745323
context-PCG,64,79364,32768,12,144,ID,0.13068195731642915,0.13497190461280192,4.275197026331043e-06,4.777031787724166e-06,192,3,329.947981729114,4.275238005983321e-06,7.631200573676722e-07,540,0.05,0.1555174612810835,0.28619941859751263,0.15552173647810985
context-PCG,64,79364,32768,12,144,OOD,0.3110999226562433,0.15329655839099116,4.097670595366128e-06,2.703963051497547e-06,480,3,329.947981729114,4.097694682651346e-06,4.389478720057127e-07,540,0.05,0.09835787871505426,0.40945780137129756,0.09836197638564963
context-PCG,64,79364,32768,16,256,All,0.24571128647156681,0.15896558626370755,6.11730879053389e-05,0.0003471372340912481,672,3,329.947981729114,6.129755661936673e-05,3.07539788523088e-05,540,0.05,0.08312757968209951,0.3288388661536663,0.08318875277000484
context-PCG,64,79364,32768,16,256,ID,0.13082308843252954,0.14090810523907932,0.00020070351032457136,0.0006292073649583974,192,3,329.947981729114,0.00020113903784549323,0.0001056779278739994,540,0.05,0.1555174612810835,0.28634054971361306,0.1557181647914081
context-PCG,64,79364,32768,16,256,OOD,0.2916665656871817,0.1416861948216267,5.360918937645918e-06,4.060232972950776e-06,480,3,329.947981729114,5.360964128916142e-06,7.843992436325683e-07,540,0.05,0.09835787871505426,0.39002444440223594,0.0983632396339919
context-PCG,64,79364,32768,24,576,All,0.2257307759668182,0.15751295719119998,0.023081339731559163,0.028858411159617008,672,3,329.947981729114,0.024591504104938305,0.0035770337765694987,540,0.05,0.08312757968209951,0.3088583556489177,0.10620891941365868
context-PCG,64,79364,32768,24,576,ID,0.12193135143856504,0.13500451606399413,0.027533157634294477,0.03238339267360471,192,3,329.947981729114,0.02952182466166652,0.0049737578903355974,540,0.05,0.1555174612810835,0.27744881271964855,0.183050618915378
context-PCG,64,79364,32768,24,576,OOD,0.26725054577811946,0.14642851364913173,0.02130061257046504,0.027154093963882547,480,3,329.947981729114,0.022619375882247016,0.0030183441310630585,540,0.05,0.09835787871505426,0.3656084244931737,0.11965849128551931
context-PCG,64,79364,32768,32,1024,All,0.21224060025555913,0.15104145179500755,0.05224108813241134,0.044784104570561846,672,3,329.947981729114,0.057703418974553944,0.0073615336372139595,540,0.05,0.08312757968209951,0.2953681799376586,0.13536866781451085
context-PCG,64,79364,32768,32,1024,ID,0.09892915310085905,0.1071319208378475,0.05289179702586704,0.04256384323903634,192,3,329.947981729114,0.05809697297566643,0.00923914935386463,540,0.05,0.1555174612810835,0.25444661438194255,0.20840925830695056
context-PCG,64,79364,32768,32,1024,OOD,0.25756517911743915,0.1420434249292645,0.05198080457502906,0.04568256433044525,480,3,329.947981729114,0.05754599737410895,0.006610487350553692,540,0.05,0.09835787871505426,0.3559230578324934,0.15033868329008332
context-PCG,64,79364,32768,48,2304,All,0.20245335710133336,0.14882505167830418,0.11187453517204261,0.06338694456657326,672,3,329.947981729114,0.13211181981854936,0.01263950049940913,540,0.05,0.08312757968209951,0.2855809367834329,0.19500211485414212
context-PCG,64,79364,32768,48,2304,ID,0.10011661525899436,0.1152953820370269,0.11390816489126089,0.05167648524008031,192,3,329.947981729114,0.13246366622236863,0.014735361145236867,540,0.05,0.1555174612810835,0.25563407654007786,0.2694256261723444
context-PCG,64,79364,32768,48,2304,OOD,0.24338805383826892,0.14088780857718824,0.1110610832843553,0.06753711924014913,480,3,329.947981729114,0.13197108125702164,0.011801156241078034,540,0.05,0.09835787871505426,0.3417459325533232,0.20941896199940957
context-PCG,128,199684,32768,8,64,All,0.48392915602355707,0.2804098738719012,3.2364539859952473e-06,2.462914170534496e-06,672,3,327.6769744529738,3.236470517660924e-06,3.591570040103623e-07,540,0.05,0.08312757968209951,0.5670567357056566,0.0831308161360855
context-PCG,128,199684,32768,8,64,ID,0.21661252293379993,0.22167832348565225,2.4469680835123774e-06,2.070989368728139e-06,192,3,327.6769744529738,2.4469783378814705e-06,4.2174376679859904e-07,540,0.05,0.1555174612810835,0.3721299842148834,0.15551990824916703
context-PCG,128,199684,32768,8,64,OOD,0.5908558092594599,0.22461557609029986,3.552248346988396e-06,2.537201981513508e-06,480,3,327.6769744529738,3.5522673895727053e-06,3.341222988950676e-07,540,0.05,0.09835787871505426,0.6892136879745142,0.09836143096340125
context-PCG,128,199684,32768,12,144,All,0.25955460892259086,0.16915868954463947,3.9995867508662346e-06,3.0217378399824353e-06,672,3,327.6769744529738,3.9996118651517e-06,5.220529337924247e-07,540,0.05,0.08312757968209951,0.34268218860469035,0.08313157926885037
context-PCG,128,199684,32768,12,144,ID,0.13068195731642915,0.1349719046128019,4.0902099741928256e-06,3.7229891867688113e-06,192,3,327.6769744529738,4.09024049297102e-06,7.156479264007013e-07,540,0.05,0.1555174612810835,0.28619941859751263,0.1555215514910577
context-PCG,128,199684,32768,12,144,OOD,0.3111036695650556,0.15329804092829993,3.963337461535598e-06,2.694323350875398e-06,480,3,327.6769744529738,3.963360414023972e-06,4.4461493674911405e-07,540,0.05,0.09835787871505426,0.40946154828010983,0.0983618420525158
context-PCG,128,199684,32768,16,256,All,0.24571253256490103,0.1589662737907692,5.9693521248798646e-05,0.00039318613001678517,672,3,327.6769744529738,5.9852160722258794e-05,3.089782677881119e-05,540,0.05,0.08312757968209951,0.32884011224700055,0.0831872732033483
context-PCG,128,199684,32768,16,256,ID,0.13082464451667492,0.1409101588142626,0.0001961291257875291,0.000718928132658943,192,3,327.6769744529738,0.0001966842461804585,0.00010600931349457633,540,0.05,0.1555174612810835,0.28634210579775843,0.15571359040687105
context-PCG,128,199684,32768,16,256,OOD,0.2916676877841915,0.14168660208071798,5.11927943330647e-06,4.576162826978129e-06,480,3,327.6769744529738,5.119326538978915e-06,8.532320925051333e-07,540,0.05,0.09835787871505426,0.39002556649924575,0.09836299799448757
context-PCG,128,199684,32768,24,576,All,0.22576984228430716,0.15761524982966477,0.025618366051432022,0.03329012748504832,672,3,327.6769744529738,0.027621717920218107,0.004085370888192471,540,0.05,0.08312757968209951,0.3088974219664067,0.10874594573353152
